日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,80,14,44,149,61,34,2.50,21
2014-01-01,良,80,18,32,86,61,29,2.36,25
2014-01-02,良,71,15,32,90,65,29,2.10,28
2014-01-03,良,77,27,51,99,71,32,2.15,23
2014-01-04,良,83,35,58,106,108,43,2.98,17
2014-01-05,轻度污染,135,71,101,142,107,45,3.05,15
2014-01-06,轻度污染,106,42,80,106,81,32,2.73,30
2014-01-07,良,100,77,72,104,71,22,2.31,37
2014-01-08,良,53,40,26,61,49,18,2.12,41
2014-01-09,良,82,116,51,112,85,33,2.68,29
2014-01-10,良,77,39,49,93,71,31,2.63,30
2014-01-11,轻度污染,102,74,73,124,80,39,3.04,26
2014-01-12,良,57,23,31,64,45,18,2.25,43
2014-01-13,良,92,81,64,109,94,38,3.10,19
2014-01-14,良,95,71,70,118,107,42,3.32,17
2014-01-15,轻度污染,130,82,98,163,97,39,3.75,23
2014-01-16,中度污染,159,104,121,189,120,46,3.73,14
2014-01-17,重度污染,211,135,162,239,166,45,3.55,10
2014-01-18,轻度污染,101,45,74,118,86,30,2.91,26
2014-01-19,良,86,13,63,107,78,29,2.99,29
2014-01-20,轻度污染,123,80,93,129,65,26,2.85,26
2014-01-21,轻度污染,149,174,113,160,143,44,3.79,16
2014-01-22,良,86,52,63,90,73,29,3.10,32
2014-01-24,中度污染,154,112,118,166,69,32,3.16,39
2014-01-25,轻度污染,113,84,71,120,78,25,2.86,35
2014-01-26,良,73,69,38,94,66,26,3.07,34
2014-01-27,良,91,94,44,129,58,19,2.66,44
2014-01-28,良,58,38,26,66,63,20,2.64,46
2014-01-29,良,93,80,45,134,47,12,2.71,68
2014-01-30,良,67,20,43,83,66,14,2.64,48
2014-01-31,轻度污染,113,28,84,136,88,15,2.57,46
2014-02-01,轻度污染,109,85,81,131,79,30,3.02,32
2014-02-02,轻度污染,101,67,50,130,55,16,3.04,45
2014-02-03,良,58,62,18,66,43,10,2.49,54
2014-02-04,良,68,127,39,88,58,19,3.00,42
2014-02-05,良,80,153,54,103,101,30,3.33,33
2014-02-06,轻度污染,118,169,88,139,121,32,3.71,28
2014-02-07,轻度污染,141,174,107,158,182,37,3.39,17
2014-02-08,轻度污染,110,161,79,134,146,27,3.28,28
2014-02-09,良,74,129,48,94,110,19,3.04,42
2014-02-10,良,93,156,68,112,131,32,3.18,36
2014-02-11,中度污染,165,179,125,196,187,53,4.71,17
2014-02-12,轻度污染,150,153,114,186,135,42,3.96,32
2014-02-13,中度污染,152,151,115,179,129,42,3.66,35
2014-02-14,轻度污染,127,109,95,174,91,31,3.36,58
2014-02-15,严重污染,256,170,207,301,126,40,3.70,55
2014-02-16,轻度污染,120,128,94,131,88,30,3.02,47
2014-02-17,轻度污染,117,137,87,142,125,37,2.92,40
2014-02-18,轻度污染,131,175,98,153,146,41,3.13,36
2014-02-19,良,97,113,72,121,130,37,3.11,27
2014-02-20,轻度污染,113,107,85,137,147,39,3.23,31
2014-02-21,严重污染,265,180,215,326,115,57,4.92,55
2014-02-22,重度污染,228,167,181,274,126,56,4.48,32
2014-02-23,严重污染,294,180,240,358,192,62,4.97,14
2014-02-24,严重污染,325,181,272,395,99,52,4.71,27
2014-02-25,重度污染,216,152,168,235,81,26,3.56,69
2014-02-26,轻度污染,140,121,106,161,75,26,3.44,91
2014-02-27,良,73,70,44,82,59,20,2.90,50
2014-02-28,良,82,136,44,111,76,34,2.91,30
2014-03-01,良,68,99,46,78,76,27,2.86,54
2014-03-02,良,81,81,58,96,88,32,3.01,45
2014-03-03,中度污染,151,160,115,188,104,45,3.73,39
