日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,335,107,273,440,56,107,3.95,26
2013-10-29,重度污染,214,91,165,276,37,83,3.75,24
2013-10-30,中度污染,194,107,149,267,37,69,2.26,26
2013-10-31,严重污染,251,112,194,334,33,97,2.09,15
2013-11-01,严重污染,266,108,214,339,38,90,3.06,12
2013-11-02,严重污染,328,113,255,400,29,83,4.38,8
2013-11-03,轻度污染,135,78,95,177,26,62,2.36,26
2013-11-04,中度污染,168,109,123,236,69,81,3.50,28
2013-11-05,中度污染,200,112,155,279,90,85,2.09,17
2013-11-06,重度污染,224,109,113,264,30,52,1.37,33
2013-11-07,良,97,49,50,125,42,36,0.50,31
2013-11-08,轻度污染,137,78,147,284,74,89,1.97,22
2013-11-09,重度污染,226,109,196,349,62,103,2.69,16
2013-11-10,轻度污染,129,84,35,102,21,32,0.98,30
2013-11-11,轻度污染,105,107,79,178,38,52,1.51,20
2013-11-12,轻度污染,112,97,97,206,58,68,1.56,20
2013-11-13,中度污染,183,99,222,422,128,96,3.38,17
2013-11-14,严重污染,339,108,171,345,58,67,2.34,26
2013-11-15,中度污染,170,94,121,302,85,67,2.18,24
2013-11-16,中度污染,179,88,70,227,33,30,1.30,38
2013-11-17,良,88,50,39,96,47,34,1.35,28
2013-11-18,良,79,46,66,131,79,53,1.67,21
2013-11-19,良,97,62,73,139,69,55,1.61,25
2013-11-20,中度污染,169,94,175,299,117,88,3.00,21
2013-11-21,严重污染,263,109,236,399,138,102,3.75,22
2013-11-22,严重污染,359,111,330,538,234,141,5.41,20
2013-11-23,严重污染,491,113,448,713,264,171,6.66,23
2013-11-24,严重污染,491,114,310,509,137,111,5.19,20
2013-11-25,中度污染,159,110,31,84,41,28,1.57,38
2013-11-26,良,98,76,88,187,85,55,2.08,23
2013-11-27,良,96,70,23,109,23,20,0.85,54
2013-11-28,良,67,58,53,105,49,41,1.90,40
2013-11-29,良,91,89,86,196,91,74,2.71,24
2013-11-30,轻度污染,107,76,81,223,85,78,3.02,24
2013-12-01,轻度污染,124,76,103,244,103,80,2.89,23
2013-12-02,严重污染,257,103,269,412,143,115,4.97,27
