日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,67,118,39,83,57,27,0.58,43
2015-01-02,轻度污染,128,533,96,152,118,48,1.75,26
2015-01-03,良,97,143,67,128,85,36,1.27,46
2015-01-04,轻度污染,126,148,89,175,77,41,1.31,31
2015-01-05,轻度污染,104,136,49,150,59,26,0.93,46
2015-01-06,良,66,153,34,77,65,25,0.85,44
2015-01-07,轻度污染,104,281,60,137,61,32,1.37,40
2015-01-08,良,93,178,40,135,39,18,0.51,64
2015-01-09,轻度污染,102,176,69,133,66,39,1.73,34
2015-01-10,中度污染,167,273,128,212,168,57,3.20,28
2015-01-11,中度污染,190,319,148,231,170,59,2.85,23
2015-01-12,中度污染,154,312,115,192,120,54,1.99,26
2015-01-13,轻度污染,134,282,100,180,90,45,1.43,24
2015-01-14,良,67,128,41,77,72,32,1.09,31
2015-01-15,良,58,64,32,65,40,27,1.23,46
2015-01-16,良,57,45,36,62,42,27,1.26,46
2015-01-17,良,69,78,43,75,32,27,1.28,45
2015-01-18,良,58,47,21,64,16,15,0.90,68
2015-01-19,良,84,137,49,104,66,35,1.68,42
2015-01-20,良,66,58,39,74,50,26,2.40,55
2015-01-21,良,59,51,36,66,48,30,0.89,46
2015-01-22,良,70,65,44,82,79,31,0.95,40
2015-01-23,轻度污染,110,143,81,144,121,47,1.84,29
2015-01-24,良,81,78,55,102,54,34,1.13,44
2015-01-25,良,75,74,40,86,44,28,1.35,57
2015-01-26,轻度污染,103,141,29,143,58,15,1.00,61
2015-01-27,良,51,75,29,53,72,28,1.01,44
2015-01-28,良,67,233,46,74,64,32,1.03,30
2015-01-29,良,75,237,36,97,39,25,0.99,46
2015-01-30,良,65,149,37,76,84,25,1.00,47
2015-01-31,良,61,133,38,67,98,29,1.14,49
2015-02-01,轻度污染,104,251,75,110,81,40,1.41,34
2015-02-02,中度污染,168,318,127,165,104,40,1.46,46
2015-02-03,轻度污染,104,179,74,101,73,31,1.02,54
2015-02-04,良,52,65,32,50,47,35,0.76,46
2015-02-05,良,56,77,34,57,89,29,0.76,54
2015-02-06,优,48,24,28,48,40,26,0.55,56
2015-02-07,良,52,41,32,51,55,29,0.69,53
2015-02-08,良,63,113,40,70,92,37,0.67,39
2015-02-09,轻度污染,114,294,85,130,114,52,1.38,35
2015-02-10,轻度污染,119,240,75,147,52,37,1.19,54
2015-02-11,轻度污染,113,203,52,174,35,26,0.60,59
2015-02-12,良,81,133,49,108,48,32,0.88,47
2015-02-13,良,76,108,50,94,83,37,1.05,48
2015-02-14,中度污染,164,276,93,214,76,37,1.31,47
2015-02-15,中度污染,168,291,60,241,17,14,0.50,81
2015-02-16,良,65,59,32,74,43,24,0.75,66
2015-02-17,良,77,134,53,88,83,32,1.09,49
2015-02-18,良,69,105,38,86,71,19,0.44,65
2015-02-19,中度污染,186,307,144,217,78,31,1.13,69
2015-02-20,轻度污染,121,325,83,128,24,20,0.77,53
2015-02-21,轻度污染,122,303,42,165,15,12,0.29,82
2015-02-22,良,54,94,23,60,36,16,0.38,62
2015-02-23,良,68,150,25,84,24,15,0.42,69
2015-02-24,轻度污染,122,311,39,158,20,13,0.23,78
2015-02-25,优,49,115,28,46,42,16,0.44,69
2015-02-26,优,41,69,22,35,41,17,0.42,71
2015-02-27,良,61,231,38,69,58,24,0.58,54
2015-02-28,良,53,198,24,56,16,15,0.31,78
2015-03-01,良,55,133,24,64,13,14,0.35,78
2015-03-02,轻度污染,116,315,50,177,16,13,0.30,84
2015-03-03,良,63,130,27,75,49,16,0.43,71
2015-03-04,优,47,99,28,44,49,19,0.56,68
2015-03-05,良,70,236,44,82,39,28,0.68,42
2015-03-06,良,64,154,31,75,18,18,0.39,73
2015-03-07,良,72,171,36,93,20,20,0.48,74
2015-03-08,良,73,183,33,94,31,14,0.26,77
2015-03-09,优,43,51,20,36,36,17,0.36,78
2015-03-10,优,47,65,26,44,37,22,0.52,72
2015-03-11,良,55,103,30,56,35,24,0.72,64
2015-03-12,良,88,213,54,117,95,32,0.87,74
2015-03-13,良,76,175,43,99,52,26,0.80,63
2015-03-14,良,94,187,39,137,16,15,0.39,83
2015-03-15,良,84,152,46,115,47,24,0.80,63
2015-03-16,良,75,137,37,93,26,19,0.64,80
2015-03-17,良,70,159,32,89,40,22,0.68,70
2015-03-18,良,62,165,30,73,16,15,0.56,83
2015-03-19,良,70,165,33,89,13,15,0.48,82
2015-03-20,良,81,197,33,112,10,14,0.35,88
2015-03-21,良,73,162,41,93,38,19,0.47,81
2015-03-22,良,55,46,28,60,31,19,0.44,74
2015-03-23,良,51,56,28,48,59,25,0.61,69
2015-03-24,良,56,130,32,53,40,24,0.68,80
2015-03-25,良,70,194,43,81,28,18,0.64,97
2015-03-26,良,68,188,43,66,16,20,0.70,97
2015-03-27,中度污染,152,347,65,192,20,20,0.67,84
2015-03-28,严重污染,265,360,115,382,28,27,0.79,62
2015-03-29,中度污染,159,318,86,264,30,24,0.75,85
2015-03-30,中度污染,185,339,73,265,36,26,0.89,80
2015-03-31,重度污染,202,349,53,291,8,12,0.94,89
2015-04-01,良,65,191,34,69,42,20,2.61,58
2015-04-02,良,53,125,22,28,16,15,2.94,84
2015-04-03,优,45,71,29,36,23,19,0.42,73
2015-04-04,良,54,99,26,58,11,17,0.31,85
2015-04-05,良,70,201,28,84,17,15,0.23,88
