日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,233,92,182,276,60,73,2.51,69
2013-10-29,中度污染,159,75,121,181,33,64,2.66,31
2013-10-30,良,75,37,54,78,29,59,1.87,46
2013-10-31,轻度污染,123,73,92,134,101,83,2.27,36
2013-11-01,中度污染,173,91,132,187,63,93,2.46,13
2013-11-02,重度污染,223,98,173,258,54,77,2.87,14
2013-11-03,轻度污染,140,84,91,174,25,55,2.20,32
2013-11-04,轻度污染,104,68,70,124,42,75,2.22,31
2013-11-05,轻度污染,107,69,76,126,55,55,1.97,43
2013-11-06,中度污染,163,87,96,152,39,50,2.11,39
2013-11-07,良,78,26,37,64,27,42,1.10,26
2013-11-08,轻度污染,101,51,113,172,123,72,2.03,27
2013-11-09,重度污染,233,110,230,288,40,97,2.78,13
2013-11-10,中度污染,177,105,36,68,17,33,0.44,45
2013-11-11,良,65,66,46,74,39,59,0.73,27
2013-11-12,良,75,64,71,102,48,67,1.04,27
2013-11-13,轻度污染,124,86,114,154,86,60,1.34,18
2013-11-14,中度污染,172,92,120,176,47,51,1.21,28
2013-11-15,轻度污染,117,56,80,184,82,49,0.99,30
2013-11-16,轻度污染,129,57,76,172,51,37,0.78,37
2013-11-17,良,73,28,37,54,32,27,0.68,41
2013-11-18,良,57,22,46,70,36,31,0.90,37
2013-11-19,良,66,22,54,65,56,37,1.02,16
2013-11-20,轻度污染,109,45,151,145,113,56,2.82,20
2013-11-21,重度污染,246,106,196,266,86,83,3.71,19
2013-11-22,重度污染,242,93,219,261,73,82,2.90,21
2013-11-23,严重污染,300,96,278,339,39,71,2.39,10
2013-11-24,严重污染,315,106,190,283,27,52,2.68,11
2013-11-25,轻度污染,136,106,67,90,35,30,1.23,26
2013-11-26,良,83,57,65,73,34,36,1.13,21
2013-11-27,良,70,34,29,74,23,12,0.60,37
2013-11-28,良,73,69,65,83,28,31,1.33,20
2013-11-29,轻度污染,102,98,85,113,36,44,1.69,18
2013-11-30,轻度污染,113,87,83,111,27,45,1.47,17
2013-12-01,良,87,39,81,94,35,43,1.44,20
2013-12-02,中度污染,196,84,229,276,83,76,3.44,27
2013-12-03,严重污染,322,101,232,284,112,112,4.42,39
2013-12-04,重度污染,248,78,243,273,70,77,3.45,16
2013-12-05,重度污染,250,82,120,149,42,42,1.97,16
2013-12-06,良,84,24,19,9,23,10,0.49,6
2013-12-07,优,45,2,0,0,0,0,0.00,9
2013-12-08,轻度污染,121,20,69,76,21,15,0.97,11
2013-12-09,中度污染,169,51,48,73,50,27,1.19,36
2013-12-10,良,88,30,81,94,69,39,1.51,27
2013-12-11,良,87,34,49,75,58,26,1.22,30
2013-12-12,良,97,45,78,114,74,31,1.57,27
2013-12-13,良,89,40,74,78,107,35,1.89,23
2013-12-14,中度污染,152,75,142,112,167,52,3.14,23
2013-12-15,重度污染,213,86,182,104,194,60,4.45,21
2013-12-16,重度污染,243,100,239,238,270,85,4.74,13
2013-12-17,严重污染,252,101,126,87,73,41,2.24,7
2013-12-18,轻度污染,146,87,106,65,124,44,3.00,19
2013-12-19,轻度污染,147,84,129,174,141,54,3.66,20
2013-12-20,中度污染,188,70,141,186,113,56,3.27,23
2013-12-21,重度污染,205,91,186,243,125,65,3.94,23
2013-12-22,重度污染,237,95,181,206,141,65,3.52,22
2013-12-23,重度污染,243,89,239,300,170,86,4.52,17
2013-12-24,严重污染,366,99,308,376,133,98,5.15,19
2013-12-25,严重污染,306,87,271,363,119,73,3.40,15
2013-12-26,重度污染,223,67,20,72,36,20,0.97,41
2013-12-27,良,74,30,66,104,88,39,1.91,24
2013-12-28,良,90,39,55,85,62,33,1.50,29
2013-12-29,良,76,21,59,115,81,35,1.30,22
2013-12-30,良,89,24,70,141,99,43,1.74,23
2013-12-31,轻度污染,101,51,58,155,76,36,1.35,31
2014-01-01,良,98,50,71,144,113,47,1.91,29
2014-01-02,轻度污染,129,80,109,182,201,66,2.63,20
2014-01-03,轻度污染,123,78,92,142,77,53,2.49,25
2014-01-04,良,79,32,57,81,96,41,1.17,22
2014-01-05,轻度污染,128,62,95,139,90,53,2.31,20
2014-01-06,轻度污染,102,40,77,98,62,42,1.44,22
2014-01-07,轻度污染,138,114,104,146,73,50,1.99,13
2014-01-08,良,84,115,56,94,55,36,1.32,26
2014-01-09,轻度污染,146,168,110,156,61,42,2.05,19
2014-01-10,严重污染,264,183,215,297,137,63,3.18,15
2014-01-11,严重污染,343,181,291,400,65,62,3.81,12
2014-01-12,轻度污染,147,141,117,169,56,42,1.85,29
2014-01-13,轻度污染,129,139,97,135,152,44,1.69,20
2014-01-14,严重污染,269,182,219,285,160,76,4.19,14
2014-01-15,严重污染,351,183,301,376,86,67,3.32,16
2014-01-16,严重污染,316,176,266,334,100,67,2.81,11
2014-01-17,中度污染,173,96,133,164,55,44,2.01,11
2014-01-18,严重污染,280,163,235,308,94,71,3.27,17
2014-01-19,严重污染,334,179,295,363,99,72,3.20,14
2014-01-20,轻度污染,124,83,76,164,27,21,1.22,42
2014-01-21,良,72,48,44,79,44,24,1.23,31
