日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,95,31,71,93,38,42,1.01,57
2013-10-29,轻度污染,113,54,85,120,45,58,1.27,39
2013-10-30,轻度污染,101,63,75,86,27,33,1.01,40
2013-10-31,良,72,38,52,62,25,33,0.97,30
2013-11-01,良,67,32,48,63,29,33,0.89,34
2013-11-02,轻度污染,128,70,96,106,32,39,1.17,23
2013-11-03,轻度污染,129,69,97,119,21,30,1.23,16
2013-11-04,轻度污染,120,84,88,115,26,29,0.98,39
2013-11-05,良,89,47,63,97,36,45,0.92,35
2013-11-06,中度污染,165,90,132,173,37,59,1.22,36
2013-11-07,重度污染,201,110,165,204,37,53,1.13,42
2013-11-08,中度污染,193,105,153,195,44,54,1.35,55
2013-11-09,中度污染,152,84,133,159,41,49,1.39,30
2013-11-10,轻度污染,127,82,49,61,20,20,0.69,33
2013-11-11,良,51,24,40,61,26,25,0.60,38
2013-11-12,良,66,51,56,80,24,29,0.68,33
2013-11-13,良,89,65,76,109,40,39,1.01,32
2013-11-14,轻度污染,120,71,107,139,38,48,1.16,12
2013-11-15,中度污染,156,83,121,196,37,43,1.45,16
2013-11-16,中度污染,153,72,101,229,49,45,1.45,30
2013-11-17,轻度污染,128,86,63,159,40,32,0.77,26
2013-11-18,良,96,68,82,127,48,42,1.10,22
2013-11-19,轻度污染,125,93,118,169,63,55,1.54,17
2013-11-20,中度污染,164,88,146,219,77,68,1.94,20
2013-11-21,重度污染,209,95,160,212,73,77,1.74,22
2013-11-22,中度污染,161,73,96,126,40,55,1.32,30
2013-11-23,轻度污染,115,49,104,144,43,74,1.37,35
2013-11-24,轻度污染,147,64,106,134,29,60,1.44,16
2013-11-25,轻度污染,106,85,59,211,30,46,1.16,21
2013-11-26,中度污染,157,107,95,253,46,68,1.73,16
2013-11-27,轻度污染,124,96,65,131,39,50,1.17,25
2013-11-28,良,72,68,48,88,39,46,1.01,21
2013-11-29,良,75,63,54,98,42,57,1.08,20
2013-11-30,良,89,59,84,132,60,73,1.04,23
2013-12-01,轻度污染,148,89,162,248,78,93,1.70,17
2013-12-02,严重污染,254,101,209,274,84,99,2.20,17
2013-12-03,重度污染,240,84,262,303,116,133,2.36,12
2013-12-04,严重污染,316,100,272,302,51,87,2.32,21
2013-12-05,严重污染,346,102,340,381,65,106,2.85,13
2013-12-06,严重污染,355,109,302,357,50,81,2.22,12
2013-12-07,严重污染,374,103,323,405,65,95,2.91,18
2013-12-08,严重污染,324,89,242,293,48,75,1.94,22
2013-12-09,严重污染,362,112,183,210,39,55,1.64,23
2013-12-10,轻度污染,150,82,83,131,51,53,1.23,21
2013-12-11,轻度污染,134,81,103,153,53,55,1.45,18
2013-12-12,轻度污染,145,93,135,196,92,74,1.66,18
2013-12-13,重度污染,207,103,145,199,66,65,1.62,20
2013-12-14,轻度污染,132,57,104,151,70,65,1.68,19
2013-12-15,中度污染,181,78,135,177,60,54,1.60,31
2013-12-16,良,99,51,34,44,25,35,0.85,33
2013-12-17,优,48,34,33,41,18,32,0.84,31
2013-12-18,良,58,41,68,86,28,28,1.09,41
2013-12-19,轻度污染,118,63,120,150,47,44,1.55,26
