日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,123,46,92,146,14,31,0.84,88
2013-10-29,良,57,19,39,56,7,25,0.51,43
2013-10-30,良,59,18,37,62,16,37,0.93,31
2013-10-31,轻度污染,120,71,90,138,20,41,1.34,49
2013-11-01,中度污染,191,97,145,211,31,49,2.00,42
2013-11-02,轻度污染,143,76,109,154,21,36,1.12,54
2013-11-03,轻度污染,113,61,82,110,23,31,0.95,44
2013-11-04,优,40,4,17,39,15,30,0.36,30
2013-11-05,良,57,14,36,65,25,39,0.64,40
2013-11-06,轻度污染,114,56,99,155,37,38,0.99,49
2013-11-07,良,91,45,15,42,21,23,-0.14,31
2013-11-08,优,46,4,20,48,19,29,0.59,38
2013-11-09,优,50,6,21,49,9,24,0.47,40
2013-11-10,优,40,6,15,36,22,22,0.40,32
2013-11-11,优,44,12,19,49,23,27,0.37,25
2013-11-12,良,52,34,26,52,25,31,0.56,26
2013-11-13,优,49,34,22,48,31,30,0.51,26
2013-11-14,良,75,46,81,125,45,40,1.05,25
2013-11-15,良,90,42,59,121,58,46,0.93,20
2013-11-16,轻度污染,119,47,95,199,47,43,0.94,17
2013-11-17,良,77,33,14,43,17,17,0.23,34
2013-11-18,优,37,8,8,40,13,14,0.23,33
2013-11-19,优,49,14,11,45,19,19,0.31,30
2013-11-20,优,46,7,20,48,39,30,0.47,22
2013-11-21,良,55,7,33,68,66,41,0.69,19
2013-11-22,良,97,29,109,162,70,54,1.53,24
2013-11-23,重度污染,233,84,227,317,101,59,1.68,29
2013-11-24,重度污染,225,91,120,176,27,37,1.07,28
2013-11-25,良,71,37,13,29,15,17,0.27,35
2013-11-26,优,32,2,20,38,29,27,0.51,23
2013-11-27,优,39,2,14,34,23,17,0.27,37
2013-11-28,优,33,4,11,35,25,20,0.42,33
2013-11-29,优,38,2,24,47,39,33,0.70,27
2013-11-30,良,59,14,40,75,42,34,0.70,24
2013-12-01,良,57,8,42,76,49,39,0.76,23
2013-12-02,轻度污染,115,47,126,180,87,58,1.42,14
2013-12-03,中度污染,189,67,130,185,90,63,1.64,11
2013-12-04,轻度污染,123,40,104,160,72,67,1.95,14
2013-12-05,轻度污染,125,51,48,84,48,43,0.84,17
2013-12-06,良,52,2,32,56,60,40,0.80,22
2013-12-07,良,81,11,93,136,73,51,1.21,14
2013-12-08,中度污染,191,49,169,225,45,43,1.35,31
2013-12-09,中度污染,183,56,55,85,27,24,0.50,31
2013-12-10,良,57,9,42,71,58,35,0.74,24
2013-12-11,良,53,7,21,43,32,23,0.56,40
2013-12-12,优,43,3,24,45,44,30,0.68,34
2013-12-13,优,38,2,13,32,37,23,0.41,37
2013-12-14,优,41,2,27,49,64,36,0.62,23
2013-12-15,优,48,5,26,53,55,35,0.55,23
2013-12-16,良,57,29,36,68,87,46,0.94,19
2013-12-17,良,91,59,102,160,81,56,1.55,12
