日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-01-03,优,48,2,29,45,25,36,0.74,30
2014-01-04,良,79,30,49,95,29,46,1.30,26
2014-01-05,轻度污染,114,44,83,157,34,54,1.66,25
2014-01-06,良,94,30,64,106,40,36,0.90,108
2014-01-07,轻度污染,119,95,84,118,36,36,1.09,157
2014-01-08,优,41,8,22,39,25,25,0.47,33
2014-01-09,优,40,3,24,37,31,25,0.64,29
2014-01-10,良,52,5,36,50,39,33,0.85,26
2014-01-11,良,55,13,37,52,23,26,0.63,33
2014-01-12,优,43,7,26,39,28,24,0.58,35
2014-01-13,轻度污染,103,95,252,54,28,35,0.79,27
2014-01-14,中度污染,153,126,117,151,38,50,1.68,24
2014-01-15,重度污染,201,125,207,178,47,49,1.64,32
2014-01-16,良,78,22,56,75,37,36,0.81,31
2014-01-17,良,81,19,59,83,33,33,0.75,30
2014-01-18,良,98,39,73,95,34,36,1.00,28
2014-01-19,轻度污染,111,43,83,105,39,39,1.07,28
2014-01-20,轻度污染,146,113,111,136,41,43,1.28,31
2014-01-21,良,68,36,48,70,26,34,0.94,28
2014-01-22,轻度污染,142,158,107,114,24,36,1.18,33
2014-01-24,中度污染,157,117,119,135,31,41,1.51,29
2014-01-25,良,85,57,60,72,21,32,0.91,35
2014-01-26,良,60,35,42,56,27,25,0.73,44
2014-01-27,良,73,58,47,83,31,24,0.71,38
2014-01-28,优,38,4,22,36,28,22,0.52,42
2014-01-29,良,74,51,53,74,34,27,0.65,40
2014-01-30,优,42,2,29,38,37,16,0.45,47
2014-01-31,轻度污染,126,37,95,100,39,22,0.74,41
2014-02-01,良,91,66,67,75,27,22,0.81,50
2014-02-02,良,88,52,53,97,34,20,0.60,48
2014-02-03,优,32,4,18,29,32,14,0.35,51
2014-02-04,优,41,31,26,40,19,18,0.51,44
2014-02-05,良,62,119,44,55,28,22,0.77,42
2014-02-06,良,59,119,42,53,20,23,0.65,43
2014-02-07,良,68,118,49,62,25,25,0.81,41
2014-02-08,轻度污染,111,162,83,90,29,25,0.80,53
2014-02-09,良,52,87,36,46,27,26,0.50,41
2014-02-10,轻度污染,101,166,75,91,24,31,1.00,43
2014-02-11,轻度污染,133,166,101,119,25,30,1.14,49
2014-02-12,良,71,50,51,55,24,27,0.70,40
2014-02-13,良,75,66,54,67,27,25,0.73,46
2014-02-14,轻度污染,109,92,81,100,37,38,0.94,40
2014-02-15,轻度污染,120,83,90,100,49,34,0.82,42
2014-02-16,良,100,106,74,78,26,36,0.76,43
2014-02-17,良,88,114,64,77,23,35,0.99,40
2014-02-18,良,72,106,52,62,26,31,0.69,42
2014-02-19,良,80,87,58,62,22,34,0.84,47
2014-02-20,良,87,82,64,76,21,36,0.82,46
2014-02-21,轻度污染,103,56,77,95,23,33,0.89,66
2014-02-22,轻度污染,123,79,93,117,38,51,1.24,58
2014-02-23,轻度污染,112,75,84,104,29,33,0.88,73
2014-02-24,轻度污染,139,84,105,149,35,38,1.12,63
2014-02-25,中度污染,196,144,153,187,26,40,1.45,60
2014-02-26,严重污染,282,182,232,275,30,35,1.94,48
2014-02-27,良,64,53,44,51,12,25,0.63,60
2014-02-28,优,33,8,19,29,17,22,0.44,58
2014-03-01,优,38,16,25,33,17,28,0.45,61
2014-03-02,良,59,48,41,53,14,38,0.63,53
2014-03-03,良,51,23,34,46,15,33,0.58,51
2014-03-04,良,56,38,38,52,17,33,0.65,50
2014-03-05,优,45,19,26,42,12,19,0.45,55
2014-03-06,优,46,31,30,46,18,24,0.55,53
2014-03-07,良,52,55,34,47,11,21,0.52,52
2014-03-08,优,44,18,23,43,12,18,0.51,56
2014-03-09,优,38,21,22,35,11,16,0.41,52
2014-03-10,良,53,23,37,50,14,21,0.65,54
2014-03-11,良,79,43,54,88,26,17,0.93,54
2014-03-12,良,73,76,52,65,17,19,0.70,60
2014-03-13,良,52,14,32,53,21,22,0.79,47
2014-03-14,良,73,39,51,76,17,22,0.81,56
2014-03-15,良,74,20,54,84,14,20,0.74,47
2014-03-16,良,57,6,40,59,14,19,0.66,55
2014-03-17,良,65,10,45,68,17,13,0.54,67
2014-03-18,良,51,5,33,43,17,14,0.48,57
2014-03-19,优,48,5,33,46,25,16,0.53,53
2014-03-20,优,37,2,24,30,13,21,0.49,50
2014-03-21,优,49,7,31,46,21,26,0.79,51
2014-03-22,良,63,26,45,59,20,25,0.62,52
2014-03-23,良,77,49,56,74,21,34,0.72,59
2014-03-25,轻度污染,106,96,79,112,24,42,0.86,75
2014-03-26,轻度污染,134,126,102,129,24,44,0.96,75
2014-03-27,良,94,62,66,108,20,40,0.88,79
2014-03-28,良,73,70,47,75,28,25,0.52,73
2014-03-29,优,44,12,26,41,21,24,0.45,77
2014-03-30,良,71,48,45,76,18,21,0.48,83
2014-03-31,优,44,18,23,41,18,19,0.41,78
2014-04-01,优,46,14,27,43,12,15,0.37,83
2014-04-02,优,43,11,15,37,14,13,0.31,78
2014-04-03,优,37,9,18,32,14,17,0.35,70
2014-04-04,优,38,3,22,32,14,16,0.38,73
2014-04-05,优,37,1,15,26,13,18,0.35,70
2014-04-06,良,64,55,28,80,24,27,0.47,73
2014-04-07,良,73,60,47,81,23,33,0.59,73
2014-04-08,良,62,22,39,70,26,23,0.46,88
2014-04-09,良,51,9,23,52,12,16,0.33,77
2014-04-10,优,49,9,28,46,20,21,0.39,72
2014-04-11,良,58,25,33,61,22,28,0.48,67
2014-04-12,良,66,56,42,79,24,39,0.58,68
2014-04-13,良,71,75,49,83,24,26,0.49,87
2014-04-14,轻度污染,124,147,46,190,11,14,0.51,84
2014-04-15,优,43,4,15,35,7,14,0.25,75
2014-04-16,优,48,14,22,45,13,17,0.33,71
2014-04-17,优,45,17,23,40,13,22,0.38,66
2014-04-18,优,44,10,24,42,14,18,0.35,73
2014-04-19,良,59,83,39,66,13,29,0.47,80
2014-04-20,良,60,69,42,56,14,19,0.42,82
2014-04-21,良,59,61,39,53,12,22,0.46,75
2014-04-22,良,52,31,31,52,11,20,0.41,81
2014-04-23,良,59,32,35,66,13,19,0.43,88
2014-04-24,轻度污染,113,162,55,174,19,15,0.58,99
2014-04-25,重度污染,205,181,81,289,19,16,0.57,104
2014-04-26,轻度污染,111,170,48,170,10,13,0.28,75
2014-04-27,优,50,42,25,55,10,16,0.32,68
2014-04-28,良,57,30,31,64,12,20,0.35,84
2014-04-29,良,63,23,33,73,14,15,0.36,103
2014-04-30,良,80,55,39,109,16,14,0.39,101
2014-05-01,良,76,36,36,102,8,10,0.38,71
2014-05-02,优,45,8,21,45,8,7,0.26,71
2014-05-03,优,46,10,31,43,9,14,0.35,61
2014-05-04,优,38,9,16,37,8,8,0.25,57
2014-05-05,优,30,6,15,27,10,8,0.26,54
2014-05-06,优,28,2,15,24,12,12,0.31,54
2014-05-07,优,34,7,17,30,11,13,0.32,57
2014-05-08,优,32,2,16,25,9,12,0.34,63
2014-05-09,优,43,28,21,39,13,15,0.35,77
2014-05-10,良,53,71,28,56,11,19,0.44,68
2014-05-11,良,64,141,40,72,13,20,0.49,62
2014-05-12,优,46,25,29,39,8,15,0.40,67
2014-05-13,优,38,11,12,17,9,14,0.33,73
2014-05-14,优,26,4,10,17,8,16,0.37,49
2014-05-15,优,25,1,15,23,8,18,0.38,43
2014-05-16,优,29,4,15,22,7,14,0.33,53
2014-05-17,优,42,18,25,40,8,22,0.40,62
2014-05-18,优,47,23,29,47,8,26,0.42,58
2014-05-19,优,46,21,31,36,7,22,0.43,64
2014-05-20,优,36,10,21,20,9,19,0.43,70
2014-05-21,优,40,14,22,32,6,16,0.38,66
2014-05-22,优,40,23,19,29,9,15,0.38,77
2014-05-23,优,48,39,22,43,6,19,0.40,78
2014-05-24,优,37,16,15,33,6,19,0.29,63
2014-05-25,优,48,35,30,48,6,15,0.44,71
2014-05-26,优,38,14,17,37,7,13,0.30,62
2014-05-27,优,32,5,15,25,7,12,0.32,60
2014-05-28,优,40,10,13,37,7,14,0.26,73
2014-05-29,优,46,15,17,44,7,18,0.31,63
2014-05-30,优,44,18,16,45,8,17,0.29,76
2014-05-31,良,70,61,36,85,14,18,0.50,121
2014-06-01,轻度污染,102,155,71,153,15,21,0.68,111
2014-06-02,良,98,165,66,123,13,28,0.75,99
2014-06-03,良,59,74,28,67,7,16,0.31,64
2014-06-04,优,48,29,22,52,11,19,0.40,77
2014-06-05,良,65,66,36,78,13,25,0.52,72
2014-06-06,优,35,13,12,31,11,15,0.29,58
2014-06-07,优,36,19,13,35,7,14,0.24,49
2014-06-08,优,33,7,19,27,7,13,0.33,57
2014-06-09,优,33,5,21,27,7,14,0.38,59
2014-06-10,优,29,4,18,23,7,15,0.34,40
2014-06-11,良,51,31,17,56,8,17,0.35,48
2014-06-12,优,28,2,12,22,7,13,0.28,51
2014-06-13,优,43,8,19,35,8,23,0.38,59
2014-06-14,优,43,4,22,40,8,20,0.37,66
2014-06-15,优,38,8,20,35,7,18,0.30,59
2014-06-16,优,39,4,17,36,8,17,0.30,58
