日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,171,78,129,161,55,47,1.11,23
2013-10-29,良,51,12,32,53,41,37,0.83,19
2013-10-30,良,93,54,68,111,47,47,0.95,22
2013-10-31,轻度污染,135,81,104,147,60,59,1.49,19
2013-11-01,重度污染,212,100,166,229,58,72,1.56,22
2013-11-02,严重污染,265,109,214,276,76,79,1.75,22
2013-11-03,严重污染,257,113,211,268,61,69,2.27,15
2013-11-04,轻度污染,130,94,98,147,46,62,1.09,24
2013-11-05,轻度污染,138,96,104,144,64,62,1.08,25
2013-11-06,轻度污染,133,67,87,127,48,37,0.94,35
2013-11-07,良,72,13,34,48,34,27,0.28,37
2013-11-08,良,69,19,60,92,51,48,0.83,25
2013-11-09,良,87,43,58,81,34,29,0.84,29
2013-11-10,良,64,44,26,61,34,20,0.72,38
2013-11-11,良,51,25,29,42,37,24,0.60,37
2013-11-12,良,52,35,41,66,50,37,0.87,25
2013-11-13,良,70,49,64,103,56,43,0.95,25
2013-11-14,良,90,54,65,106,52,42,0.92,22
2013-11-15,轻度污染,118,57,142,198,81,72,1.49,15
2013-11-16,重度污染,205,101,129,161,84,60,1.26,14
2013-11-17,轻度污染,118,74,40,122,42,30,0.94,28
2013-11-18,轻度污染,102,77,25,145,51,27,0.87,34
2013-11-19,良,67,24,26,52,47,29,0.77,33
2013-11-20,优,42,4,29,39,47,34,0.77,30
2013-11-21,良,65,17,90,113,75,64,1.24,28
2013-11-22,中度污染,166,75,140,175,130,88,1.55,29
2013-11-23,重度污染,243,86,266,321,129,123,2.92,15
2013-11-24,严重污染,270,101,167,204,134,107,2.09,22
2013-11-25,中度污染,198,113,95,122,79,49,1.26,33
2013-11-26,良,63,22,39,45,54,35,0.82,32
2013-11-27,良,64,23,45,55,71,34,0.91,26
2013-11-28,良,56,24,38,53,56,37,0.89,30
2013-11-29,良,84,79,75,98,83,58,1.16,24
2013-11-30,良,79,45,46,70,78,45,0.90,31
2013-12-01,良,76,32,66,93,83,55,1.13,30
2013-12-02,轻度污染,137,58,159,205,139,97,2.01,20
2013-12-03,严重污染,297,96,320,373,106,119,2.85,15
2013-12-04,严重污染,281,88,96,124,89,63,1.22,20
2013-12-05,良,85,24,60,88,80,50,1.23,18
2013-12-06,轻度污染,118,51,117,160,74,65,1.75,19
2013-12-07,重度污染,225,73,270,340,92,101,2.68,17
2013-12-08,严重污染,341,96,192,257,122,88,1.83,12
2013-12-09,中度污染,166,49,97,124,91,60,1.14,18
