日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,56,68,36,52,3,13,1.34,46
2015-01-02,优,42,27,24,40,4,13,0.87,57
2015-01-03,轻度污染,127,204,97,141,12,41,2.36,42
2015-01-04,重度污染,245,319,200,233,22,63,4.66,26
2015-01-05,重度污染,205,291,159,235,13,56,3.44,26
2015-01-06,良,83,226,58,84,4,18,1.50,48
2015-01-07,优,35,9,20,34,2,9,0.72,52
2015-01-08,优,37,8,20,34,3,8,0.80,57
2015-01-09,良,92,142,68,88,8,19,1.96,46
2015-01-10,轻度污染,138,237,105,134,11,23,2.54,38
2015-01-11,良,62,79,37,68,4,10,1.18,50
2015-01-12,良,53,77,31,56,4,11,1.23,52
2015-01-13,中度污染,156,303,119,193,17,30,2.66,34
2015-01-14,良,82,159,55,93,9,17,1.73,51
2015-01-15,轻度污染,104,189,79,113,10,18,1.76,52
2015-01-16,良,72,98,44,83,10,23,1.47,56
2015-01-17,优,43,22,18,37,6,4,0.52,77
2015-01-18,良,56,42,29,56,9,10,1.00,63
2015-01-19,优,48,35,25,48,6,7,0.50,69
2015-01-20,轻度污染,105,215,62,137,17,28,1.58,52
2015-01-21,中度污染,157,311,121,173,15,36,2.53,40
2015-01-22,中度污染,175,337,136,200,20,34,2.83,41
2015-01-23,中度污染,163,274,128,189,15,45,2.80,40
2015-01-24,中度污染,187,277,149,205,19,73,2.68,50
2015-01-25,中度污染,184,266,142,186,19,47,2.54,34
2015-01-26,轻度污染,132,186,98,149,19,24,1.41,44
2015-01-27,优,45,54,22,46,7,4,0.61,68
2015-01-28,优,41,93,21,37,10,8,0.63,67
2015-01-29,轻度污染,136,338,101,157,24,46,2.09,40
2015-01-30,中度污染,153,341,117,164,20,26,2.50,46
2015-01-31,良,61,130,39,62,11,32,1.13,57
2015-02-01,轻度污染,129,302,95,140,18,41,2.42,45
2015-02-02,轻度污染,108,223,79,99,14,27,1.65,57
2015-02-03,轻度污染,112,200,81,131,14,35,1.94,42
2015-02-04,中度污染,158,279,121,204,18,49,3.33,33
2015-02-05,轻度污染,122,288,89,141,14,39,1.92,51
2015-02-06,轻度污染,121,278,91,139,13,42,1.90,45
2015-02-07,良,94,158,68,104,10,64,1.13,60
2015-02-08,良,56,80,39,39,7,12,0.70,63
2015-02-09,良,53,55,29,46,5,7,0.53,72
2015-02-10,优,39,13,16,28,6,6,0.53,77
2015-02-11,良,75,86,50,70,10,22,1.19,59
2015-02-12,轻度污染,143,248,110,136,15,38,2.30,41
2015-02-13,良,95,188,66,93,12,28,1.77,51
2015-02-14,良,60,47,33,63,9,14,0.66,73
2015-02-15,良,75,99,42,77,10,24,0.96,62
2015-02-16,良,91,149,65,91,10,25,1.13,55
2015-02-17,良,73,123,49,67,11,24,1.01,61
2015-02-18,良,54,57,29,57,16,14,0.68,74
2015-02-19,轻度污染,103,173,76,107,18,24,1.26,57
2015-02-20,轻度污染,105,301,78,109,12,24,1.49,58
2015-02-21,良,56,146,34,57,9,16,0.49,89
2015-02-22,良,96,203,35,96,6,14,0.49,88
