日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,146,59,92,219,38,51,2.00,32
2013-10-29,良,98,46,48,139,45,57,1.72,30
2013-10-30,中度污染,186,104,109,284,65,79,2.48,20
2013-10-31,重度污染,221,111,142,350,59,89,3.19,15
2013-11-01,重度污染,203,99,156,250,43,77,2.79,10
2013-11-02,轻度污染,129,72,95,146,41,47,1.75,17
2013-11-03,良,83,39,45,115,42,52,1.84,20
2013-11-04,轻度污染,125,89,77,187,46,59,2.52,16
2013-11-05,轻度污染,109,72,73,155,42,49,2.11,20
2013-11-06,轻度污染,113,54,47,133,28,41,2.11,24
2013-11-07,良,87,39,49,157,60,87,2.34,12
2013-11-08,轻度污染,143,79,111,289,79,68,3.70,11
2013-11-09,轻度污染,129,74,37,113,27,23,1.72,33
2013-11-10,良,61,34,30,64,56,34,1.84,34
2013-11-11,良,91,100,82,158,103,59,3.42,25
2013-11-12,良,84,76,37,92,84,48,4.30,10
2013-11-13,良,68,43,32,80,49,37,3.33,14
2013-11-14,良,59,33,18,64,37,25,2.01,21
2013-11-15,良,76,31,47,148,47,31,2.51,16
2013-11-16,中度污染,155,74,78,52,25,13,1.40,40
2013-11-17,重度污染,232,110,22,48,31,20,1.50,31
2013-11-18,良,60,24,49,104,46,31,2.77,13
2013-11-19,良,91,52,74,158,54,36,3.42,9
2013-11-20,轻度污染,118,55,92,189,62,36,3.62,10
2013-11-21,轻度污染,112,42,70,166,51,34,3.39,11
2013-11-22,轻度污染,114,46,97,195,70,41,4.05,8
2013-11-23,中度污染,152,66,124,240,61,35,3.77,8
2013-11-24,轻度污染,147,65,66,214,35,20,2.51,21
2013-11-25,良,90,61,31,84,35,18,1.77,28
2013-11-26,良,71,39,21,87,23,14,1.66,34
2013-11-27,良,72,35,11,79,21,7,1.53,46
2013-11-28,良,61,40,41,96,39,23,2.83,22
2013-11-29,良,92,90,80,167,61,34,4.04,10
2013-11-30,轻度污染,115,88,79,161,56,33,3.80,12
2013-12-01,轻度污染,101,54,75,145,59,34,4.22,11
2013-12-02,轻度污染,112,42,93,201,68,37,4.50,29
2013-12-03,轻度污染,113,32,82,158,64,37,3.49,14
2013-12-04,轻度污染,133,44,103,183,83,54,4.27,13
2013-12-05,良,93,29,46,88,47,32,2.67,17
2013-12-06,轻度污染,102,39,121,192,103,70,4.19,12
2013-12-07,中度污染,179,57,139,209,109,93,4.63,13
2013-12-08,轻度污染,144,33,55,112,43,33,1.94,21
2013-12-09,良,61,6,45,88,68,48,2.21,18
2013-12-10,良,87,27,37,102,50,36,2.17,27
2013-12-11,良,73,22,46,99,85,51,2.20,18
2013-12-12,良,65,16,20,36,45,30,1.75,34
2013-12-13,良,63,17,60,112,88,61,2.89,17
2013-12-14,轻度污染,110,41,97,174,112,70,3.90,12
2013-12-15,轻度污染,141,65,102,192,114,71,4.08,13
2013-12-16,轻度污染,129,75,89,160,110,65,3.43,14
2013-12-17,良,77,50,23,45,44,32,1.91,32
2013-12-18,良,61,44,63,121,105,63,3.51,14
2013-12-19,轻度污染,109,57,84,158,96,69,3.91,13
2013-12-20,轻度污染,124,55,110,190,115,77,5.29,12
2013-12-21,轻度污染,136,59,98,181,158,84,8.86,11
2013-12-22,中度污染,152,73,127,225,194,90,10.22,11
2013-12-23,中度污染,166,62,126,225,180,91,9.97,11
2013-12-24,中度污染,166,48,134,244,162,92,10.68,12
2013-12-25,中度污染,177,46,94,189,62,50,4.54,24
2013-12-26,良,68,6,22,47,52,38,2.49,28
2013-12-27,良,63,19,53,93,101,57,3.15,12
2013-12-28,良,64,14,30,71,66,43,3.10,27
2013-12-29,良,81,25,71,138,127,71,4.91,13
2013-12-30,轻度污染,121,63,82,258,102,64,4.57,18
2013-12-31,中度污染,178,167,63,310,84,58,4.16,18
2014-01-01,轻度污染,146,136,61,175,95,65,6.35,15
2014-01-02,轻度污染,120,70,93,180,114,77,4.97,13
2014-01-03,轻度污染,103,57,68,152,79,61,4.36,18
2014-01-04,轻度污染,117,82,87,171,112,75,4.76,12
2014-01-05,良,82,14,55,109,77,67,4.24,16
2014-01-06,良,95,32,65,137,116,75,4.61,15
2014-01-07,优,49,4,15,53,51,27,2.64,38
2014-01-08,良,54,42,26,63,45,30,2.71,32
2014-01-09,良,67,64,38,83,77,57,3.74,19
2014-01-10,轻度污染,106,93,77,146,125,75,4.53,12
2014-01-11,轻度污染,117,97,83,160,145,70,4.73,16
2014-01-12,良,60,31,34,73,68,46,3.22,22
2014-01-13,良,88,76,62,118,113,72,4.57,18
2014-01-14,良,77,50,51,98,101,72,4.29,12
2014-01-15,良,99,55,72,137,145,82,4.59,10
2014-01-16,轻度污染,101,41,70,142,103,64,4.14,14
2014-01-17,良,71,10,27,89,63,36,2.39,28
2014-01-18,良,81,15,54,110,104,72,3.85,12
2014-01-19,轻度污染,139,76,59,201,83,47,3.18,23
2014-01-20,优,48,6,16,44,51,26,2.96,36
