日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,148,61,111,158,44,41,1.43,46
2013-10-29,优,35,4,15,31,14,21,0.84,49
2013-10-30,良,54,13,26,53,28,37,1.41,33
2013-10-31,轻度污染,143,86,107,149,59,45,2.63,33
2013-11-01,轻度污染,137,77,103,168,66,55,1.70,33
2013-11-02,中度污染,176,89,148,146,62,60,2.32,29
2013-11-03,中度污染,175,105,131,172,32,42,1.65,37
2013-11-04,良,67,21,27,79,36,34,0.66,34
2013-11-05,轻度污染,105,66,79,129,80,60,1.97,21
2013-11-06,中度污染,186,99,128,207,72,61,2.11,33
2013-11-07,良,87,38,13,40,33,24,0.04,43
2013-11-08,良,53,9,26,46,45,34,1.17,32
2013-11-09,良,53,9,27,64,25,24,0.76,33
2013-11-10,良,54,22,26,52,45,25,0.90,45
2013-11-11,良,56,35,26,65,44,27,0.80,35
2013-11-12,良,59,40,35,73,34,34,1.05,28
2013-11-13,良,69,47,53,101,49,38,1.40,25
2013-11-14,良,86,51,82,142,75,49,2.08,30
2013-11-15,良,84,35,64,138,59,56,2.38,21
2013-11-16,轻度污染,113,41,59,152,43,37,2.07,33
2013-11-17,良,65,17,18,52,21,19,1.03,39
2013-11-18,优,44,12,10,49,16,11,0.99,46
2013-11-19,优,44,8,25,34,28,20,1.48,41
2013-11-20,良,55,11,47,82,73,33,2.12,27
2013-11-21,良,88,26,78,136,127,42,2.72,24
2013-11-22,轻度污染,104,34,95,154,79,66,3.21,25
2013-11-23,轻度污染,115,48,119,201,96,81,3.20,26
2013-11-24,中度污染,181,80,111,187,88,52,2.59,24
2013-11-25,良,70,35,19,43,27,18,1.48,48
2013-11-26,优,45,6,23,43,32,29,1.52,33
2013-11-27,优,40,4,15,45,30,10,1.22,55
2013-11-28,良,66,55,52,53,40,23,1.73,41
2013-11-29,良,93,91,52,91,69,44,2.27,33
2013-11-30,良,77,42,45,89,51,34,1.80,43
2013-12-01,良,79,36,62,117,79,61,2.16,36
2013-12-02,轻度污染,112,43,102,188,126,64,3.62,24
2013-12-03,轻度污染,120,36,78,167,82,54,3.29,23
2013-12-04,良,94,20,74,109,66,45,2.77,27
2013-12-05,良,61,5,33,59,50,22,2.00,35
2013-12-06,良,73,16,63,125,105,43,2.50,22
2013-12-07,轻度污染,131,34,143,233,199,57,3.50,21
2013-12-08,重度污染,220,61,141,253,206,66,3.84,16
2013-12-09,轻度污染,103,30,29,50,48,18,2.11,40
2013-12-10,良,64,12,47,89,87,37,2.70,26
2013-12-11,良,60,11,23,63,47,22,2.20,42
2013-12-12,良,62,14,28,68,46,25,2.35,36
2013-12-13,优,50,8,42,67,64,32,2.79,33
2013-12-14,良,80,22,56,99,113,42,2.98,27
2013-12-15,良,75,27,65,108,121,42,3.13,27
2013-12-16,轻度污染,113,61,103,173,167,57,3.78,59
2013-12-17,轻度污染,115,71,52,78,52,24,1.60,77
2013-12-18,优,47,31,25,42,52,24,1.21,43
2013-12-19,优,43,19,19,37,46,22,1.27,42
2013-12-20,优,35,2,18,35,47,21,1.27,45
2013-12-21,良,58,13,60,97,134,42,2.08,28
2013-12-22,轻度污染,106,26,104,149,176,50,2.48,20
2013-12-23,中度污染,161,60,97,185,84,39,2.45,32
2013-12-24,轻度污染,131,39,65,104,146,46,2.28,30
2013-12-25,轻度污染,137,31,155,266,259,72,3.64,19
2013-12-26,轻度污染,124,35,29,68,48,20,1.75,43
2013-12-27,良,78,32,67,126,93,46,2.36,25
2013-12-28,良,91,40,62,100,85,39,2.29,29
2013-12-29,良,71,16,54,90,61,34,2.21,40
2013-12-30,良,79,13,65,120,73,40,2.52,33
2013-12-31,良,87,27,48,122,61,30,2.17,39
2014-01-01,良,81,22,49,99,75,33,2.20,31
2014-01-02,良,86,30,62,103,73,40,2.34,25
2014-01-03,良,73,25,47,85,85,32,2.18,35
2014-01-04,轻度污染,108,69,81,129,86,38,2.71,21
2014-01-05,轻度污染,150,86,115,157,112,45,2.84,24
2014-01-06,中度污染,168,96,129,189,102,46,3.46,23
2014-01-07,轻度污染,114,90,81,123,100,40,3.30,30
2014-01-08,优,44,14,25,45,57,20,1.88,52
2014-01-09,良,84,121,58,97,57,40,2.61,39
2014-01-10,轻度污染,111,105,80,131,73,55,3.22,21
2014-01-11,中度污染,154,130,118,197,171,59,3.86,19
2014-01-12,良,64,38,36,63,58,25,2.24,50
2014-01-13,轻度污染,102,92,73,124,117,54,3.06,19
2014-01-14,中度污染,193,152,150,232,203,59,4.28,20
2014-01-15,中度污染,199,122,156,240,135,61,4.62,25
2014-01-16,轻度污染,141,88,107,177,190,50,3.66,19
2014-01-17,良,83,24,60,94,113,36,2.62,33
2014-01-18,良,96,35,67,106,104,41,3.09,32
2014-01-19,轻度污染,106,35,77,116,89,47,3.27,25
2014-01-20,良,73,34,50,85,64,26,2.65,40
2014-01-21,良,83,73,57,89,105,42,3.02,31
2014-01-22,中度污染,177,178,138,213,228,76,4.74,22
2014-01-24,中度污染,161,121,125,182,144,64,3.83,27
2014-01-25,良,64,30,23,79,81,21,2.57,54
2014-01-26,良,62,41,31,71,75,35,2.86,39
2014-01-27,良,87,86,55,106,103,42,3.11,36
2014-01-28,良,52,27,22,55,92,20,2.60,56
2014-01-29,良,69,47,43,77,83,33,3.06,42
2014-01-30,轻度污染,105,59,69,115,110,30,3.34,46
2014-01-31,中度污染,188,74,140,224,129,39,3.48,31
2014-02-01,轻度污染,143,109,108,160,187,40,3.50,39
2014-02-02,轻度污染,127,86,60,167,104,25,3.30,44
2014-02-03,优,50,35,24,47,68,16,2.35,59
2014-02-04,良,59,101,38,63,56,24,2.68,47
2014-02-05,良,93,167,68,110,126,45,3.41,32
2014-02-06,良,91,146,66,115,151,40,2.99,42
2014-02-07,良,53,92,33,54,93,22,2.65,51
2014-02-08,优,39,26,19,38,37,15,2.52,58
2014-02-09,优,35,41,12,31,32,9,2.47,63
2014-02-10,良,56,100,34,52,72,27,1.87,53
2014-02-11,轻度污染,128,161,96,135,117,59,2.19,34
2014-02-12,轻度污染,139,142,106,169,140,61,1.92,41
2014-02-13,轻度污染,112,118,84,129,131,46,1.52,59
2014-02-14,轻度污染,136,124,105,148,118,60,1.87,44
2014-02-15,严重污染,298,179,247,334,189,84,3.16,27
2014-02-16,良,99,103,71,117,113,43,1.56,59
2014-02-17,良,76,97,48,86,91,31,1.30,64
2014-02-18,良,83,126,58,94,106,40,1.40,56
2014-02-19,良,94,108,67,98,90,43,1.64,50
2014-02-20,轻度污染,112,106,81,133,125,61,2.11,35
2014-02-21,中度污染,193,158,150,205,230,73,3.16,32
2014-02-22,重度污染,221,165,171,241,140,66,2.70,38
2014-02-23,中度污染,163,124,124,171,140,61,1.82,46
2014-02-24,轻度污染,143,90,109,157,117,62,2.02,42
2014-02-25,中度污染,184,133,142,209,97,63,2.83,36
2014-02-26,轻度污染,129,114,96,144,77,51,1.66,53
2014-02-27,良,70,66,41,80,65,31,1.12,51
2014-02-28,良,78,128,42,102,98,45,1.38,37
2014-03-01,良,91,138,62,104,131,49,1.44,58
2014-03-02,良,94,107,67,110,95,55,1.68,40
2014-03-03,轻度污染,147,157,111,183,175,70,2.04,35
2014-03-04,轻度污染,114,161,84,117,68,39,1.56,63
2014-03-05,良,51,31,29,55,49,33,1.26,49
2014-03-06,优,46,30,21,47,54,21,1.07,59
2014-03-07,良,62,83,38,71,64,35,1.41,51
2014-03-08,良,71,91,46,80,46,38,1.36,49
2014-03-09,良,53,41,24,58,46,26,1.21,55
2014-03-10,良,56,27,32,60,41,40,1.24,46
2014-03-11,轻度污染,127,128,89,153,75,49,1.67,42
2014-03-12,优,49,17,15,51,45,18,0.91,66
2014-03-13,良,54,18,28,57,41,28,1.12,60
2014-03-14,良,73,42,47,84,46,47,1.47,52
2014-03-15,轻度污染,106,112,76,134,89,65,2.20,42
2014-03-16,良,81,30,47,106,95,47,1.56,52
2014-03-17,中度污染,161,138,106,201,63,48,1.88,62
2014-03-18,良,91,51,46,123,53,34,1.38,77
2014-03-19,良,76,38,41,97,55,42,1.42,60
2014-03-20,良,56,29,16,65,28,16,1.25,69
2014-03-21,良,84,133,51,102,52,54,1.89,49
2014-03-22,轻度污染,145,181,107,180,73,71,2.55,55
2014-03-23,轻度污染,138,155,104,164,63,64,2.23,84
2014-03-25,中度污染,176,154,135,194,68,62,2.17,70
2014-03-26,轻度污染,105,88,78,114,46,55,1.60,37
2014-03-27,轻度污染,104,73,70,110,63,47,1.59,66
2014-03-28,轻度污染,121,145,86,134,48,52,1.72,66
2014-03-29,良,71,67,43,75,41,38,1.48,69
2014-03-30,良,94,93,63,117,57,69,1.82,62
2014-03-31,良,76,68,46,92,47,54,1.48,62
2014-04-01,轻度污染,128,171,97,134,39,51,1.88,94
2014-04-02,轻度污染,101,133,48,127,50,33,1.43,74
2014-04-03,良,66,58,23,82,32,32,1.26,59
2014-04-04,良,93,125,26,134,45,34,1.50,54
2014-04-05,良,58,18,17,69,20,17,1.25,58
2014-04-06,良,90,125,47,129,37,56,1.92,38
2014-04-07,轻度污染,115,164,73,158,65,57,2.22,73
2014-04-08,中度污染,163,171,124,201,49,67,2.62,74
2014-04-09,中度污染,187,180,64,247,41,39,1.80,73
2014-04-10,良,71,47,30,91,41,38,1.66,64
2014-04-11,良,84,91,53,114,48,71,2.01,45
2014-04-12,良,83,117,59,104,31,65,2.02,58
2014-04-13,良,86,116,63,99,27,52,2.00,75
2014-04-14,轻度污染,149,162,112,180,33,48,2.47,90
2014-04-15,轻度污染,106,131,52,145,49,40,1.92,53
2014-04-16,良,83,121,48,113,34,54,1.84,47
2014-04-17,良,91,109,57,125,46,57,1.80,35
2014-04-18,良,64,58,25,77,31,25,1.54,60
2014-04-19,良,61,92,29,70,31,32,1.61,62
2014-04-20,良,64,75,41,74,19,46,2.02,52
2014-04-21,良,62,71,36,75,14,45,1.91,45
2014-04-22,轻度污染,111,149,81,135,22,59,2.47,70
2014-04-23,中度污染,160,180,121,179,25,46,2.41,69
2014-04-24,良,77,72,46,97,15,29,1.94,90
2014-04-25,良,71,88,46,82,11,28,1.92,97
2014-04-26,良,70,114,36,86,23,28,1.94,59
2014-04-27,良,81,126,42,94,38,38,2.05,46
2014-04-28,良,84,139,33,118,35,46,1.89,46
2014-04-29,良,90,118,55,127,29,52,1.70,81
2014-04-30,轻度污染,103,119,73,137,26,57,2.32,87
2014-05-01,轻度污染,136,159,103,181,43,44,2.64,143
2014-05-02,良,77,75,37,101,18,21,1.70,68
2014-05-03,良,57,31,30,67,16,33,1.87,62
2014-05-04,良,59,55,18,69,12,22,1.32,54
2014-05-05,良,55,58,23,61,13,30,1.13,46
2014-05-06,良,69,70,31,86,23,44,1.43,50
2014-05-07,良,76,77,50,76,20,29,1.43,62
2014-05-08,优,50,27,25,52,16,33,1.35,73
2014-05-09,良,70,79,48,83,41,58,1.72,47
2014-05-10,良,66,125,38,78,19,49,1.61,51
2014-05-11,良,61,128,41,62,23,33,1.72,69
2014-05-12,良,56,48,26,48,14,32,1.77,74
2014-05-13,轻度污染,104,155,65,152,29,66,1.73,62
2014-05-14,良,76,92,24,102,18,28,0.89,58
2014-05-15,良,59,45,28,67,16,46,1.06,46
2014-05-16,良,83,74,51,108,37,54,1.28,49
2014-05-17,良,71,56,41,90,32,46,1.15,66
2014-05-18,良,70,83,40,83,26,38,1.15,89
2014-05-19,良,91,107,66,109,18,33,1.27,74
2014-05-20,良,94,94,62,129,32,30,0.95,62
2014-05-21,轻度污染,111,114,80,134,14,51,0.87,55
2014-05-22,中度污染,155,173,116,187,36,43,1.09,88
2014-05-23,轻度污染,112,163,80,141,23,37,1.01,118
2014-05-24,良,65,107,42,73,12,34,0.75,68
2014-05-25,良,61,60,34,72,9,33,0.98,44
2014-05-26,良,61,46,16,73,16,39,0.71,72
2014-05-27,良,93,67,41,135,81,54,1.18,62
2014-05-28,优,49,20,12,50,14,32,0.70,76
2014-05-29,轻度污染,106,87,69,135,90,65,1.58,82
2014-05-30,轻度污染,117,106,62,153,64,52,1.15,128
2014-05-31,轻度污染,108,117,74,153,24,39,0.90,157
2014-06-01,轻度污染,112,167,75,149,18,35,0.98,108
2014-06-02,良,56,70,21,52,14,24,0.63,102
2014-06-03,良,71,119,39,81,29,40,0.91,97
2014-06-04,良,65,70,35,75,13,44,0.85,78
2014-06-05,优,42,22,21,41,10,26,0.71,56
2014-06-06,优,48,40,24,48,33,36,0.58,31
2014-06-07,优,25,3,12,20,12,19,0.42,37
2014-06-08,优,44,23,27,46,18,23,0.61,68
2014-06-09,良,55,66,30,57,18,26,0.61,79
2014-06-10,良,58,80,38,60,14,22,0.63,67
2014-06-11,良,57,52,36,58,25,29,0.68,63
2014-06-12,优,40,8,20,39,18,23,0.62,49
2014-06-13,优,38,4,14,37,13,24,0.51,48
2014-06-14,良,65,34,35,78,37,47,0.96,66
2014-06-15,良,83,66,55,96,27,49,1.14,83
2014-06-16,中度污染,178,181,135,171,18,51,1.32,81
2014-06-17,中度污染,158,174,119,175,10,34,0.96,86
2014-06-18,轻度污染,103,153,70,117,17,31,0.95,94
2014-06-19,优,43,36,20,42,16,27,0.36,55
2014-06-20,良,71,149,49,80,21,41,0.59,47
2014-06-21,良,64,114,41,71,9,38,0.60,55
2014-06-22,良,73,125,52,81,34,42,0.74,44
2014-06-23,良,60,68,35,66,19,39,0.62,58
2014-06-24,良,86,119,57,91,16,44,1.10,88
2014-06-25,良,71,123,49,77,12,30,0.61,92
2014-06-26,轻度污染,127,176,93,137,15,27,1.18,81
2014-06-27,优,40,28,19,39,10,26,0.50,57
2014-06-28,优,45,38,22,45,12,29,0.52,51
2014-06-29,良,60,74,34,67,12,37,0.76,59
2014-06-30,良,72,81,44,89,13,41,0.82,69
2014-07-01,良,74,91,51,75,10,25,0.73,86
2014-07-02,轻度污染,136,186,101,147,6,18,0.97,78
2014-07-03,良,100,159,75,115,9,19,0.74,83
2014-07-04,轻度污染,106,161,79,114,9,22,0.75,90
2014-07-05,良,89,153,63,102,9,23,0.65,76
2014-07-06,良,52,62,31,55,7,19,0.57,61
2014-07-07,良,60,54,38,69,10,27,0.70,66
2014-07-08,良,61,62,38,65,8,19,0.67,78
2014-07-09,良,98,165,62,127,20,37,0.92,53
2014-07-10,优,50,44,22,52,17,40,0.65,66
2014-07-11,优,46,44,15,45,16,35,0.62,66
2014-07-12,优,48,53,24,47,18,37,0.69,65
2014-07-13,良,56,79,25,57,17,44,0.90,73
2014-07-14,轻度污染,105,145,74,116,39,41,1.23,116
2014-07-15,轻度污染,119,190,69,104,13,17,0.89,150
2014-07-16,良,75,129,52,76,11,19,0.70,96
2014-07-17,良,79,137,53,83,8,24,0.75,104
2014-07-18,轻度污染,103,165,76,117,9,17,0.69,104
2014-07-19,中度污染,183,190,141,203,14,20,1.07,139
2014-07-20,轻度污染,115,181,84,102,16,17,0.61,128
2014-07-21,良,54,72,32,49,17,27,0.57,58
2014-07-22,良,53,62,25,58,19,48,0.70,50
2014-07-23,良,62,112,29,69,13,56,0.93,71
2014-07-24,良,70,129,40,86,51,63,1.09,45
