日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,121,44,91,132,37,71,1.08,37
2013-10-29,中度污染,151,70,114,173,37,89,1.29,34
2013-10-30,良,94,55,70,91,16,58,0.92,28
2013-10-31,良,74,43,35,86,20,48,0.93,36
2013-11-01,良,66,31,36,78,23,46,0.82,37
2013-11-02,轻度污染,103,55,77,115,24,58,1.02,22
2013-11-03,轻度污染,144,87,109,145,23,55,1.52,5
2013-11-04,轻度污染,109,69,77,117,29,51,1.32,39
2013-11-05,良,83,39,58,99,35,59,0.94,39
2013-11-06,轻度污染,128,62,130,178,42,86,1.38,36
2013-11-07,中度污染,196,109,137,182,44,82,1.02,49
2013-11-08,重度污染,213,108,155,205,62,86,1.37,47
2013-11-09,中度污染,173,90,134,198,32,93,1.53,36
2013-11-10,中度污染,160,98,67,83,15,38,1.15,27
2013-11-11,良,57,42,46,78,34,40,0.97,35
2013-11-12,良,72,60,55,75,19,65,0.98,6
2013-11-13,良,66,42,39,63,19,55,0.74,21
2013-11-14,良,78,47,82,107,30,63,1.15,7
2013-11-15,轻度污染,119,60,89,163,47,63,1.22,17
2013-11-16,轻度污染,122,51,76,195,34,62,0.96,30
2013-11-17,轻度污染,131,92,61,182,40,57,0.73,22
2013-11-18,良,93,62,72,127,54,68,1.02,15
2013-11-19,轻度污染,116,82,111,163,54,81,1.28,12
2013-11-20,中度污染,173,97,139,203,41,98,1.45,22
2013-11-21,重度污染,244,105,284,398,63,131,2.12,11
2013-11-22,严重污染,281,101,168,193,37,98,1.64,16
2013-11-23,中度污染,199,72,168,214,52,95,1.61,22
2013-11-24,中度污染,183,81,80,107,32,65,1.46,6
2013-11-25,良,75,43,36,148,27,45,0.81,22
2013-11-26,轻度污染,133,101,82,227,30,74,1.21,9
2013-11-27,轻度污染,129,100,72,154,47,56,1.03,15
2013-11-28,良,76,77,36,87,41,51,0.72,17
2013-11-29,良,75,62,58,111,51,60,0.90,14
2013-11-30,良,89,60,77,127,29,77,1.08,13
2013-12-01,轻度污染,133,83,138,181,93,90,1.49,12
2013-12-02,重度污染,206,91,154,217,57,91,1.69,13
2013-12-03,重度污染,236,83,232,297,54,123,2.04,20
2013-12-04,严重污染,286,90,264,319,69,110,2.24,11
2013-12-05,严重污染,326,99,278,330,32,105,2.38,12
2013-12-06,严重污染,338,106,322,368,63,90,2.49,14
2013-12-07,严重污染,393,108,384,455,57,99,2.90,12
2013-12-08,严重污染,417,108,353,405,49,105,2.65,15
2013-12-09,严重污染,382,114,221,278,41,82,2.57,4
2013-12-10,中度污染,160,94,71,128,57,67,1.14,13
2013-12-11,轻度污染,124,75,109,160,72,74,1.32,11
2013-12-12,轻度污染,150,100,145,216,65,96,1.77,6
2013-12-13,重度污染,224,108,184,256,88,109,1.88,7
2013-12-14,中度污染,189,96,115,168,46,90,1.42,6
2013-12-15,中度污染,154,71,112,125,29,71,1.24,21
