日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,42,25,27,38,13,12,2.00,43
2015-01-02,优,45,39,30,39,15,12,2.02,47
2015-01-03,良,88,115,65,82,27,26,2.57,40
2015-01-04,严重污染,295,346,245,305,28,58,4.57,28
2015-01-05,重度污染,205,290,162,209,26,43,3.69,25
2015-01-06,优,34,14,20,31,12,8,2.05,48
2015-01-07,优,32,3,17,29,11,8,1.74,44
2015-01-08,优,38,10,22,37,11,14,1.14,46
2015-01-09,良,59,46,41,57,14,25,0.88,43
2015-01-10,轻度污染,108,168,80,99,16,32,1.05,44
2015-01-11,良,76,105,55,71,10,25,0.93,41
2015-01-12,优,49,64,34,45,13,16,0.63,46
2015-01-13,良,60,117,42,57,24,26,0.90,44
2015-01-14,良,83,160,60,81,18,38,1.40,29
2015-01-15,良,68,98,47,71,20,33,1.31,30
2015-01-16,良,69,88,48,67,21,26,1.10,36
2015-01-17,优,28,4,16,26,16,11,0.67,47
2015-01-18,优,39,16,24,38,23,24,0.80,41
2015-01-19,优,43,23,28,44,17,19,0.96,38
2015-01-20,良,60,43,42,58,19,21,0.99,42
2015-01-21,轻度污染,105,185,78,113,14,31,1.66,35
2015-01-22,轻度污染,117,226,87,131,21,33,1.58,42
2015-01-23,中度污染,154,252,117,168,18,41,1.75,38
2015-01-24,轻度污染,131,191,100,152,15,33,1.68,45
2015-01-25,重度污染,218,311,169,248,14,62,2.71,22
2015-01-26,轻度污染,145,204,110,150,20,44,1.73,33
2015-01-27,优,32,12,16,26,8,9,0.45,53
2015-01-28,优,35,55,20,34,14,19,0.57,51
2015-01-29,良,55,150,35,57,26,26,0.74,56
2015-01-30,良,82,227,59,95,18,31,1.15,47
2015-01-31,良,58,116,39,63,12,21,0.73,56
2015-02-01,良,55,84,35,62,13,27,0.84,50
2015-02-02,良,65,78,44,72,19,33,0.88,56
2015-02-03,良,71,89,48,84,21,40,1.13,42
2015-02-04,轻度污染,150,267,112,178,18,57,2.08,34
2015-02-05,轻度污染,133,312,100,152,20,42,1.55,50
2015-02-06,良,67,71,45,76,22,27,0.72,58
2015-02-07,良,52,42,32,55,14,16,0.50,58
2015-02-08,优,30,5,13,24,7,9,0.34,56
2015-02-09,优,32,4,12,24,10,10,0.32,60
2015-02-10,优,35,7,12,26,12,12,0.28,64
2015-02-11,优,36,4,17,29,14,14,0.33,62
2015-02-12,良,65,89,45,77,18,34,0.90,44
2015-02-13,优,48,21,29,46,21,22,0.51,65
2015-02-14,优,43,23,24,40,19,22,0.37,71
2015-02-15,良,62,61,42,69,15,33,1.00,58
2015-02-16,良,88,141,64,101,12,35,1.05,55
2015-02-17,优,41,15,21,38,13,18,0.44,64
2015-02-18,优,49,41,29,50,19,20,0.55,60
2015-02-19,良,72,84,48,79,24,17,0.55,67
2015-02-20,良,84,263,61,96,20,32,0.94,62
2015-02-21,优,45,73,28,46,14,18,0.47,58
2015-02-22,中度污染,167,316,62,232,13,17,0.40,92
2015-02-23,重度污染,212,360,79,282,14,13,0.40,109
2015-02-24,优,47,70,23,45,17,20,0.61,67
2015-02-25,轻度污染,114,291,85,127,17,41,1.33,69
2015-02-26,轻度污染,109,309,80,114,15,40,1.15,66
2015-02-27,良,55,203,35,52,15,18,0.48,75
2015-02-28,良,58,214,39,53,23,20,0.48,82
2015-03-01,优,47,99,31,41,19,11,0.42,74
2015-03-02,良,63,121,44,55,17,19,0.49,81
2015-03-03,良,66,141,46,64,19,20,0.53,85
2015-03-04,良,52,135,31,43,14,21,0.53,81
2015-03-05,良,53,148,34,47,17,16,0.55,79
2015-03-06,良,52,108,33,51,20,25,0.80,72
2015-03-07,优,45,58,24,38,20,13,0.63,80
2015-03-08,优,39,38,16,28,16,15,0.58,72
2015-03-09,优,37,22,18,30,15,16,0.66,61
2015-03-10,优,32,11,10,21,13,9,0.60,65
2015-03-11,优,40,46,8,29,10,4,0.48,77
2015-03-12,优,37,31,11,18,11,8,0.48,76
2015-03-13,优,44,47,22,34,10,18,0.58,82
2015-03-14,优,50,36,25,40,9,16,0.53,97
2015-03-15,良,65,80,28,77,10,22,0.62,86
2015-03-16,良,89,186,46,126,13,20,0.81,76
2015-03-17,优,50,52,23,46,10,12,0.60,82
2015-03-18,优,46,72,19,40,11,18,0.55,76
2015-03-19,优,48,63,21,50,11,24,0.75,56
2015-03-20,优,38,25,12,31,11,12,0.46,73
2015-03-21,优,44,21,11,40,11,14,0.47,73
2015-03-22,优,44,13,9,43,11,10,0.46,63
2015-03-23,优,35,7,10,27,11,8,0.55,67
2015-03-24,优,38,22,17,26,10,12,0.49,73
2015-03-25,良,58,129,33,50,15,18,0.47,103
2015-03-26,良,81,237,53,85,21,18,0.76,135
2015-03-27,良,83,215,57,105,15,17,0.81,109
2015-03-28,优,34,5,12,25,9,17,0.47,63
2015-03-29,优,47,29,29,42,11,16,0.62,72
2015-03-30,良,61,107,41,58,13,17,0.72,83
2015-03-31,优,41,27,19,30,9,13,0.49,68
2015-04-01,优,50,83,26,47,10,13,0.50,84
2015-04-02,良,64,214,42,64,12,18,0.60,90
2015-04-03,优,42,55,13,26,10,10,0.42,81
2015-04-04,优,36,21,12,27,13,8,0.40,70
2015-04-05,优,37,30,15,28,12,9,0.51,70
2015-04-06,优,40,73,15,23,11,5,0.42,79
2015-04-07,优,39,67,13,23,12,6,0.45,76
2015-04-08,优,44,83,19,37,14,11,0.44,82
2015-04-09,良,68,215,45,58,12,15,0.73,90
2015-04-10,良,70,207,46,64,7,19,0.76,71
2015-04-11,优,40,38,19,31,7,13,0.49,74
2015-04-12,优,50,59,30,48,8,15,0.54,79
2015-04-13,良,59,115,35,64,13,12,0.51,97
2015-04-14,良,75,177,41,94,19,18,0.56,99
2015-04-15,良,73,105,43,94,19,19,0.68,86
2015-04-16,良,78,110,44,94,14,12,0.60,94
2015-04-17,良,56,37,38,56,9,13,0.63,66
2015-04-18,优,33,3,17,30,9,13,0.54,54
2015-04-19,良,75,253,51,82,11,19,0.73,97
2015-04-20,良,96,335,61,126,9,18,0.66,86
2015-04-21,良,51,93,24,55,7,10,0.44,72
2015-04-22,良,58,97,37,56,8,14,0.51,87
2015-04-23,良,62,103,28,69,7,9,0.44,100
2015-04-24,优,47,30,22,38,8,14,0.46,74
2015-04-25,良,78,166,50,89,12,22,0.68,85
2015-04-26,良,97,256,62,129,14,17,0.84,97
2015-04-27,优,49,32,28,47,9,16,0.51,77
2015-04-28,良,68,161,45,70,11,24,0.72,72
2015-04-29,良,92,271,63,101,11,29,0.80,100
2015-04-30,良,65,86,32,69,9,17,0.42,99
2015-05-01,良,55,97,30,59,10,22,0.43,80
2015-05-02,良,60,181,42,60,9,20,0.61,78
2015-05-03,良,69,196,41,82,9,25,0.70,67
2015-05-04,优,50,68,14,50,10,14,0.39,68
2015-05-05,轻度污染,114,324,27,148,8,13,0.40,68
2015-05-06,优,32,16,6,15,8,6,0.38,61
2015-05-07,优,34,18,7,14,7,7,0.29,70
2015-05-08,优,35,26,12,23,7,9,0.38,64
2015-05-09,优,33,24,9,21,8,9,0.36,65
2015-05-10,优,42,38,13,26,7,6,0.34,85
2015-05-11,优,48,121,17,38,6,10,0.43,88
2015-05-12,优,38,24,19,34,7,18,0.58,64
2015-05-13,优,36,15,13,23,8,12,0.62,68
2015-05-14,优,33,20,12,25,8,11,0.56,56
2015-05-15,优,33,27,13,26,6,6,0.47,66
2015-05-16,优,35,36,13,30,5,7,0.48,61
2015-05-17,优,32,15,10,23,6,7,0.48,62
2015-05-18,优,38,39,12,30,7,10,0.57,67
2015-05-19,优,33,27,6,14,7,8,0.59,60
2015-05-20,优,34,33,14,30,8,13,0.66,52
2015-05-21,优,39,49,16,36,7,9,0.69,72
2015-05-22,优,38,40,16,34,6,9,0.73,58
2015-05-23,优,35,38,14,31,7,12,0.69,61
2015-05-24,优,45,51,17,44,6,17,0.74,48
2015-05-25,优,28,5,12,20,6,11,0.66,46
2015-05-26,优,33,15,14,28,8,16,0.56,50
2015-05-27,优,44,49,17,35,7,16,0.56,69
2015-05-28,优,39,22,20,32,7,14,0.65,69
2015-05-29,良,51,115,29,46,7,17,0.75,73
2015-05-30,优,35,22,20,22,20,9,0.48,63
2015-05-31,优,37,27,17,27,33,12,0.52,72
2015-06-01,优,39,42,15,28,41,14,0.59,73
2015-06-02,优,32,23,13,16,7,11,0.35,63
2015-06-03,优,29,16,8,17,6,12,0.40,45
2015-06-04,优,40,64,25,35,11,18,0.53,40
2015-06-05,优,30,17,16,24,11,14,0.45,46
2015-06-06,优,32,11,11,26,7,16,0.42,56
2015-06-07,优,28,13,12,20,7,15,0.54,50
2015-06-08,优,42,112,11,17,9,7,0.46,86
2015-06-09,优,35,35,13,24,11,12,0.54,62
2015-06-10,优,35,27,11,28,11,21,0.56,52
2015-06-11,优,43,83,18,41,12,24,0.71,61
2015-06-12,优,44,71,15,37,8,21,0.69,68
2015-06-13,优,37,46,12,25,7,17,0.63,71
2015-06-14,优,38,68,14,34,7,20,0.66,57
2015-06-15,优,46,100,12,34,8,15,0.60,93
2015-06-16,良,61,176,18,40,7,19,0.55,112
2015-06-17,良,62,196,20,45,7,25,0.64,97
2015-06-18,优,40,72,12,27,6,14,0.60,60
2015-06-19,优,26,14,11,24,7,17,0.60,38
2015-06-20,优,37,42,15,33,5,25,0.63,45
2015-06-21,良,51,119,17,37,6,16,0.59,95
2015-06-22,优,47,102,12,40,7,13,0.58,54
2015-06-23,优,33,48,10,24,8,17,0.62,63
2015-06-24,良,60,248,29,51,8,17,0.79,103
2015-06-25,良,74,315,47,66,8,17,0.95,110
2015-06-26,良,59,236,37,52,5,15,0.98,99
2015-06-27,优,24,9,9,19,6,14,0.66,26
2015-06-28,优,32,45,12,23,5,13,0.69,66
2015-06-29,优,36,69,11,20,4,14,0.73,61
2015-06-30,优,27,12,6,19,4,13,0.56,53
2015-07-01,优,36,54,13,32,7,21,0.67,47
2015-07-02,优,25,6,7,17,4,12,0.63,30
2015-07-03,优,32,30,10,27,5,17,0.66,41
2015-07-04,优,30,19,11,25,5,16,0.66,48
2015-07-05,优,33,43,12,25,5,18,0.72,61
2015-07-06,优,47,120,18,34,6,13,0.76,92
2015-07-07,优,25,6,6,14,8,13,0.64,37
2015-07-08,优,23,5,8,18,7,17,0.60,39
2015-07-09,优,49,109,22,41,6,18,0.75,76
2015-07-10,良,67,236,27,47,6,19,0.80,107
2015-07-11,良,63,210,28,52,8,33,0.81,92
2015-07-12,优,50,114,19,37,9,19,0.77,83
2015-07-13,优,28,4,7,17,8,17,0.74,47
2015-07-14,优,21,1,4,11,4,11,0.60,37
2015-07-15,优,29,10,10,25,4,21,0.61,33
2015-07-16,优,38,33,11,29,4,28,0.64,47
2015-07-17,优,40,47,16,39,5,38,0.65,39
2015-07-18,优,49,118,18,40,7,31,0.64,66
2015-07-19,良,63,216,25,52,7,44,0.73,71
