日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,88,226,62,97,166,22,2.12,16
2015-01-02,轻度污染,137,560,103,165,251,30,3.39,12
2015-01-03,中度污染,173,301,132,200,215,36,2.95,13
2015-01-04,中度污染,191,252,146,213,168,43,2.28,26
2015-01-05,中度污染,187,273,143,197,100,32,1.60,20
2015-01-06,良,85,234,59,114,79,24,1.22,13
2015-01-07,轻度污染,118,309,88,146,127,28,2.44,14
2015-01-08,轻度污染,132,277,97,154,84,25,2.28,17
2015-01-09,轻度污染,134,236,99,163,121,31,2.93,18
2015-01-10,轻度污染,113,184,82,132,149,36,2.99,15
2015-01-11,轻度污染,108,186,78,130,137,38,3.61,18
2015-01-12,轻度污染,112,243,84,130,124,34,2.73,16
2015-01-13,良,99,210,72,109,100,31,1.75,14
2015-01-14,轻度污染,132,260,100,155,82,32,1.63,15
2015-01-15,中度污染,169,280,130,212,99,40,2.10,13
2015-01-16,良,71,96,46,85,78,21,1.32,25
2015-01-17,良,86,147,63,102,114,30,1.64,18
2015-01-18,良,71,75,37,82,60,18,0.99,25
2015-01-19,良,80,118,49,98,157,33,2.28,14
2015-01-20,良,96,177,65,123,161,34,2.24,19
2015-01-21,优,41,18,17,42,51,16,0.88,29
2015-01-22,良,77,88,54,93,113,30,2.06,16
2015-01-23,轻度污染,142,227,107,171,162,43,4.05,11
2015-01-24,重度污染,212,308,168,247,132,43,4.98,4
2015-01-25,中度污染,182,262,140,186,68,32,2.73,11
2015-01-26,中度污染,183,258,140,209,99,35,4.07,8
2015-01-27,轻度污染,108,279,78,138,42,27,2.01,8
2015-01-28,良,67,230,47,68,43,21,1.48,10
2015-01-29,良,79,246,58,81,76,21,1.82,23
2015-01-30,轻度污染,102,271,76,114,102,25,2.71,18
2015-01-31,轻度污染,121,320,91,141,84,29,2.28,18
2015-02-01,良,68,137,45,79,83,30,1.61,17
2015-02-02,良,69,94,47,83,80,26,1.77,17
2015-02-03,轻度污染,113,204,85,146,133,29,3.39,17
2015-02-04,良,64,105,37,74,72,17,1.50,27
2015-02-05,良,54,71,27,60,96,20,1.45,20
2015-02-06,良,84,141,57,112,143,25,2.99,20
2015-02-07,良,70,87,42,86,113,24,1.81,21
2015-02-08,良,67,138,25,84,51,16,1.04,26
2015-02-09,良,98,248,69,134,128,30,2.70,16
2015-02-10,轻度污染,107,209,76,141,101,28,3.53,28
2015-02-11,良,77,97,38,101,50,15,0.83,36
2015-02-12,良,73,108,32,93,82,25,1.62,21
2015-02-13,良,80,131,46,106,103,29,2.32,22
2015-02-14,轻度污染,108,160,79,151,129,39,3.39,25
2015-02-15,轻度污染,108,204,66,152,92,29,2.68,29
2015-02-16,良,72,86,20,93,33,13,0.58,36
2015-02-17,良,100,203,65,136,106,26,2.86,28
2015-02-18,轻度污染,126,290,91,168,60,22,1.95,34
2015-02-19,良,73,86,49,88,34,13,0.80,38
2015-02-20,良,59,166,38,64,28,15,0.89,26
2015-02-21,轻度污染,112,293,76,143,52,17,2.81,26
2015-02-22,良,97,205,29,143,27,10,0.56,34
2015-02-23,良,99,269,55,145,76,20,2.11,18
2015-02-24,轻度污染,138,325,92,183,95,29,3.22,17
2015-02-25,良,71,206,27,91,52,18,1.17,29
2015-02-26,良,73,224,39,95,66,19,1.93,32
2015-02-27,良,61,229,33,71,28,14,1.09,35
2015-02-28,良,51,192,25,52,27,13,0.93,28
2015-03-01,优,44,80,13,45,43,17,1.00,29
2015-03-02,良,67,146,34,82,82,24,3.09,25
2015-03-03,良,65,138,16,87,25,11,0.65,33
2015-03-04,良,53,142,14,55,20,12,0.66,31
2015-03-05,良,56,160,30,60,27,13,0.84,29
2015-03-06,良,98,273,72,113,52,22,2.78,26
2015-03-07,轻度污染,117,309,88,143,96,34,3.75,25
2015-03-08,良,84,231,54,99,92,35,2.84,22
2015-03-09,轻度污染,117,317,79,153,41,30,1.89,20
2015-03-10,良,64,182,29,77,40,20,1.15,26
2015-03-11,良,78,222,51,103,66,29,1.98,22
2015-03-12,良,74,163,39,94,88,34,2.35,37
2015-03-13,轻度污染,106,262,73,157,107,41,4.11,28
2015-03-14,轻度污染,102,210,74,144,75,37,1.88,30
2015-03-15,轻度污染,134,284,100,199,105,46,3.73,28
2015-03-16,轻度污染,132,286,96,186,74,41,2.78,31
2015-03-17,良,85,225,56,112,40,29,2.69,27
2015-03-18,良,68,191,36,84,30,25,2.05,30
2015-03-19,良,79,207,50,105,37,30,3.68,20
2015-03-20,良,74,172,39,95,33,32,2.25,30
2015-03-21,良,60,90,23,69,27,29,1.16,41
2015-03-22,良,75,139,36,97,37,33,2.67,33
2015-03-23,良,74,214,26,97,27,27,1.60,22
2015-03-24,良,59,143,23,67,29,27,1.43,28
2015-03-25,优,45,45,13,44,17,19,0.80,41
2015-03-26,良,51,81,19,55,17,23,1.35,32
2015-03-27,良,53,86,25,57,21,25,1.97,30
2015-03-28,良,55,63,23,60,26,26,1.52,33
2015-03-29,良,65,95,29,77,34,28,1.62,40
2015-03-30,良,64,117,32,77,28,24,1.34,50
2015-03-31,良,69,166,43,86,36,21,1.44,35
2015-04-01,优,40,42,19,39,25,21,2.21,35
2015-04-02,优,44,73,24,46,22,17,1.66,33
2015-04-03,良,63,165,38,75,34,21,2.02,33
2015-04-04,良,71,204,43,89,21,19,1.37,37
2015-04-05,良,64,166,37,80,28,18,1.15,29
2015-04-06,良,64,224,35,77,34,21,1.21,26
2015-04-07,良,67,271,40,82,25,22,1.04,22
2015-04-08,良,66,240,37,80,44,24,1.24,29
2015-04-09,良,82,280,51,112,46,25,1.95,30
2015-04-10,良,90,276,57,127,46,29,2.29,32
2015-04-11,良,87,257,54,119,51,31,1.62,30
2015-04-12,良,71,198,13,90,23,12,0.63,40
2015-04-13,优,42,10,15,42,22,13,0.95,33
2015-04-14,良,60,70,35,74,78,28,2.55,29
2015-04-15,良,65,61,26,80,66,30,1.60,31
2015-04-16,轻度污染,105,232,27,158,41,16,1.40,33
2015-04-17,轻度污染,108,237,36,164,68,22,1.49,32
2015-04-18,轻度污染,123,319,83,177,45,26,2.83,20
2015-04-19,良,61,176,23,53,31,18,3.82,45
2015-04-20,轻度污染,107,348,70,140,52,20,2.79,31
2015-04-21,良,83,276,52,110,68,24,1.54,31
2015-04-22,良,78,245,40,105,72,26,2.14,30
2015-04-23,良,86,239,46,123,73,30,2.20,32
2015-04-24,良,97,276,57,142,77,31,3.20,34
2015-04-25,良,94,237,58,136,36,31,2.09,36
2015-04-26,良,84,181,54,113,26,31,1.94,32
2015-04-27,优,45,19,19,46,15,19,1.23,47
2015-04-28,良,66,139,27,80,25,23,2.70,41
2015-04-29,良,68,149,37,85,27,20,2.26,46
2015-04-30,良,79,174,53,103,23,25,1.74,52
2015-05-01,良,74,198,47,89,15,21,2.13,36
2015-05-02,良,65,220,39,61,12,13,2.33,44
2015-05-03,轻度污染,113,331,81,124,23,20,1.40,32
2015-05-04,良,86,275,60,104,44,20,1.57,39
2015-05-05,轻度污染,130,347,97,147,51,26,1.95,39
2015-05-06,轻度污染,113,306,84,130,45,23,1.78,39
2015-05-07,良,100,278,72,101,37,21,2.51,29
2015-05-08,良,67,192,36,82,32,16,1.29,45
2015-05-09,轻度污染,108,337,75,152,28,19,1.44,36
2015-05-10,良,56,123,31,60,11,16,0.95,35
2015-05-11,良,57,203,20,63,20,10,0.68,45
2015-05-12,良,62,186,22,74,49,23,0.99,45
2015-05-13,轻度污染,112,345,67,169,94,33,2.35,38
2015-05-14,轻度污染,144,359,88,233,102,38,2.90,34
2015-05-15,轻度污染,117,349,72,182,120,33,2.60,51
2015-05-16,良,89,280,57,124,25,34,1.74,59
2015-05-17,轻度污染,118,323,86,175,25,37,2.08,59
2015-05-18,良,75,195,41,98,22,29,1.80,56
2015-05-19,轻度污染,101,282,62,149,37,43,2.80,59
2015-05-20,良,63,176,30,75,19,28,1.84,54
2015-05-21,优,42,60,20,42,19,26,1.40,42
2015-05-22,良,61,151,39,67,27,31,2.46,45
2015-05-23,良,82,247,56,107,28,40,3.14,59
2015-05-24,良,84,228,55,112,21,32,1.84,70
2015-05-25,良,75,183,39,98,32,45,1.84,67
2015-05-26,良,75,180,39,99,29,38,2.02,61
2015-05-27,良,97,243,69,130,26,37,2.34,61
2015-05-28,良,80,234,55,107,20,25,1.60,68
