日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,134,55,101,131,31,44,0.86,52
2013-10-29,轻度污染,128,61,96,136,27,54,0.92,54
2013-10-30,轻度污染,118,77,88,111,29,37,0.81,49
2013-10-31,良,80,50,58,45,16,23,0.64,39
2013-11-01,轻度污染,101,59,75,95,23,32,0.73,42
2013-11-02,轻度污染,101,52,75,82,15,28,0.69,39
2013-11-03,轻度污染,145,88,110,115,19,42,1.07,6
2013-11-04,轻度污染,128,90,97,103,28,32,1.07,63
2013-11-05,轻度污染,123,82,93,121,28,40,0.94,59
2013-11-06,中度污染,161,85,130,166,53,62,1.28,28
2013-11-07,中度污染,164,96,109,126,30,45,0.59,48
2013-11-08,轻度污染,144,84,107,137,31,53,0.97,62
2013-11-09,轻度污染,120,66,69,95,22,33,0.86,46
2013-11-10,轻度污染,105,75,86,100,22,35,1.04,17
2013-11-11,良,74,84,49,60,26,30,0.76,27
2013-11-12,良,80,68,60,35,30,40,0.84,13
2013-11-13,良,70,50,62,37,28,54,0.87,7
2013-11-14,良,98,61,71,82,40,45,1.09,6
2013-11-15,良,86,39,69,122,36,43,1.24,37
2013-11-16,轻度污染,120,48,99,156,43,48,1.36,28
2013-11-17,轻度污染,129,87,89,182,53,55,1.25,31
2013-11-18,轻度污染,110,90,79,144,49,58,1.19,25
2013-11-19,轻度污染,115,81,89,136,39,57,1.29,38
2013-11-20,轻度污染,130,66,101,153,49,69,1.42,37
2013-11-21,轻度污染,135,61,106,158,46,71,1.24,34
2013-11-22,轻度污染,140,62,132,172,58,71,0.90,48
2013-11-23,重度污染,222,81,145,183,60,70,0.83,45
2013-11-24,轻度污染,120,51,72,91,35,51,0.93,17
2013-11-25,良,71,36,42,90,57,36,0.74,33
2013-11-26,良,84,60,61,132,35,51,0.73,27
2013-11-27,轻度污染,107,80,90,176,71,63,0.90,7
2013-11-28,轻度污染,101,108,61,98,49,47,0.76,25
2013-11-29,良,78,67,54,95,61,46,0.76,27
2013-11-30,良,83,50,74,122,52,60,1.00,19
2013-12-01,轻度污染,104,57,76,121,55,62,0.98,27
2013-12-02,轻度污染,113,44,95,149,52,73,1.17,27
2013-12-03,轻度污染,133,42,109,165,48,81,1.46,27
2013-12-04,中度污染,183,66,187,223,68,92,1.80,17
2013-12-05,严重污染,276,88,241,245,58,98,2.25,20
2013-12-06,严重污染,295,101,274,316,86,98,1.92,35
