日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,121,83,59,149,83,39,1.13,30
2014-01-01,良,99,52,58,123,76,36,1.21,26
2014-01-02,良,94,36,68,136,105,50,1.19,18
2014-01-03,良,72,24,40,79,63,32,0.88,36
2014-01-04,轻度污染,113,74,84,132,83,45,1.56,18
2014-01-05,中度污染,181,125,140,169,101,53,1.80,22
2014-01-06,中度污染,198,129,154,215,119,58,2.27,17
2014-01-07,轻度污染,115,91,82,112,93,44,1.93,26
2014-01-08,良,55,43,32,48,62,24,0.91,49
2014-01-09,良,82,118,57,84,68,41,1.42,29
2014-01-10,中度污染,154,139,117,158,118,55,2.02,17
2014-01-11,中度污染,185,141,142,212,153,64,2.29,14
2014-01-12,良,51,17,27,54,72,24,0.91,49
2014-01-13,轻度污染,123,133,92,134,117,53,2.06,19
2014-01-14,重度污染,201,155,157,228,132,65,2.49,12
2014-01-15,重度污染,245,143,195,277,142,67,3.13,15
2014-01-16,轻度污染,144,91,109,164,112,49,2.10,17
2014-01-17,轻度污染,122,49,92,127,100,44,1.63,23
2014-01-18,轻度污染,119,62,84,123,88,40,1.79,27
2014-01-19,轻度污染,119,52,88,122,125,53,1.95,11
2014-01-20,良,75,37,49,86,61,24,1.31,40
2014-01-21,良,83,74,56,86,81,37,1.44,31
2014-01-22,中度污染,154,167,117,168,146,64,2.77,15
2014-01-24,中度污染,165,129,126,163,96,53,1.88,24
2014-01-25,良,61,24,27,69,44,22,0.69,49
2014-01-26,良,79,84,42,102,84,36,1.14,30
2014-01-27,轻度污染,106,109,66,121,99,44,1.18,30
2014-01-28,良,64,49,28,64,63,21,0.61,55
2014-01-29,良,92,79,59,100,88,35,1.05,37
2014-01-30,良,97,53,61,98,71,26,0.98,46
2014-01-31,重度污染,221,104,176,243,139,41,1.52,23
2014-02-01,中度污染,155,120,117,166,170,43,1.30,28
2014-02-02,中度污染,154,101,64,182,58,22,0.94,43
2014-02-03,优,50,36,23,48,48,13,0.66,61
2014-02-04,良,74,136,49,83,75,26,1.04,41
2014-02-05,轻度污染,118,182,88,115,94,41,1.57,33
2014-02-06,轻度污染,104,163,77,111,95,34,1.29,41
2014-02-07,良,64,114,43,67,87,25,0.94,44
2014-02-08,良,54,61,29,56,62,19,0.84,52
2014-02-09,优,43,61,16,42,56,12,0.70,63
2014-02-10,良,82,148,56,76,70,30,1.14,47
2014-02-11,中度污染,169,181,130,173,107,54,2.06,29
2014-02-12,中度污染,170,160,132,177,94,48,1.89,38
2014-02-13,中度污染,151,150,115,158,127,47,1.43,56
2014-02-14,中度污染,173,149,134,179,185,62,1.76,35
2014-02-15,严重污染,346,184,296,333,181,76,2.82,10
2014-02-16,良,99,105,71,103,78,33,1.00,58
2014-02-17,良,81,105,51,92,57,26,0.86,58
2014-02-18,良,89,139,64,97,81,34,1.06,51
2014-02-19,轻度污染,103,121,74,97,70,34,1.12,53
2014-02-20,轻度污染,122,118,90,137,90,42,1.41,35
2014-02-21,重度污染,236,175,189,215,89,64,2.26,37
2014-02-22,严重污染,251,175,201,247,104,56,2.27,33
2014-02-23,中度污染,199,143,153,185,110,54,1.76,40
2014-02-24,中度污染,170,128,129,205,159,72,2.14,24
2014-02-25,中度污染,184,135,139,226,164,68,2.90,18
2014-02-26,中度污染,176,148,133,187,133,61,1.86,38
2014-02-27,良,62,48,32,64,56,24,1.06,55
2014-02-28,良,79,131,44,99,77,42,1.34,29
2014-03-01,良,89,132,61,99,91,38,1.43,60
2014-03-02,良,93,103,67,102,71,44,1.56,44
2014-03-03,轻度污染,140,153,106,149,113,51,1.76,41
2014-03-04,良,97,140,69,91,69,32,1.35,60
2014-03-05,优,49,25,23,49,61,27,1.14,50
2014-03-06,优,50,48,23,53,63,23,1.06,58
2014-03-07,良,70,105,44,76,65,35,1.24,46
2014-03-08,良,90,117,60,116,89,40,1.41,48
2014-03-09,良,64,58,34,68,54,25,1.27,53
2014-03-10,良,84,73,46,108,86,39,1.50,37
2014-03-11,轻度污染,126,126,85,135,101,39,1.55,41
2014-03-12,良,57,34,18,65,59,17,1.13,64
2014-03-13,良,67,67,38,78,71,30,1.35,52
2014-03-14,良,100,137,65,136,97,47,1.86,43
2014-03-15,轻度污染,110,123,77,153,111,61,2.34,33
2014-03-16,良,85,39,49,119,79,44,1.79,48
2014-03-17,中度污染,196,161,114,247,103,49,1.83,56
2014-03-18,良,92,52,44,127,50,29,1.29,76
2014-03-19,良,92,91,48,119,43,31,1.43,60
2014-03-20,良,71,69,22,92,36,17,1.19,68
2014-03-21,良,95,160,60,126,83,48,1.85,45
2014-03-22,中度污染,159,184,120,176,83,63,2.35,45
2014-03-23,轻度污染,136,153,102,169,88,53,2.01,74
2014-03-25,重度污染,242,184,192,261,105,70,2.40,54
2014-03-26,轻度污染,150,139,114,163,68,57,1.97,26
2014-03-27,轻度污染,110,87,72,114,60,38,1.54,70
2014-03-28,轻度污染,146,168,105,156,76,50,1.86,60
2014-03-29,良,72,70,45,67,36,31,1.51,68
2014-03-30,轻度污染,102,115,72,114,55,54,1.81,52
2014-03-31,良,82,85,49,104,51,40,1.63,56
2014-04-01,轻度污染,148,183,113,157,60,55,2.00,80
2014-04-02,轻度污染,107,150,49,135,26,26,1.35,73
2014-04-03,良,69,74,28,84,20,25,0.69,59
2014-04-04,轻度污染,105,145,35,155,24,27,0.62,56
2014-04-05,良,63,29,22,76,20,18,0.46,63
2014-04-06,轻度污染,122,179,83,174,42,61,1.40,29
2014-04-07,轻度污染,120,171,78,161,38,51,1.30,68
2014-04-08,中度污染,173,175,131,218,71,55,1.65,90
2014-04-09,中度污染,175,177,66,230,39,34,0.85,87
2014-04-10,良,68,44,30,82,23,28,0.69,76
2014-04-11,良,93,119,66,125,43,55,1.03,53
2014-04-12,轻度污染,116,149,83,150,56,66,1.09,49
2014-04-13,轻度污染,111,144,82,127,47,56,1.03,72
2014-04-14,中度污染,195,183,153,214,61,46,1.77,113
2014-04-15,轻度污染,111,138,45,152,20,24,0.87,80
2014-04-16,良,99,156,64,137,33,53,0.93,64
2014-04-17,良,92,112,65,126,34,41,0.82,57
2014-04-18,良,63,57,33,73,19,23,0.53,76
2014-04-19,良,67,108,35,77,24,32,0.62,74
2014-04-20,良,77,109,54,87,35,53,0.89,56
2014-04-21,良,77,112,51,91,35,44,0.85,58
2014-04-22,轻度污染,110,147,76,128,43,49,1.14,79
2014-04-23,中度污染,178,183,132,193,55,51,1.56,99
2014-04-24,良,92,125,54,102,45,32,1.11,124
2014-04-25,良,78,107,45,82,41,32,1.01,120
2014-04-26,良,78,137,41,99,38,35,0.96,71
2014-04-27,良,87,140,47,93,25,35,1.00,61
2014-04-28,良,76,114,36,100,25,33,1.01,65
2014-04-29,良,89,111,60,123,39,47,1.16,90
2014-04-30,轻度污染,123,164,87,170,60,66,1.58,95
2014-05-01,轻度污染,149,166,108,192,59,50,1.70,157
2014-05-02,良,93,112,41,108,28,24,0.90,74
2014-05-03,良,60,38,35,69,35,37,0.99,68
2014-05-04,良,51,37,23,51,12,20,0.79,67
2014-05-05,良,53,53,28,56,25,32,0.89,52
2014-05-06,良,70,73,43,85,37,46,1.19,58
2014-05-07,良,68,55,47,67,32,28,1.10,77
2014-05-08,良,55,36,33,57,28,38,0.95,78
2014-05-09,良,85,114,62,74,23,55,1.19,45
2014-05-10,良,75,155,47,90,30,57,0.84,56
2014-05-11,良,69,157,47,46,14,34,0.81,86
2014-05-12,良,71,87,33,39,15,31,1.08,98
2014-05-13,轻度污染,130,182,88,167,41,73,1.81,50
2014-05-14,良,73,81,27,96,22,32,0.52,68
2014-05-15,良,57,44,28,63,25,40,0.62,56
2014-05-16,良,66,45,37,76,24,47,0.82,56
2014-05-17,良,66,47,33,70,31,39,0.76,81
2014-05-18,良,81,105,43,94,45,42,0.81,113
2014-05-19,轻度污染,112,143,80,99,35,42,0.90,91
2014-05-20,良,88,83,63,90,22,30,0.81,88
2014-05-21,轻度污染,106,103,73,116,43,56,1.05,83
2014-05-22,中度污染,163,180,122,155,40,41,1.16,127
2014-05-23,轻度污染,146,183,96,145,56,38,1.16,154
2014-05-24,良,67,118,43,62,27,34,0.82,88
2014-05-25,良,62,62,38,53,21,30,0.80,55
2014-05-26,良,58,42,17,63,28,40,0.74,73
2014-05-27,良,77,45,38,102,35,52,1.04,80
2014-05-28,良,52,25,14,54,26,34,0.70,85
2014-05-29,良,92,67,48,105,35,55,1.23,115
2014-05-30,轻度污染,113,99,47,108,36,46,1.04,135
2014-05-31,轻度污染,124,131,77,139,53,38,1.12,186
2014-06-01,轻度污染,127,178,84,138,51,36,1.12,132
2014-06-02,良,76,141,28,59,22,29,0.76,120
2014-06-03,良,86,153,37,73,27,39,0.91,118
2014-06-04,良,90,137,48,97,48,48,0.95,92
2014-06-05,良,61,57,24,53,39,34,0.73,94
2014-06-06,优,49,43,28,48,33,42,0.76,44
2014-06-07,优,31,7,10,16,11,17,0.46,62
2014-06-08,良,57,48,33,44,23,23,0.72,95
2014-06-09,良,71,109,32,45,20,28,0.63,117
2014-06-10,良,70,109,45,56,26,35,0.69,91
2014-06-11,良,59,57,31,41,18,24,0.63,95
2014-06-12,优,44,9,19,32,16,20,0.52,81
2014-06-13,优,44,9,16,38,15,32,0.46,61
2014-06-14,良,68,37,33,65,35,45,0.72,79
2014-06-15,良,92,85,52,82,42,48,0.98,102
