日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,26,2,9,24,13,6,0.89,36
2015-01-02,优,23,2,8,22,13,6,1.00,29
2015-01-03,良,62,37,25,81,20,12,1.56,31
2015-01-04,轻度污染,146,193,71,227,55,19,2.94,40
2015-01-05,中度污染,152,212,68,250,39,18,3.03,51
2015-01-06,优,30,5,7,18,8,6,0.37,56
2015-01-07,优,22,1,6,17,13,4,0.68,38
2015-01-08,优,21,1,7,20,22,6,0.78,32
2015-01-09,优,36,17,12,36,26,9,1.06,30
2015-01-10,优,43,23,13,43,32,10,1.28,29
2015-01-11,优,42,28,14,42,28,9,1.44,28
2015-01-12,优,30,11,9,29,25,7,1.12,30
2015-01-13,良,55,101,20,65,30,17,2.01,28
2015-01-14,良,67,131,27,81,45,24,1.91,30
2015-01-15,良,66,94,29,84,57,26,1.93,33
2015-01-16,良,56,39,22,68,47,20,2.66,24
2015-01-17,优,25,1,8,24,31,9,1.08,36
2015-01-18,良,58,48,25,69,37,22,2.56,33
2015-01-19,优,30,6,10,29,26,15,1.36,39
2015-01-20,良,62,49,25,81,43,21,1.59,29
2015-01-21,良,75,97,32,99,47,25,2.15,17
2015-01-22,良,67,54,26,83,52,25,1.80,25
2015-01-23,良,72,42,30,91,42,24,1.80,25
2015-01-24,轻度污染,103,132,54,154,69,31,2.90,25
2015-01-25,轻度污染,113,146,55,175,73,30,3.05,24
2015-01-26,轻度污染,104,144,54,159,78,26,3.68,28
2015-01-27,优,23,1,8,21,38,10,1.21,37
2015-01-28,优,26,8,11,22,24,11,0.83,47
2015-01-29,良,54,140,29,69,53,34,1.86,39
2015-01-30,良,53,105,28,61,41,28,1.90,39
2015-01-31,优,38,20,13,39,25,15,1.15,45
2015-02-01,优,39,18,18,41,31,23,1.19,41
2015-02-02,优,48,29,22,49,45,25,1.13,46
2015-02-03,良,68,85,37,84,57,38,1.88,36
2015-02-04,良,77,133,42,102,73,43,2.03,30
2015-02-05,良,73,151,38,93,52,34,1.51,37
2015-02-06,良,74,92,38,97,51,39,1.41,31
2015-02-07,良,69,86,34,92,58,29,1.52,39
2015-02-08,优,25,1,7,19,17,6,0.46,51
2015-02-09,优,31,3,7,24,21,7,0.48,59
2015-02-10,优,32,2,7,19,16,5,0.40,62
2015-02-11,优,29,2,9,25,30,12,0.56,52
2015-02-12,优,46,30,18,47,58,24,1.14,43
2015-02-13,优,30,3,11,27,38,19,0.92,51
2015-02-14,优,35,8,12,32,46,20,1.12,52
2015-02-15,优,49,28,22,58,66,29,1.62,51
2015-02-16,良,74,93,39,98,99,38,2.47,33
2015-02-17,良,73,125,38,96,110,39,2.57,31
2015-02-18,优,49,40,22,53,65,16,1.41,47
2015-02-19,优,49,21,20,53,57,12,1.30,56
2015-02-20,良,58,160,25,67,77,21,2.07,44
2015-02-21,良,51,119,18,55,73,24,1.76,36
2015-02-22,良,86,175,11,115,27,12,1.39,42
2015-02-23,良,96,262,11,120,25,4,1.14,53
2015-02-24,优,38,45,9,28,28,7,1.51,61
2015-02-25,良,54,139,20,58,56,18,2.32,42
2015-02-26,优,46,97,15,46,45,18,1.64,57
2015-02-27,优,36,66,8,21,22,6,1.28,70
2015-02-28,优,37,110,9,27,40,13,1.54,65
2015-03-01,优,34,48,12,34,45,17,1.77,51
2015-03-02,优,38,20,10,29,39,14,1.78,61
2015-03-03,优,33,8,10,30,43,17,1.72,57
2015-03-04,优,35,30,10,30,36,9,1.62,64
2015-03-05,优,42,83,13,42,50,13,1.72,55
2015-03-06,良,63,150,28,78,79,32,2.55,41
2015-03-07,优,49,77,16,49,61,22,2.22,50
2015-03-08,优,37,23,14,37,56,20,2.04,45
2015-03-09,优,30,8,9,25,42,15,1.65,49
2015-03-10,优,24,4,7,18,29,5,1.43,46
2015-03-11,优,26,13,7,19,26,4,1.40,52
2015-03-12,优,27,12,7,17,31,4,1.30,52
2015-03-13,优,28,1,8,23,42,10,1.34,46
