日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,418,112,312,526,26,90,3.07,9
2013-10-29,轻度污染,143,64,96,187,14,52,1.69,20
2013-10-30,中度污染,162,96,123,231,20,58,1.71,22
2013-10-31,重度污染,211,107,162,277,24,76,1.73,13
2013-11-01,重度污染,245,106,192,313,18,71,2.32,9
2013-11-02,严重污染,282,111,226,331,21,63,1.77,11
2013-11-03,轻度污染,133,76,85,180,9,47,1.07,22
2013-11-04,良,78,36,41,100,12,62,0.80,20
2013-11-05,中度污染,189,110,139,255,39,82,1.83,15
2013-11-06,严重污染,257,113,144,300,23,72,1.64,24
2013-11-07,良,94,48,11,52,14,44,0.53,31
2013-11-08,良,63,15,0,9,77,67,2.21,18
2013-11-09,良,66,21,13,0,49,91,1.94,17
2013-11-10,良,58,29,18,68,11,32,0.29,48
2013-11-11,良,61,55,34,76,22,51,0.55,31
2013-11-12,良,82,73,55,131,30,62,0.89,26
2013-11-13,轻度污染,111,80,161,279,83,104,2.71,13
2013-11-14,重度污染,206,103,140,274,44,81,1.91,22
2013-11-15,中度污染,157,84,131,316,75,87,1.80,17
2013-11-16,中度污染,191,94,80,254,38,45,0.88,33
2013-11-17,良,81,39,17,61,20,35,0.50,32
2013-11-18,良,53,19,14,54,17,35,0.38,31
2013-11-19,良,51,15,21,39,33,41,0.64,26
2013-11-20,良,58,15,35,57,62,77,1.54,16
2013-11-21,轻度污染,101,35,78,161,90,108,2.55,11
2013-11-22,严重污染,288,104,268,424,178,141,2.91,9
2013-11-23,严重污染,364,107,342,512,177,163,3.89,9
2013-11-24,严重污染,314,104,152,269,87,87,1.59,13
2013-11-25,良,98,73,26,83,34,39,0.59,28
2013-11-26,良,80,54,36,133,28,36,0.64,34
2013-11-27,良,83,53,11,89,7,17,0.23,48
2013-11-28,良,57,28,26,68,40,46,0.66,30
2013-11-29,良,98,95,95,167,91,76,1.78,17
2013-11-30,轻度污染,108,78,68,123,68,64,1.26,20
2013-12-01,轻度污染,104,58,102,153,77,77,1.53,16
2013-12-02,重度污染,204,88,211,290,147,125,3.28,8
2013-12-03,重度污染,228,79,117,178,85,91,1.85,15
2013-12-04,中度污染,180,64,174,240,109,102,2.95,11
2013-12-05,中度污染,165,59,79,129,79,63,1.59,17
