日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,83,24,59,92,37,46,0.87,43
2013-10-29,良,75,35,51,85,23,44,0.83,53
2013-10-30,良,65,24,44,70,26,35,0.80,53
2013-10-31,良,55,13,34,57,19,33,0.78,44
2013-11-01,良,63,28,42,65,11,27,0.75,54
2013-11-02,良,52,12,36,46,15,41,0.81,36
2013-11-03,良,78,32,57,63,17,50,1.09,26
2013-11-04,良,100,66,75,97,22,37,1.10,62
2013-11-05,良,92,49,69,96,25,42,0.77,54
2013-11-06,良,86,30,64,75,27,54,0.79,29
2013-11-07,良,84,34,64,85,19,36,0.42,56
2013-11-08,轻度污染,109,61,84,117,21,40,0.90,92
2013-11-09,轻度污染,104,55,64,97,27,45,0.85,37
2013-11-10,良,76,54,53,95,29,39,0.99,34
2013-11-11,良,59,51,27,29,11,35,0.57,33
2013-11-12,优,50,30,31,41,11,35,0.77,33
2013-11-13,优,40,26,15,22,14,39,0.76,43
2013-11-14,优,34,11,29,44,16,44,0.84,20
2013-11-15,良,54,20,42,80,25,37,1.00,46
2013-11-16,良,74,24,57,89,22,42,1.05,35
2013-11-17,良,84,43,60,127,38,44,0.91,42
2013-11-18,良,87,57,51,107,35,42,0.79,44
2013-11-19,良,75,31,56,92,35,44,0.88,46
2013-11-20,良,81,27,61,106,46,54,0.98,38
2013-11-21,良,83,24,66,108,41,61,1.08,33
2013-11-22,良,87,26,59,99,34,56,1.13,46
2013-11-23,良,84,23,62,103,42,54,0.99,43
2013-11-24,良,85,29,65,80,29,58,1.21,21
2013-11-25,良,65,28,24,62,27,27,0.88,56
2013-11-26,良,65,28,42,90,32,44,0.67,35
2013-11-27,良,81,51,66,112,45,66,0.81,16
2013-11-28,良,87,100,53,89,33,42,0.66,37
2013-11-29,良,64,40,38,66,33,40,0.58,37
2013-11-30,良,57,11,40,68,25,47,0.69,27
2013-12-01,良,63,14,49,80,30,45,0.70,47
2013-12-02,良,75,21,58,91,30,51,0.90,43
2013-12-03,良,85,17,62,98,21,55,1.16,32
2013-12-04,良,99,28,106,143,44,74,1.54,21
2013-12-05,中度污染,179,65,135,171,32,68,1.56,18
2013-12-06,轻度污染,134,61,114,152,37,63,1.30,56
2013-12-07,中度污染,195,62,154,197,29,65,1.78,43
2013-12-08,中度污染,196,51,143,175,34,68,1.68,15
2013-12-09,重度污染,215,71,143,185,58,57,1.35,39
2013-12-10,中度污染,157,87,97,142,34,42,0.95,47
2013-12-11,轻度污染,109,58,76,111,36,53,0.76,37
2013-12-12,轻度污染,104,52,90,140,40,71,0.94,18
2013-12-13,轻度污染,124,62,82,115,42,48,0.87,55
2013-12-14,轻度污染,121,48,120,209,57,80,1.15,27
2013-12-15,轻度污染,147,68,60,199,17,44,0.80,34
2013-12-16,轻度污染,124,70,16,92,9,33,0.68,45
2013-12-17,轻度污染,109,69,9,107,12,48,0.66,18
2013-12-18,优,41,25,25,40,17,43,0.79,26
2013-12-19,良,65,31,71,92,25,41,0.91,27
2013-12-20,轻度污染,119,54,112,136,42,49,1.10,28
2013-12-21,中度污染,157,67,123,156,47,60,1.29,30
2013-12-22,轻度污染,131,57,91,124,49,60,1.08,32
2013-12-23,轻度污染,125,32,106,128,45,58,1.13,34
2013-12-24,中度污染,155,45,129,143,53,59,1.16,44
2013-12-25,中度污染,170,45,130,156,41,61,1.34,26
2013-12-26,中度污染,161,46,138,165,55,59,1.38,32
2013-12-27,中度污染,187,107,126,167,48,51,1.17,38
2013-12-28,良,95,51,56,97,33,45,0.85,38
2013-12-29,良,76,20,61,86,39,52,0.95,30
2013-12-30,良,87,21,64,94,41,57,1.13,32
2013-12-31,良,86,24,63,100,45,58,0.94,31
2014-01-01,良,83,24,66,105,34,61,0.89,34
2014-01-02,轻度污染,109,55,83,143,44,68,1.77,31
2014-01-03,轻度污染,123,77,93,136,49,61,1.51,51
2014-01-04,轻度污染,131,102,99,140,49,64,0.94,31
2014-01-05,中度污染,163,109,124,170,55,70,1.23,31
2014-01-06,轻度污染,127,61,95,120,39,52,0.94,45
2014-01-07,良,94,71,69,88,35,65,1.19,20
2014-01-08,良,74,90,54,57,20,42,1.11,26
2014-01-09,良,53,22,36,50,20,30,0.61,43
2014-01-10,良,71,28,49,78,23,42,0.62,33
2014-01-11,良,62,20,41,67,27,51,0.73,25
2014-01-12,优,42,5,29,34,15,47,0.69,17
2014-01-13,轻度污染,136,150,102,117,36,43,0.99,37
2014-01-14,轻度污染,139,117,105,133,30,41,0.96,51
2014-01-15,轻度污染,108,63,81,110,28,46,0.77,49
2014-01-16,良,79,23,58,79,21,47,0.80,34
2014-01-17,良,82,22,60,84,21,50,0.81,31
2014-01-18,中度污染,157,84,119,146,34,48,1.06,54
2014-01-19,中度污染,181,103,137,163,29,56,1.33,45
2014-01-20,轻度污染,115,71,86,122,36,54,1.06,36
2014-01-21,良,85,81,57,106,30,44,0.63,43
2014-01-22,良,63,9,42,72,21,42,0.48,43
2014-01-24,良,57,14,39,54,17,43,0.86,38
2014-01-25,良,68,35,48,71,20,43,0.95,48
2014-01-26,中度污染,179,162,143,155,20,36,1.03,64
2014-01-27,良,84,83,61,79,12,36,0.72,34
2014-01-28,良,70,64,50,70,19,41,1.09,31
2014-01-29,良,89,76,66,86,22,40,1.15,50
2014-01-30,良,94,50,69,92,15,30,0.75,64
2014-01-31,重度污染,237,114,192,235,21,20,0.58,58
2014-02-01,良,71,43,51,56,8,22,0.50,65
2014-02-02,良,69,33,49,62,7,25,0.54,56
2014-02-03,良,72,88,52,66,7,21,0.81,62
2014-02-04,良,51,68,31,54,6,14,0.35,68
