日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,169,75,129,223,46,86,1.23,57
2013-10-29,重度污染,203,88,157,284,47,134,1.53,43
2013-10-30,轻度污染,120,78,90,148,22,64,0.83,35
2013-10-31,轻度污染,107,65,80,121,18,54,1.02,33
2013-11-01,良,91,49,67,123,26,71,0.87,13
2013-11-02,轻度污染,141,75,106,179,24,63,0.93,14
2013-11-03,轻度污染,142,85,108,167,16,48,1.37,30
2013-11-04,轻度污染,133,96,96,169,25,69,1.11,36
2013-11-05,良,83,41,57,112,29,70,0.87,43
2013-11-06,轻度污染,141,73,107,194,21,93,1.33,45
2013-11-07,中度污染,166,97,143,254,35,119,1.26,37
2013-11-08,重度污染,219,112,177,268,50,97,1.68,72
2013-11-09,中度污染,195,102,136,200,38,92,1.66,27
2013-11-10,轻度污染,144,89,59,86,13,38,0.89,37
2013-11-11,良,68,68,50,90,31,53,0.81,36
2013-11-12,良,74,62,53,108,34,79,0.79,17
2013-11-13,良,94,67,84,159,48,84,1.01,31
2013-11-14,轻度污染,125,74,116,175,31,81,1.19,22
2013-11-15,中度污染,167,91,125,291,42,85,1.44,21
2013-11-16,中度污染,183,90,108,306,77,80,1.36,35
2013-11-17,轻度污染,150,104,53,184,35,57,0.64,30
2013-11-18,良,99,72,70,152,46,77,0.97,25
2013-11-19,轻度污染,117,83,110,214,55,111,1.42,19
2013-11-20,中度污染,168,92,131,249,69,124,1.58,18
2013-11-21,重度污染,211,96,180,310,83,143,2.05,25
2013-11-22,中度污染,199,81,122,209,36,90,1.21,27
2013-11-23,轻度污染,148,65,137,222,40,96,1.50,28
2013-11-24,重度污染,210,88,131,178,20,62,1.47,13
2013-11-25,轻度污染,128,101,60,268,23,47,0.74,26
2013-11-26,中度污染,180,111,80,294,47,82,1.41,13
2013-11-27,轻度污染,144,111,66,162,47,56,0.94,26
2013-11-28,良,87,99,44,115,38,56,0.74,24
2013-11-29,良,86,84,51,131,35,63,0.86,25
2013-11-30,轻度污染,103,72,89,180,75,82,1.52,20
2013-12-01,中度污染,156,94,168,277,95,99,1.83,18
2013-12-02,重度污染,232,96,162,278,75,114,2.17,14
2013-12-03,中度污染,199,69,184,297,108,133,2.54,12
2013-12-04,严重污染,343,104,332,451,50,132,2.52,23
2013-12-05,严重污染,347,103,273,380,51,108,2.24,20
2013-12-06,严重污染,337,105,274,394,61,90,2.22,20
