日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,78,182,41,101,192,41,1.28,24
2015-01-02,轻度污染,111,468,70,152,282,57,2.07,19
2015-01-03,良,84,100,43,110,181,40,1.38,35
2015-01-04,轻度污染,132,157,86,198,294,67,2.60,30
2015-01-05,轻度污染,104,137,57,148,165,44,1.75,30
2015-01-06,良,80,214,44,92,201,47,1.29,24
2015-01-07,良,96,263,55,132,214,52,1.74,23
2015-01-08,良,80,137,33,107,137,36,1.19,44
2015-01-09,良,88,127,54,115,150,38,1.28,44
2015-01-10,轻度污染,102,154,68,123,185,57,1.48,41
2015-01-11,轻度污染,150,267,113,190,243,71,2.04,34
2015-01-12,中度污染,195,343,150,223,271,70,2.69,30
2015-01-13,严重污染,262,362,213,288,305,85,3.09,31
2015-01-14,重度污染,220,337,172,253,172,67,2.49,32
2015-01-15,中度污染,171,283,126,199,163,49,2.09,38
2015-01-16,良,62,65,25,73,101,27,0.84,60
2015-01-17,轻度污染,125,244,88,164,203,58,1.74,31
2015-01-18,良,68,69,24,84,64,15,0.59,80
2015-01-19,轻度污染,125,278,88,162,221,59,1.90,35
2015-01-20,轻度污染,111,238,72,140,152,45,1.36,44
2015-01-21,良,72,87,39,83,141,42,1.02,40
2015-01-22,中度污染,160,312,123,207,287,64,2.49,25
2015-01-23,轻度污染,140,217,101,182,227,66,2.07,29
2015-01-24,中度污染,198,293,156,247,250,64,2.48,29
2015-01-25,轻度污染,146,205,112,154,174,51,1.93,48
2015-01-26,轻度污染,105,146,61,139,113,41,1.43,40
2015-01-27,良,81,176,51,91,101,34,0.83,37
2015-01-28,轻度污染,127,350,95,148,172,57,1.38,24
2015-01-29,良,84,260,56,84,107,34,0.99,51
2015-01-30,良,91,252,64,94,128,43,1.34,37
2015-01-31,轻度污染,120,318,90,132,180,50,1.99,30
2015-02-01,重度污染,201,354,155,218,246,60,2.92,29
2015-02-02,严重污染,261,360,211,262,273,68,9.68,24
2015-02-03,中度污染,170,286,132,161,174,45,1.89,47
2015-02-04,良,76,130,46,81,108,33,0.79,48
2015-02-05,轻度污染,106,249,71,124,160,46,1.53,35
2015-02-06,轻度污染,119,277,87,128,166,47,1.44,39
2015-02-07,良,98,183,68,95,114,40,1.10,44
2015-02-08,轻度污染,110,294,80,99,165,46,1.22,35
2015-02-09,轻度污染,131,319,98,144,229,59,1.92,38
2015-02-10,轻度污染,135,281,100,154,184,54,1.83,59
2015-02-11,轻度污染,123,224,85,151,144,48,1.47,74
2015-02-12,轻度污染,115,200,79,150,162,49,1.42,99
2015-02-13,轻度污染,114,224,71,137,148,44,1.47,104
2015-02-14,轻度污染,146,254,112,165,217,65,2.14,69
2015-02-15,轻度污染,133,253,77,175,113,31,1.10,86
2015-02-16,轻度污染,105,193,45,149,92,22,0.82,87
2015-02-17,轻度污染,106,224,75,129,135,39,1.43,61
2015-02-18,轻度污染,132,305,106,91,137,32,1.39,77
2015-02-19,重度污染,218,337,186,236,192,47,2.60,93
2015-02-20,中度污染,151,347,115,133,98,27,1.73,84
2015-02-21,轻度污染,101,270,48,140,42,12,0.86,94
2015-02-22,良,75,163,27,97,58,9,0.70,97
2015-02-23,轻度污染,102,277,71,118,128,27,1.51,87
2015-02-24,良,73,182,37,84,68,17,1.05,101
2015-02-25,良,62,173,25,62,58,14,0.74,94
2015-02-26,良,66,200,33,73,94,28,1.05,80
2015-02-27,良,82,308,55,82,59,24,1.21,67
2015-02-28,良,86,313,54,78,53,17,1.08,71
2015-03-01,良,60,166,33,62,73,23,1.13,67
2015-03-02,良,70,162,29,88,56,15,0.84,86
2015-03-03,良,58,109,16,64,48,15,0.73,77
2015-03-04,良,79,298,51,95,129,41,1.18,56
2015-03-05,轻度污染,107,335,72,133,147,37,1.41,57
2015-03-06,良,80,219,53,92,66,20,1.08,84
2015-03-07,良,97,264,65,118,106,40,1.35,74
2015-03-08,良,80,213,35,108,41,16,0.62,86
2015-03-09,良,54,106,18,57,54,16,0.62,75
2015-03-10,良,77,247,46,95,106,35,1.17,65
2015-03-11,良,71,189,39,84,97,32,1.05,70
2015-03-12,良,78,185,42,95,71,28,1.01,83
2015-03-13,良,75,172,43,81,84,40,0.99,76
2015-03-14,良,98,200,42,134,42,16,0.81,99
2015-03-15,良,90,165,46,116,89,31,0.91,90
2015-03-16,良,77,144,40,93,45,18,0.71,119
2015-03-17,良,75,177,39,91,53,30,0.94,93
2015-03-18,轻度污染,106,317,72,122,65,30,1.16,87
2015-03-19,良,80,210,42,104,76,38,1.06,45
2015-03-20,良,87,215,35,123,39,18,0.74,65
2015-03-21,良,87,214,37,123,66,30,0.85,57
2015-03-22,良,80,160,39,104,64,35,1.02,47
2015-03-23,良,77,229,46,95,94,45,1.25,41
2015-03-24,良,90,281,58,120,108,47,1.56,45
2015-03-25,轻度污染,137,346,103,173,105,45,1.87,76
2015-03-26,轻度污染,138,343,104,149,85,36,1.63,85
2015-03-27,良,66,158,42,66,46,23,1.03,90
2015-03-28,良,91,205,40,130,54,25,0.97,70
2015-03-29,轻度污染,103,222,66,148,96,43,1.66,70
2015-03-30,轻度污染,105,275,75,144,74,31,1.66,112
2015-03-31,轻度污染,120,306,80,176,61,35,1.63,80
2015-04-01,良,62,169,31,72,14,18,1.33,65
2015-04-02,优,49,101,27,42,48,16,1.07,68
2015-04-03,良,61,148,36,61,28,21,1.08,70
2015-04-04,良,66,177,39,71,44,18,1.00,72
2015-04-05,良,60,151,21,69,24,9,0.54,85
2015-04-06,良,51,151,26,52,31,19,0.81,61
2015-04-07,优,50,185,28,50,51,23,0.92,62
2015-04-08,良,55,162,33,58,42,24,0.93,72
2015-04-09,良,67,207,40,77,59,37,1.07,60
2015-04-10,良,65,171,32,75,46,33,1.10,64
2015-04-11,良,72,182,26,92,34,23,0.91,72
2015-04-12,良,54,71,15,58,14,7,0.61,82
2015-04-13,良,57,102,28,57,43,29,1.12,72
2015-04-14,良,82,222,48,108,71,42,1.45,69
2015-04-15,轻度污染,135,314,40,196,35,23,0.94,84
2015-04-16,良,93,180,26,134,30,16,1.07,88
2015-04-17,良,77,103,38,101,71,49,1.17,59
2015-04-18,良,85,199,50,118,61,52,1.18,57
2015-04-19,良,62,181,24,70,32,28,0.64,91
2015-04-20,良,69,238,32,80,57,39,0.90,69
2015-04-21,良,63,171,20,72,29,30,0.72,87
2015-04-22,良,68,172,28,77,57,42,1.00,62
2015-04-23,良,68,132,15,54,23,14,0.64,115
2015-04-24,良,69,140,33,86,57,45,1.17,64
2015-04-25,良,85,195,28,93,50,41,0.99,95
2015-04-26,良,86,194,30,74,32,32,0.83,123
2015-04-27,良,82,194,23,72,26,16,0.65,129
2015-04-28,良,68,155,25,79,30,24,0.62,91
2015-04-29,良,88,253,45,104,75,44,1.18,95
2015-04-30,轻度污染,108,290,61,131,57,34,0.88,148
2015-05-01,良,73,188,42,76,22,16,0.67,91
2015-05-02,良,80,309,45,76,40,31,1.01,90
2015-05-03,良,89,287,31,117,28,20,0.52,98
2015-05-04,良,64,171,16,53,39,24,0.61,98
2015-05-05,良,74,180,19,67,24,20,0.56,126
2015-05-06,良,60,94,25,62,36,26,0.66,96
2015-05-07,良,67,123,36,60,23,23,0.65,98
2015-05-08,良,68,196,26,68,31,21,0.42,109
2015-05-09,良,53,121,25,50,20,24,0.62,77
2015-05-10,良,60,149,29,69,18,13,0.58,72
2015-05-11,优,42,65,11,31,17,9,0.52,85
2015-05-12,良,55,133,12,31,19,9,0.47,107
2015-05-13,良,72,183,28,80,28,20,0.79,107
2015-05-14,良,71,174,34,88,30,28,0.83,82
2015-05-15,良,55,152,23,49,26,22,0.88,101
2015-05-16,良,84,263,34,80,51,39,1.11,92
2015-05-17,良,86,233,41,99,19,14,0.79,146
2015-05-18,良,80,225,30,61,33,20,0.74,115
2015-05-19,良,63,165,17,38,21,14,0.59,109
2015-05-20,良,65,186,27,55,34,36,0.96,90
2015-05-21,良,82,299,30,69,35,35,1.05,109
2015-05-22,良,84,262,31,54,28,27,0.70,122
2015-05-23,良,91,266,39,79,44,42,0.81,111
2015-05-24,轻度污染,108,290,49,82,41,32,0.94,154
2015-05-25,轻度污染,112,277,48,86,45,39,0.92,154
2015-05-26,轻度污染,133,311,63,94,44,39,0.98,179
2015-05-27,中度污染,160,336,75,112,43,32,1.11,221
2015-05-28,轻度污染,149,337,69,111,26,17,0.73,195
2015-05-29,良,71,261,22,50,26,19,0.57,116
2015-05-30,良,88,317,24,71,32,26,0.71,116
2015-05-31,轻度污染,106,307,19,48,16,15,0.44,163
2015-06-01,轻度污染,111,295,24,60,25,10,0.53,168
2015-06-02,良,79,276,24,51,23,18,0.62,126
2015-06-03,良,74,300,34,68,37,33,1.03,105
2015-06-04,良,98,335,30,50,21,14,1.06,153
2015-06-05,良,98,335,46,101,26,27,0.98,124
2015-06-06,良,87,266,23,58,32,20,0.71,127
2015-06-07,良,64,220,28,59,45,39,0.97,79
2015-06-08,良,87,317,36,56,30,30,0.98,110
2015-06-09,轻度污染,116,321,23,54,19,14,0.59,177
2015-06-10,轻度污染,104,301,28,70,14,8,0.51,149
2015-06-11,良,74,251,12,29,14,10,0.52,127
2015-06-12,良,68,224,12,32,16,14,0.51,119
2015-06-13,良,91,310,10,33,19,16,0.66,146
2015-06-14,良,100,321,26,63,39,32,0.96,142
2015-06-15,轻度污染,137,350,50,89,40,23,1.01,204
2015-06-16,轻度污染,133,345,49,65,34,23,1.10,184
2015-06-17,轻度污染,132,334,58,99,51,38,1.24,140
2015-06-18,良,91,318,18,45,43,21,0.75,131
2015-06-19,良,64,212,19,61,40,24,0.62,94
2015-06-20,良,68,254,19,50,40,26,0.67,99
2015-06-21,轻度污染,125,359,27,53,42,15,0.93,190
2015-06-22,轻度污染,123,343,48,68,46,22,1.09,182
2015-06-23,轻度污染,146,352,67,95,41,20,1.22,206
2015-06-24,轻度污染,105,347,39,54,42,19,0.86,161
2015-06-25,轻度污染,112,358,42,65,42,20,0.89,160
2015-06-26,轻度污染,113,346,27,53,45,27,1.07,156
2015-06-27,轻度污染,134,356,62,101,45,24,1.66,202
2015-06-28,轻度污染,148,359,93,144,41,22,1.62,187
2015-06-29,良,93,341,58,63,29,17,1.42,136
2015-06-30,良,70,310,50,65,20,24,1.65,76
2015-07-01,良,66,269,36,65,41,28,1.47,77
2015-07-02,良,62,242,26,54,30,23,0.83,82
2015-07-03,良,82,300,33,74,45,30,0.96,111
2015-07-04,良,99,336,45,67,34,18,0.96,158
2015-07-05,良,93,326,45,78,40,23,1.05,139
2015-07-06,轻度污染,105,341,62,100,63,30,1.25,143
2015-07-07,轻度污染,130,352,78,115,59,30,1.21,152
2015-07-08,轻度污染,115,329,71,113,38,26,1.16,159
2015-07-09,轻度污染,136,350,57,81,24,19,0.95,198
2015-07-10,轻度污染,109,343,74,100,33,32,1.45,136
2015-07-11,轻度污染,136,360,97,130,34,38,1.53,138
2015-07-12,轻度污染,149,357,90,131,39,39,1.58,146
2015-07-13,轻度污染,113,331,72,136,51,41,1.48,134
2015-07-14,轻度污染,111,319,64,129,44,44,1.54,131
2015-07-15,良,83,279,32,53,13,25,1.17,128
2015-07-16,良,96,339,28,40,9,17,1.06,152
2015-07-17,良,87,321,48,68,16,21,1.30,123
2015-07-18,良,73,277,34,47,22,21,1.14,122
2015-07-19,良,79,300,44,69,24,29,1.20,104
2015-07-20,轻度污染,105,351,59,89,27,30,1.39,118
2015-07-21,良,89,317,26,50,23,18,0.78,152
2015-07-22,良,80,296,32,70,36,29,1.23,114
2015-07-23,良,71,290,21,45,36,25,1.37,116
2015-07-24,良,81,317,24,59,39,36,1.23,116
2015-07-25,良,92,323,35,77,45,38,1.42,120
2015-07-26,良,95,306,39,82,42,33,1.24,129
2015-07-27,轻度污染,124,351,77,124,42,28,1.51,181
2015-07-28,轻度污染,110,354,49,88,26,23,1.17,152
2015-07-29,良,89,340,34,80,36,24,1.07,146
2015-07-30,轻度污染,106,359,45,102,34,32,1.28,139
2015-07-31,良,85,344,51,81,22,19,1.38,124
2015-08-01,良,65,257,37,66,18,19,1.28,107
2015-08-02,良,65,269,40,59,30,23,1.19,100
2015-08-03,良,55,207,22,55,36,34,1.09,73
2015-08-04,良,64,281,29,60,39,28,1.24,84
2015-08-05,良,77,296,36,80,32,39,1.18,87
2015-08-06,良,92,353,45,96,46,36,1.21,112
2015-08-07,良,100,351,54,95,38,29,1.26,133
2015-08-08,良,84,331,51,92,32,28,1.24,108
2015-08-09,良,96,339,54,114,46,41,1.45,91
2015-08-10,良,84,343,38,99,45,39,1.45,85
2015-08-11,良,90,335,54,111,47,42,1.51,85
2015-08-12,良,89,319,44,90,38,33,1.50,112
2015-08-13,良,91,288,34,97,49,30,1.35,114
2015-08-14,良,64,206,18,47,28,20,1.22,105
2015-08-15,良,77,287,34,82,41,39,1.28,93
2015-08-16,良,98,302,40,114,60,45,1.44,102
2015-08-17,良,99,288,44,139,32,16,0.92,118
