日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,67,122,45,72,41,21,0.78,13
2015-01-02,良,82,274,59,88,63,23,1.11,14
2015-01-03,良,63,42,34,75,55,24,0.84,25
2015-01-04,中度污染,155,208,116,174,66,63,2.11,37
2015-01-05,良,92,105,54,113,49,43,1.10,39
2015-01-06,优,49,78,19,53,26,27,1.26,41
2015-01-07,良,87,225,58,97,45,44,1.63,28
2015-01-08,良,98,198,72,108,74,60,1.49,20
2015-01-09,轻度污染,120,209,89,127,143,77,1.59,15
2015-01-10,轻度污染,130,221,97,140,96,62,1.74,16
2015-01-11,轻度污染,146,260,110,152,38,50,1.48,25
2015-01-12,轻度污染,138,295,104,140,64,63,1.90,19
2015-01-13,良,92,188,68,95,79,60,1.42,18
2015-01-14,重度污染,206,329,161,213,36,60,2.17,19
2015-01-15,中度污染,169,282,128,168,63,62,1.37,24
2015-01-16,良,84,132,61,86,38,39,1.06,35
2015-01-17,良,73,92,51,75,54,47,0.97,33
2015-01-18,良,76,92,53,79,52,48,1.34,27
2015-01-19,轻度污染,106,234,78,103,36,45,1.60,35
2015-01-20,良,84,121,58,97,67,54,1.12,25
2015-01-21,中度污染,197,358,154,210,73,56,2.01,34
2015-01-22,中度污染,168,328,129,178,65,66,1.76,23
2015-01-23,轻度污染,121,181,91,131,71,54,1.47,25
2015-01-24,中度污染,169,252,128,184,43,44,1.55,36
2015-01-25,中度污染,171,245,126,203,89,63,1.61,25
2015-01-26,良,99,129,63,114,35,29,1.34,30
2015-01-27,良,67,134,41,74,49,35,1.61,30
2015-01-28,良,90,315,66,94,78,58,1.41,23
2015-01-29,良,95,285,69,100,88,60,1.30,24
2015-01-30,良,65,154,42,68,37,35,1.25,35
2015-01-31,良,88,249,64,93,67,54,1.16,26
2015-02-01,轻度污染,112,268,83,117,114,65,1.71,23
2015-02-02,中度污染,157,305,120,169,86,80,2.04,23
2015-02-03,轻度污染,134,249,101,152,62,67,1.79,42
2015-02-04,轻度污染,128,232,96,135,33,41,1.27,39
2015-02-05,良,97,230,72,101,46,45,1.07,36
2015-02-06,良,81,121,56,101,72,43,1.13,43
2015-02-07,良,96,169,23,141,8,7,0.87,61
2015-02-08,良,57,86,26,64,40,19,1.33,44
2015-02-09,良,74,149,51,78,60,42,1.36,34
2015-02-10,轻度污染,120,241,89,121,73,65,2.08,29
2015-02-11,轻度污染,137,260,102,133,56,55,1.58,35
2015-02-12,优,44,23,26,42,26,29,1.18,47
2015-02-13,良,68,78,48,72,51,51,1.22,38
2015-02-14,轻度污染,121,198,91,132,74,47,1.80,53
2015-02-15,轻度污染,146,265,110,147,71,67,2.35,59
2015-02-16,重度污染,205,346,160,214,35,47,2.47,45
2015-02-17,良,68,101,49,62,19,19,1.00,53
2015-02-18,轻度污染,103,242,75,100,47,30,2.02,54
