日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,85,27,63,69,20,53,0.56,55
2013-10-29,良,94,44,70,85,29,75,0.78,42
2013-10-30,良,86,48,63,60,12,49,0.56,51
2013-10-31,良,75,44,54,55,14,54,0.64,44
2013-11-01,良,58,15,40,52,16,55,0.55,43
2013-11-02,良,95,44,70,84,19,62,0.77,34
2013-11-03,轻度污染,131,72,99,100,31,51,1.16,24
2013-11-04,轻度污染,123,87,91,82,34,48,1.18,45
2013-11-05,良,71,29,51,56,20,57,0.62,47
2013-11-06,轻度污染,128,61,113,117,33,72,1.08,53
2013-11-07,中度污染,180,105,139,168,38,85,0.89,51
2013-11-08,中度污染,182,103,107,125,18,56,0.76,90
2013-11-09,轻度污染,109,60,87,111,26,64,0.95,57
2013-11-10,轻度污染,124,81,64,76,18,42,0.75,38
2013-11-11,良,59,50,46,58,30,42,0.70,49
2013-11-12,良,61,41,38,56,21,46,0.48,38
2013-11-13,良,51,35,37,56,17,52,0.51,41
2013-11-14,良,73,43,79,106,30,64,0.93,16
2013-11-15,轻度污染,137,67,118,166,41,71,1.45,21
2013-11-16,轻度污染,137,62,97,202,29,68,1.12,37
2013-11-17,轻度污染,124,82,78,174,38,56,0.89,26
2013-11-18,轻度污染,114,94,90,118,43,65,1.02,22
2013-11-19,轻度污染,119,86,100,128,49,79,1.24,19
2013-11-20,中度污染,175,98,163,198,49,112,1.55,21
2013-11-21,重度污染,213,99,140,193,29,119,1.70,20
2013-11-22,轻度污染,145,66,87,128,16,81,1.22,17
2013-11-23,轻度污染,109,40,93,122,16,65,0.82,42
2013-11-24,轻度污染,119,50,74,79,14,48,1.02,26
2013-11-25,良,90,62,56,175,28,46,0.88,21
2013-11-26,轻度污染,140,102,79,238,28,69,1.10,16
2013-11-27,轻度污染,134,104,81,164,34,64,0.95,20
2013-11-28,良,79,84,46,75,35,47,0.70,22
2013-11-29,良,68,49,51,84,36,58,0.94,17
2013-11-30,轻度污染,103,70,110,139,48,87,1.28,14
2013-12-01,中度污染,161,95,171,195,54,91,1.78,13
2013-12-02,重度污染,246,100,195,226,55,103,2.04,14
2013-12-03,重度污染,235,82,196,221,50,124,1.80,14
2013-12-04,严重污染,260,81,204,260,30,111,2.27,20
2013-12-05,严重污染,267,85,256,288,38,127,2.38,13
2013-12-06,严重污染,359,110,371,369,40,103,2.93,7
2013-12-07,严重污染,381,106,247,289,26,95,2.40,22
2013-12-08,严重污染,253,70,192,217,27,93,1.56,14
2013-12-09,严重污染,316,106,220,319,31,85,2.11,13
2013-12-10,中度污染,159,91,88,118,36,70,1.21,14
2013-12-11,轻度污染,123,71,87,127,32,73,1.25,14
2013-12-12,轻度污染,122,65,122,172,43,92,1.43,14
2013-12-13,重度污染,232,112,168,227,40,89,1.58,16
2013-12-14,轻度污染,117,43,67,95,23,76,1.05,10
2013-12-15,轻度污染,125,59,105,130,21,62,1.08,30
2013-12-16,良,86,40,31,49,12,44,0.71,22
2013-12-17,优,40,31,31,35,11,39,0.68,19
2013-12-18,良,58,42,72,84,25,47,0.93,21
2013-12-19,轻度污染,127,70,110,133,35,57,1.18,19
2013-12-20,重度污染,210,84,199,235,63,86,2.02,11
2013-12-21,中度污染,195,86,90,101,47,68,1.11,21
2013-12-22,轻度污染,124,47,94,114,37,69,1.12,19
2013-12-23,轻度污染,127,37,106,133,31,80,1.44,15
2013-12-24,中度污染,177,52,173,216,64,90,1.88,15
2013-12-25,重度污染,240,71,190,247,54,101,2.35,14
2013-12-26,严重污染,289,87,261,315,66,104,2.39,9
2013-12-27,中度污染,174,100,50,72,32,51,0.84,20
2013-12-28,良,89,37,78,99,35,69,1.10,16
2013-12-29,轻度污染,138,90,122,142,46,76,1.56,13
2013-12-30,中度污染,174,108,125,153,49,84,1.45,22
2013-12-31,轻度污染,128,96,80,103,34,83,1.09,30
2014-01-01,轻度污染,115,74,106,123,35,96,1.33,30
2014-01-02,中度污染,166,129,141,150,36,114,1.51,23
2014-01-03,重度污染,229,159,184,173,60,125,1.91,11
2014-01-04,中度污染,188,157,143,165,42,70,1.52,10
2014-01-05,轻度污染,143,77,108,122,36,80,1.09,11
2014-01-06,良,57,9,39,51,19,55,0.63,27
2014-01-07,良,82,40,60,59,15,63,0.75,17
2014-01-08,良,82,106,60,48,12,44,0.81,33
2014-01-09,良,67,63,47,62,25,45,0.68,28
2014-01-10,良,77,37,56,76,21,63,0.79,23
2014-01-11,良,90,59,67,67,15,72,0.90,14
2014-01-12,中度污染,157,144,120,94,31,66,1.18,26
2014-01-13,轻度污染,103,94,76,82,22,40,0.66,41
2014-01-14,良,51,16,34,42,20,53,0.60,29
2014-01-15,良,69,21,50,50,22,60,0.70,27
2014-01-16,轻度污染,111,50,83,84,25,77,1.00,22
2014-01-17,中度污染,178,99,136,117,39,96,1.43,20
2014-01-18,严重污染,272,157,222,172,42,77,1.63,28
2014-01-19,严重污染,255,144,204,153,31,91,1.65,26
2014-01-20,重度污染,226,178,179,202,47,86,1.54,26
2014-01-21,良,83,75,54,103,37,60,0.83,29
2014-01-22,良,81,39,59,68,29,66,0.77,27
2014-01-24,良,86,56,63,69,25,74,0.75,30
2014-01-25,中度污染,182,143,145,154,28,71,1.20,35
2014-01-26,良,64,48,45,49,9,26,0.55,65
2014-01-27,优,46,24,30,44,11,43,0.55,36
2014-01-28,良,87,91,64,84,17,49,0.96,36
2014-01-29,轻度污染,102,94,76,83,10,46,0.89,30
2014-01-30,重度污染,228,134,185,167,16,59,1.75,24
2014-01-31,重度污染,211,92,165,157,12,33,1.29,58
2014-02-01,轻度污染,113,89,84,89,14,37,0.95,56
2014-02-02,严重污染,280,174,230,283,10,48,2.32,10
2014-02-03,轻度污染,103,134,69,105,7,21,0.97,50
2014-02-04,优,38,17,21,37,9,14,0.48,64
2014-02-05,优,31,11,19,29,8,27,0.57,44
2014-02-06,优,21,5,12,14,5,26,0.59,38
2014-02-07,优,32,30,18,16,6,24,0.69,46
2014-02-08,良,84,125,62,59,16,25,1.00,48
2014-02-09,良,81,145,59,66,20,25,1.02,46
2014-02-10,良,55,96,38,47,15,20,0.62,44
2014-02-11,良,65,60,46,55,22,33,0.84,41
2014-02-12,良,64,31,45,59,21,39,1.06,36
2014-02-13,良,52,41,34,47,14,31,0.80,50
2014-02-14,良,89,59,66,80,24,44,0.96,47
2014-02-15,良,62,26,44,62,18,52,0.61,38
2014-02-16,优,49,22,33,39,8,50,0.60,27
2014-02-17,良,57,61,40,40,9,50,0.95,17
2014-02-18,优,40,33,26,26,9,38,0.58,39
2014-02-19,轻度污染,103,120,77,77,18,47,0.96,32
2014-02-20,轻度污染,134,126,102,90,35,49,1.11,30
