日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,350,110,298,409,85,116,4.48,4
2013-10-29,轻度污染,117,57,88,139,95,64,3.11,14
2013-10-30,中度污染,163,97,126,190,63,77,2.79,27
2013-10-31,中度污染,181,100,139,202,66,100,1.71,19
2013-11-01,严重污染,293,111,243,323,61,105,2.34,19
2013-11-02,严重污染,276,110,226,281,75,87,2.09,13
2013-11-03,中度污染,192,110,152,219,33,66,1.56,19
2013-11-04,良,81,43,52,113,47,68,1.91,20
2013-11-05,轻度污染,148,103,113,193,70,92,2.60,6
2013-11-06,严重污染,345,114,211,340,52,85,2.43,23
2013-11-07,轻度污染,133,76,30,80,29,47,0.75,23
2013-11-08,轻度污染,104,52,101,191,112,65,3.61,15
2013-11-09,重度污染,202,103,196,318,124,87,5.35,2
2013-11-10,轻度污染,144,88,32,79,26,45,0.61,31
2013-11-11,良,79,90,55,120,71,69,1.94,16
2013-11-12,轻度污染,102,92,83,153,83,68,1.67,17
2013-11-13,轻度污染,128,89,129,219,176,89,4.82,5
2013-11-14,中度污染,177,94,113,186,70,70,1.33,19
2013-11-15,中度污染,154,81,150,271,114,93,2.05,12
2013-11-16,重度污染,233,105,145,270,90,66,2.15,22
2013-11-17,良,85,44,24,63,25,33,0.48,23
2013-11-18,良,55,21,20,50,21,30,0.48,29
2013-11-19,良,53,18,40,70,42,45,0.89,22
2013-11-20,轻度污染,120,57,118,188,108,86,2.67,10
2013-11-21,重度污染,211,97,214,299,149,116,3.79,9
2013-11-22,严重污染,293,105,270,336,155,138,2.54,7
2013-11-23,严重污染,375,109,427,524,212,163,4.13,7
2013-11-24,严重污染,434,113,272,381,159,119,4.02,7
2013-11-25,轻度污染,144,107,51,115,53,42,0.98,16
2013-11-26,良,76,52,56,101,63,45,1.02,19
2013-11-27,良,61,19,15,62,16,14,0.37,42
2013-11-28,良,55,20,31,68,27,28,0.60,27
2013-11-29,良,83,76,86,137,67,62,1.51,14
2013-11-30,轻度污染,146,106,105,184,100,63,2.49,12
2013-12-01,轻度污染,116,70,100,159,64,60,1.68,13
2013-12-02,重度污染,205,89,270,358,110,102,4.12,7
2013-12-03,严重污染,311,98,236,319,175,96,4.15,7
2013-12-04,中度污染,182,65,190,295,172,102,3.42,7
2013-12-05,中度污染,187,67,70,146,121,54,2.46,10
2013-12-06,良,100,37,104,165,125,67,2.16,8
2013-12-07,重度污染,222,71,231,319,258,81,4.75,5
2013-12-08,严重污染,330,91,290,403,240,77,5.79,4
2013-12-09,重度污染,233,81,33,83,55,35,1.04,25
2013-12-10,良,98,41,83,162,77,52,1.96,18
2013-12-11,良,78,27,38,74,48,48,1.03,22
2013-12-12,良,95,41,66,127,83,48,1.81,24
2013-12-13,良,66,20,54,94,57,49,1.23,20
2013-12-14,轻度污染,119,46,89,145,96,64,1.98,15
2013-12-15,轻度污染,115,55,104,172,214,85,3.65,11
2013-12-16,重度污染,222,97,279,431,437,123,9.32,5
2013-12-17,严重污染,278,104,149,212,205,64,4.38,4
2013-12-18,轻度污染,113,78,50,80,72,51,1.55,20
2013-12-19,良,71,34,58,89,77,54,1.59,21
2013-12-20,轻度污染,109,49,105,155,133,71,2.70,13
2013-12-21,中度污染,159,70,142,191,151,90,3.33,9
2013-12-22,重度污染,221,92,264,340,220,119,4.36,8
2013-12-23,严重污染,340,103,302,382,244,124,5.77,7
2013-12-24,重度污染,226,72,125,180,194,83,3.66,9
2013-12-25,重度污染,210,60,290,389,183,131,4.23,6
2013-12-26,重度污染,204,64,34,79,39,39,1.12,28
2013-12-27,良,63,20,42,75,47,47,1.19,21
2013-12-28,良,69,18,48,85,52,49,1.42,21
2013-12-29,良,87,32,90,143,84,72,2.25,14
2013-12-30,轻度污染,121,64,78,148,63,63,1.67,17
2013-12-31,轻度污染,103,54,69,178,90,61,1.60,20
2014-01-01,轻度污染,110,66,64,155,90,65,2.14,17
2014-01-02,轻度污染,137,86,116,189,170,73,4.06,9
2014-01-03,中度污染,175,114,135,217,171,81,4.11,11
2014-01-04,轻度污染,119,88,87,130,181,62,3.20,11
2014-01-05,中度污染,167,112,126,187,177,65,3.58,11
2014-01-06,重度污染,207,140,160,204,211,71,4.19,8
2014-01-07,中度污染,187,139,144,183,104,63,2.24,10
2014-01-08,良,71,84,44,82,105,46,1.73,24
2014-01-09,良,88,127,60,108,99,54,1.90,21
2014-01-10,中度污染,194,163,152,208,133,82,2.52,10
2014-01-11,严重污染,361,183,314,378,174,117,4.23,8
2014-01-12,轻度污染,143,137,115,167,97,65,2.50,23
2014-01-13,轻度污染,131,142,98,137,127,76,2.44,10
2014-01-14,重度污染,221,165,171,244,244,85,5.57,7
2014-01-15,严重污染,309,170,262,329,179,116,4.42,9
2014-01-16,严重污染,382,184,334,431,253,85,8.87,4
2014-01-17,中度污染,186,109,143,187,174,70,3.96,7
2014-01-18,中度污染,188,107,150,203,107,67,2.84,18
2014-01-19,重度污染,214,125,173,225,202,78,3.94,6
2014-01-20,良,70,28,25,90,33,25,0.81,47
2014-01-21,良,61,22,38,69,57,45,1.37,26
2014-01-22,中度污染,162,174,124,187,177,84,3.13,9
2014-01-24,严重污染,321,187,270,383,302,108,7.01,5
2014-01-25,轻度污染,135,107,97,150,144,53,2.63,24
2014-01-26,良,71,63,46,86,108,51,2.17,25
2014-01-27,中度污染,180,157,141,201,134,75,3.20,10
2014-01-28,良,85,89,52,99,78,39,1.41,34
2014-01-29,轻度污染,139,140,105,155,100,59,2.60,15
2014-01-30,重度污染,241,148,198,269,129,53,3.48,27
2014-01-31,中度污染,173,63,132,212,231,56,5.29,8
2014-02-01,轻度污染,145,114,110,147,104,43,3.21,8
2014-02-02,轻度污染,128,87,83,146,61,31,1.72,30
2014-02-03,良,57,57,20,66,42,19,0.97,55
2014-02-04,良,62,113,39,62,50,28,1.09,47
2014-02-05,良,79,150,57,90,105,51,1.99,28
2014-02-06,轻度污染,131,177,99,152,176,56,3.46,28
2014-02-07,中度污染,164,181,127,169,192,62,3.79,19
2014-02-08,轻度污染,144,173,109,145,134,56,3.28,17
2014-02-09,优,49,82,27,53,53,37,1.41,42
2014-02-10,良,77,142,56,89,102,54,2.64,29
2014-02-11,轻度污染,114,147,85,118,110,66,1.94,26
2014-02-12,中度污染,199,172,152,196,146,74,3.46,29
2014-02-13,中度污染,158,157,119,163,139,55,2.82,47
2014-02-14,重度污染,238,175,193,240,152,80,3.03,27
2014-02-15,严重污染,308,183,257,309,149,89,3.35,25
2014-02-16,重度污染,242,171,198,282,177,70,4.72,29
2014-02-17,良,95,120,68,124,108,60,2.45,41
2014-02-18,轻度污染,105,162,79,129,123,61,2.77,32
2014-02-19,中度污染,155,171,117,173,153,74,3.56,21
2014-02-20,中度污染,200,171,151,194,128,70,2.98,20
2014-02-21,严重污染,369,187,320,410,284,136,7.28,15
2014-02-22,严重污染,311,181,261,328,205,77,4.47,21
2014-02-23,重度污染,245,169,195,240,159,65,3.43,30
2014-02-24,严重污染,331,182,283,377,276,106,6.96,10
2014-02-25,严重污染,469,190,447,585,306,147,9.74,9
2014-02-26,严重污染,333,185,285,356,190,97,4.32,18
2014-02-27,良,72,68,45,73,56,37,1.36,46
2014-02-28,良,75,120,50,96,99,54,2.07,32
2014-03-01,轻度污染,127,164,95,145,98,60,2.21,40
2014-03-02,轻度污染,145,153,110,158,132,62,2.98,25
2014-03-03,重度污染,205,180,159,222,166,71,4.50,18
2014-03-04,中度污染,167,178,129,184,121,58,2.84,34
2014-03-05,轻度污染,121,166,88,125,76,57,2.24,40
2014-03-06,良,81,125,54,96,74,48,1.70,39
2014-03-07,轻度污染,135,171,102,159,121,63,3.16,30
2014-03-08,重度污染,228,183,184,247,138,80,3.78,24
