日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,102,53,48,187,89,55,0.33,21
2014-01-01,良,91,39,36,93,96,38,0.35,29
2014-01-02,良,93,35,60,96,103,53,0.93,18
2014-01-03,良,61,12,39,63,60,39,0.72,29
2014-01-04,良,88,44,64,88,73,50,1.09,19
2014-01-05,轻度污染,129,64,96,126,85,59,1.18,10
2014-01-06,轻度污染,147,79,110,79,89,50,0.79,13
2014-01-07,良,99,76,74,71,63,39,0.93,22
2014-01-08,优,37,5,16,34,47,23,0.31,50
2014-01-09,良,66,62,41,62,103,40,0.58,33
2014-01-10,轻度污染,101,84,72,100,112,41,1.42,21
2014-01-11,中度污染,158,133,120,154,128,51,1.35,16
2014-01-12,良,59,28,35,54,55,19,0.34,47
2014-01-13,良,65,42,43,59,97,26,0.60,28
2014-01-14,轻度污染,103,78,77,81,96,32,1.12,24
2014-01-15,中度污染,183,118,148,165,135,59,2.11,18
2014-01-16,重度污染,238,148,188,137,107,62,1.17,6
2014-01-17,中度污染,191,116,146,164,126,58,1.30,9
2014-01-18,良,66,6,47,41,87,27,0.51,36
2014-01-19,良,93,18,69,70,80,31,0.65,22
2014-01-20,良,73,33,50,74,44,20,0.39,38
2014-01-21,良,60,21,43,49,60,25,0.46,38
2014-01-22,轻度污染,115,125,85,109,154,43,1.01,18
2014-01-24,轻度污染,111,79,83,72,93,35,0.69,24
2014-01-25,轻度污染,106,74,50,119,84,21,0.52,42
2014-01-26,良,65,52,34,73,113,27,0.54,34
2014-01-27,良,59,38,35,64,80,28,0.49,33
2014-01-28,优,45,12,18,37,72,14,0.27,53
2014-01-29,良,67,41,46,62,81,29,0.68,32
2014-01-30,良,99,55,73,121,84,21,0.63,40
2014-01-31,轻度污染,147,46,138,150,62,14,0.40,48
2014-02-01,良,60,25,38,63,73,16,0.38,47
2014-02-02,良,99,63,53,113,72,17,0.71,46
2014-02-03,优,43,17,16,44,46,8,0.26,58
2014-02-04,良,61,110,35,63,102,22,0.60,42
2014-02-05,良,71,136,50,64,90,22,0.71,41
2014-02-06,良,74,132,52,73,119,25,0.61,45
2014-02-07,轻度污染,112,156,84,109,126,38,0.77,26
2014-02-08,良,100,152,71,101,101,31,0.84,34
2014-02-09,优,47,76,26,46,40,12,0.29,58
2014-02-10,良,68,127,48,67,91,27,0.51,47
2014-02-11,轻度污染,123,159,92,91,146,47,1.42,30
2014-02-12,中度污染,161,156,124,111,124,44,1.71,37
2014-02-13,轻度污染,118,126,89,99,100,39,0.86,41
2014-02-14,中度污染,156,140,118,122,151,42,1.42,39
2014-02-15,严重污染,256,171,206,131,157,46,0.91,31
2014-02-16,中度污染,194,158,153,56,140,37,0.83,42
2014-02-17,良,67,81,45,67,76,20,0.36,62
2014-02-18,轻度污染,122,171,92,117,123,43,0.86,40
2014-02-19,轻度污染,103,119,77,84,95,39,0.72,40
2014-02-20,良,87,81,64,87,134,37,0.80,49
2014-02-21,中度污染,178,144,135,108,74,43,0.90,39
2014-02-22,中度污染,157,121,119,27,69,27,0.67,51
2014-02-23,严重污染,263,178,213,149,119,46,1.66,34
2014-02-24,中度污染,160,120,122,67,77,28,0.88,39
