日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,469,114,321,586,151,127,3.47,22
2013-10-29,严重污染,350,111,284,435,79,84,2.34,25
2013-10-30,中度污染,163,98,121,236,57,73,1.78,25
2013-10-31,中度污染,192,102,141,285,116,90,1.98,7
2013-11-01,严重污染,302,113,223,401,73,91,2.39,2
2013-11-02,重度污染,228,99,174,318,100,71,2.88,4
2013-11-03,轻度污染,150,91,92,235,59,63,2.34,18
2013-11-04,轻度污染,140,103,78,221,92,67,1.91,19
2013-11-05,中度污染,190,111,137,297,157,88,2.34,21
2013-11-06,中度污染,161,86,73,214,56,54,1.10,40
2013-11-07,轻度污染,104,59,53,162,73,57,0.34,20
2013-11-08,中度污染,154,89,107,278,84,73,1.41,13
2013-11-09,中度污染,174,91,158,295,82,91,1.98,3
2013-11-10,轻度污染,148,91,59,151,50,50,0.79,12
2013-11-11,轻度污染,103,105,55,170,56,55,1.26,19
2013-11-12,轻度污染,142,106,98,315,93,91,2.48,11
2013-11-13,严重污染,268,110,219,484,173,109,3.48,9
2013-11-14,严重污染,351,109,156,415,107,90,2.49,8
2013-11-15,重度污染,205,103,82,305,85,74,1.42,14
2013-11-16,中度污染,200,98,58,269,35,39,0.58,40
2013-11-17,轻度污染,118,75,53,184,71,64,1.64,15
2013-11-18,轻度污染,116,96,87,200,75,68,1.89,12
2013-11-19,轻度污染,124,90,95,190,81,62,1.00,17
2013-11-20,中度污染,151,84,137,269,113,70,1.62,12
2013-11-21,中度污染,171,80,156,291,130,83,2.10,11
2013-11-22,严重污染,275,99,252,452,140,116,3.61,8
2013-11-23,严重污染,457,112,433,711,254,161,6.90,6
2013-11-24,严重污染,407,110,165,272,106,68,2.16,15
2013-11-25,轻度污染,127,100,61,193,72,51,0.89,17
2013-11-26,轻度污染,131,99,108,269,130,62,2.45,11
2013-11-27,轻度污染,110,84,35,116,37,31,0.48,37
2013-11-28,轻度污染,113,112,116,247,133,65,2.43,12
2013-11-29,中度污染,152,113,101,258,162,74,3.15,11
2013-11-30,中度污染,153,109,130,257,133,70,2.37,14
2013-12-01,中度污染,180,103,167,334,191,88,3.35,7
2013-12-02,严重污染,297,110,286,505,257,128,6.05,6
2013-12-03,严重污染,424,114,309,532,266,141,4.80,8
2013-12-04,严重污染,314,99,202,379,181,106,3.91,6
2013-12-05,严重污染,257,83,166,326,131,91,2.38,8
2013-12-06,重度污染,215,87,236,429,201,103,4.94,5
2013-12-07,严重污染,413,110,352,595,137,107,4.83,4
2013-12-08,严重污染,499,114,314,595,83,109,4.09,3
2013-12-09,严重污染,380,113,143,272,109,69,1.79,12
2013-12-10,中度污染,159,89,142,291,150,75,2.85,8
2013-12-11,轻度污染,145,90,86,263,149,65,1.96,14
2013-12-12,中度污染,164,109,92,216,112,63,2.11,14
2013-12-13,轻度污染,135,68,120,272,182,77,1.98,6
2013-12-14,严重污染,270,112,264,490,247,112,4.11,5
2013-12-15,严重污染,464,114,364,669,244,137,5.21,5
2013-12-16,严重污染,500,114,463,730,252,147,5.23,4
2013-12-17,严重污染,461,114,260,430,161,113,3.45,5
2013-12-18,重度污染,238,105,187,282,117,71,2.76,5
2013-12-19,严重污染,339,109,384,619,128,104,4.88,5
2013-12-20,严重污染,500,114,447,687,190,128,6.93,4
2013-12-21,严重污染,500,114,344,517,169,111,5.38,2
2013-12-22,严重污染,433,112,428,655,259,129,5.94,3
2013-12-23,严重污染,500,113,592,629,374,180,4.86,11
2013-12-24,严重污染,500,112,617,369,396,217,3.15,5
2013-12-25,严重污染,500,111,796,352,327,235,11.21,5
2013-12-26,严重污染,430,112,130,247,124,65,1.26,14
2013-12-27,轻度污染,123,67,94,191,181,66,2.57,9
2013-12-28,轻度污染,127,76,87,175,187,68,1.70,11
2013-12-29,轻度污染,116,68,78,215,189,66,2.53,15
2013-12-30,中度污染,153,97,56,215,134,50,1.56,35
2013-12-31,轻度污染,129,98,26,188,86,42,1.16,39
2014-01-01,轻度污染,112,69,47,184,136,55,1.72,32
2014-01-02,重度污染,232,183,184,395,287,113,4.51,8
2014-01-03,中度污染,197,135,134,269,151,72,2.28,24
2014-01-04,重度污染,239,177,158,350,200,82,3.40,7
2014-01-05,严重污染,283,180,223,381,217,106,3.19,9
2014-01-06,严重污染,339,185,271,434,199,105,4.09,11
2014-01-07,严重污染,360,186,289,472,242,102,3.65,10
2014-01-08,重度污染,206,184,160,260,141,78,1.59,11
2014-01-09,严重污染,269,190,213,348,158,86,3.30,11
2014-01-10,严重污染,296,187,240,391,259,107,2.96,9
2014-01-11,严重污染,444,189,401,601,348,141,6.68,6
2014-01-12,重度污染,250,188,217,333,207,88,2.17,21
2014-01-13,重度污染,231,184,176,319,273,91,3.59,7
2014-01-14,严重污染,308,185,250,412,283,115,2.82,8
2014-01-15,严重污染,429,188,354,564,206,119,4.44,14
2014-01-16,严重污染,497,189,579,854,223,153,5.69,7
2014-01-17,严重污染,499,189,532,773,194,138,5.82,5
2014-01-18,严重污染,349,182,303,461,190,108,3.78,10
2014-01-19,严重污染,418,189,338,573,177,112,3.32,16
2014-01-20,轻度污染,128,91,47,167,56,33,0.54,56
2014-01-21,中度污染,151,178,109,194,130,72,2.15,11
2014-01-22,重度污染,244,187,187,343,227,101,4.00,7
2014-01-24,严重污染,391,189,306,505,231,132,3.65,7
2014-01-25,中度污染,189,152,145,240,146,79,1.84,22
2014-01-26,重度污染,213,168,147,290,145,71,2.35,16
2014-01-27,严重污染,334,184,284,452,198,104,3.72,8
2014-01-28,严重污染,306,179,248,391,180,89,2.71,28
2014-01-29,严重污染,377,189,239,494,190,99,3.01,22
2014-01-30,严重污染,381,189,304,478,171,81,2.85,31
2014-01-31,严重污染,353,170,300,441,188,62,2.39,19
2014-02-01,严重污染,257,168,207,302,133,58,2.09,26
2014-02-02,严重污染,338,181,243,424,90,59,3.34,14
2014-02-03,轻度污染,141,161,99,189,66,32,1.07,44
2014-02-04,轻度污染,149,176,112,193,84,46,1.41,23
2014-02-05,轻度污染,126,183,95,116,95,42,0.81,26
2014-02-06,中度污染,196,190,151,184,110,35,1.04,36
2014-02-07,中度污染,173,182,132,164,77,32,0.95,56
2014-02-08,重度污染,214,186,168,201,117,54,1.52,37
2014-02-09,良,87,161,62,72,34,18,0.47,64
2014-02-10,轻度污染,109,171,80,123,88,49,1.61,39
2014-02-11,重度污染,204,188,158,243,143,79,2.52,17
2014-02-12,严重污染,340,189,288,414,204,110,4.21,5
2014-02-13,严重污染,336,188,283,406,290,125,3.84,14
2014-02-14,严重污染,330,188,276,401,240,105,3.55,18
2014-02-15,严重污染,452,187,416,568,198,103,3.87,6
2014-02-16,严重污染,485,190,531,701,207,104,4.09,11
2014-02-17,重度污染,228,184,182,266,113,58,1.51,43
2014-02-18,轻度污染,133,178,100,157,88,63,1.28,36
2014-02-19,重度污染,248,190,198,297,146,72,1.88,28
2014-02-20,严重污染,270,188,220,302,163,89,2.33,14
2014-02-21,严重污染,385,188,340,487,212,129,3.05,32
2014-02-22,严重污染,488,190,447,638,207,126,3.86,45
2014-02-23,严重污染,498,190,431,622,154,121,3.80,9
2014-02-24,严重污染,479,190,427,629,161,113,3.80,4
2014-02-25,严重污染,451,188,406,614,194,114,3.33,23
2014-02-26,严重污染,373,186,333,510,159,96,3.51,15
2014-02-27,中度污染,197,188,161,220,54,42,1.38,46
2014-02-28,轻度污染,128,182,96,152,74,60,1.31,49
2014-03-01,中度污染,187,187,143,250,125,73,1.70,46
2014-03-02,严重污染,273,190,220,369,145,87,3.34,22
2014-03-03,严重污染,290,189,215,394,93,76,2.21,33
2014-03-04,严重污染,275,190,219,363,61,71,1.97,34
2014-03-05,轻度污染,143,177,105,174,81,67,1.39,27
2014-03-06,中度污染,158,184,117,202,80,53,1.06,33
2014-03-07,重度污染,231,188,177,317,159,82,2.17,7
2014-03-08,严重污染,266,189,212,338,187,94,2.30,28
2014-03-09,严重污染,296,190,240,378,147,72,2.00,51
2014-03-10,严重污染,258,190,196,350,176,80,1.63,40
2014-03-11,重度污染,213,184,141,320,124,74,1.96,49
2014-03-12,重度污染,218,190,120,296,53,41,1.00,42
2014-03-13,良,95,150,56,118,83,51,2.26,24
2014-03-14,轻度污染,130,176,56,209,75,51,1.25,35
2014-03-15,中度污染,184,189,99,306,133,70,2.19,26
2014-03-16,严重污染,308,190,175,427,115,82,1.92,39
2014-03-17,严重污染,447,190,244,615,112,82,2.01,24
2014-03-18,严重污染,375,188,105,528,64,47,0.91,47
2014-03-19,轻度污染,115,128,76,171,49,40,0.49,45
2014-03-20,轻度污染,103,173,43,154,39,36,0.51,53
2014-03-21,轻度污染,149,187,76,246,79,61,1.58,34
2014-03-22,重度污染,249,189,139,364,109,79,2.10,33
2014-03-23,重度污染,228,188,155,330,73,68,1.16,54
2014-03-25,严重污染,285,189,201,383,124,77,1.40,36
2014-03-26,严重污染,309,187,231,422,123,72,2.09,25
2014-03-27,严重污染,267,186,168,351,82,45,1.61,43
2014-03-28,重度污染,245,186,167,352,65,48,1.17,64
2014-03-29,重度污染,213,182,137,314,41,46,1.00,68
2014-03-30,重度污染,239,190,161,345,93,65,2.22,53
2014-03-31,轻度污染,149,176,93,239,87,64,1.47,56
2014-04-01,轻度污染,117,153,85,175,62,58,0.94,70
2014-04-02,重度污染,212,189,142,319,125,73,1.93,54
2014-04-03,轻度污染,127,175,74,166,34,32,0.50,78
2014-04-04,轻度污染,146,182,77,234,80,68,1.46,43
2014-04-05,中度污染,154,181,44,235,37,31,0.39,78
2014-04-06,重度污染,224,189,100,345,120,60,1.96,51
2014-04-07,重度污染,205,190,130,323,120,79,1.87,36
2014-04-08,重度污染,230,189,156,342,103,70,1.78,69
2014-04-09,严重污染,253,189,169,358,116,62,2.20,89
2014-04-10,重度污染,220,188,79,325,30,39,0.61,65
2014-04-11,轻度污染,132,172,78,202,33,47,0.74,56
2014-04-12,中度污染,180,183,137,232,54,73,1.23,18
2014-04-13,严重污染,284,189,219,380,102,84,2.92,46
2014-04-14,中度污染,176,178,114,254,77,47,1.48,96
2014-04-15,轻度污染,120,148,89,143,47,49,1.19,51
2014-04-16,轻度污染,130,180,86,172,47,42,0.73,61
2014-04-17,中度污染,180,180,138,197,39,46,1.16,61
