日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,31,5,16,26,19,8,0.67,56
2015-01-06,优,35,17,7,23,17,6,0.39,69
2015-01-07,优,32,4,12,24,23,8,0.45,57
2015-01-08,优,34,5,21,30,33,13,0.52,56
2015-01-09,良,52,39,34,42,50,22,0.66,44
2015-01-10,良,78,92,56,52,59,24,0.71,43
2015-01-11,优,44,30,27,34,34,14,0.43,50
2015-01-12,良,52,76,37,43,42,18,0.50,51
2015-01-13,轻度污染,114,246,85,103,57,44,1.04,22
2015-01-14,中度污染,164,299,124,122,65,45,1.37,18
2015-01-15,轻度污染,132,240,99,120,65,35,1.19,26
2015-01-16,良,84,135,59,68,52,25,0.87,34
2015-01-17,优,36,11,19,31,35,11,0.50,62
2015-01-18,良,92,146,66,75,89,46,1.04,25
2015-01-19,良,81,125,59,63,61,28,0.94,37
2015-01-20,轻度污染,101,203,75,89,82,38,1.07,32
2015-01-21,轻度污染,134,248,101,121,100,45,1.41,14
2015-01-22,轻度污染,103,190,75,98,63,33,1.25,33
2015-01-23,轻度污染,113,149,84,101,83,43,1.30,19
2015-01-24,轻度污染,121,170,89,112,64,35,1.34,29
2015-01-25,中度污染,189,274,146,174,128,48,1.75,18
2015-01-26,中度污染,154,220,115,154,106,42,1.44,25
2015-01-27,优,35,25,11,31,41,9,0.65,62
2015-01-28,优,43,104,27,31,44,14,0.81,54
2015-01-29,良,78,245,55,78,106,37,0.90,23
2015-01-30,良,69,177,47,67,46,22,0.71,40
2015-01-31,优,44,39,27,37,32,14,0.52,61
2015-02-01,良,61,110,41,51,46,23,0.69,49
2015-02-02,良,73,108,50,57,53,30,0.84,37
2015-02-03,轻度污染,112,202,83,97,53,37,1.03,37
2015-02-04,中度污染,183,311,142,163,68,49,1.34,29
2015-02-05,轻度污染,150,330,113,134,45,31,1.18,54
2015-02-06,轻度污染,129,296,97,116,49,38,1.19,39
2015-02-07,轻度污染,124,261,79,114,35,24,1.06,42
2015-02-08,优,50,56,13,51,19,7,0.61,58
2015-02-09,优,45,21,22,39,21,10,0.58,60
2015-02-10,优,41,16,21,33,27,14,0.54,64
2015-02-11,良,62,55,42,56,38,22,0.72,51
2015-02-12,良,63,74,42,57,24,23,0.76,43
2015-02-13,良,71,87,47,61,26,22,0.81,45
2015-02-14,良,93,121,66,78,47,33,1.09,43
2015-02-15,轻度污染,116,220,85,95,40,39,1.24,38
2015-02-16,轻度污染,103,187,76,96,56,35,1.13,40
2015-02-17,优,41,16,18,28,25,18,0.66,61
2015-02-18,良,51,44,36,44,28,17,0.69,60
2015-02-19,良,60,49,38,40,26,13,0.54,69
2015-02-20,良,51,112,34,44,46,21,0.63,44
2015-02-21,轻度污染,106,280,79,66,52,40,0.93,26
2015-02-22,中度污染,176,322,58,217,25,20,0.57,45
2015-02-23,良,92,248,32,127,23,8,0.38,73
2015-02-24,良,54,105,33,37,24,17,0.51,59
2015-02-25,良,57,152,35,60,52,24,0.61,45
2015-02-26,优,49,119,29,43,27,13,0.53,76
2015-02-27,优,44,136,24,32,25,11,0.50,81
2015-02-28,良,56,211,37,47,35,24,0.65,67
2015-03-01,良,55,137,31,46,30,16,0.64,67
2015-03-02,优,49,62,30,42,31,20,0.67,65
2015-03-03,优,43,36,23,34,26,14,0.61,71
2015-03-04,良,63,221,41,49,22,11,0.68,96
2015-03-05,良,58,169,32,45,28,17,0.69,73
2015-03-06,良,65,157,45,52,43,26,0.82,56
2015-03-07,良,88,230,64,75,49,37,1.09,35
