日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,109,39,81,81,48,38,1.29,74
2013-10-29,优,48,9,19,32,17,20,0.74,33
2013-10-30,良,79,39,49,110,32,41,1.46,20
2013-10-31,良,78,49,55,96,40,54,2.13,26
2013-11-01,中度污染,152,84,114,182,93,90,3.47,10
2013-11-02,良,94,40,70,109,46,44,2.04,37
2013-11-03,良,79,34,56,80,27,41,1.56,26
2013-11-04,优,35,1,17,34,39,33,0.70,26
2013-11-05,优,48,3,30,49,37,39,0.93,36
2013-11-06,良,70,15,49,88,35,38,0.94,52
2013-11-07,优,49,2,5,15,24,27,-0.05,48
2013-11-08,优,28,1,11,28,25,29,0.59,51
2013-11-09,优,39,1,31,50,23,30,0.65,38
2013-11-10,优,43,7,18,38,33,24,0.51,50
2013-11-11,优,46,15,25,53,28,22,0.44,47
2013-11-12,良,63,44,49,82,52,42,1.25,29
2013-11-13,良,73,53,47,85,48,42,1.28,24
2013-11-14,良,57,32,38,59,58,58,1.22,29
2013-11-15,良,91,43,74,159,54,60,1.36,22
2013-11-16,轻度污染,114,43,74,163,61,48,1.17,26
2013-11-17,良,57,9,9,22,24,13,0.38,46
2013-11-18,优,23,2,7,24,24,10,0.37,45
2013-11-19,优,29,2,15,32,32,20,0.49,41
2013-11-20,优,44,6,30,53,47,34,0.77,37
2013-11-21,良,65,16,57,46,59,56,1.92,21
2013-11-22,良,74,18,62,101,69,64,2.01,27
2013-11-23,轻度污染,114,47,115,162,89,73,2.13,42
2013-11-24,中度污染,175,78,125,172,49,53,3.09,23
2013-11-25,良,80,52,8,17,28,19,0.43,57
2013-11-26,优,30,1,15,30,45,39,0.83,38
2013-11-27,优,29,1,8,32,30,11,0.46,57
2013-11-28,优,43,7,12,44,34,22,0.49,52
2013-11-29,优,44,4,19,36,48,46,1.07,39
2013-11-30,优,42,2,25,47,45,46,1.19,40
2013-12-01,良,51,3,34,57,60,58,1.77,27
2013-12-02,良,59,5,56,96,72,79,2.07,24
2013-12-03,良,92,26,64,110,70,82,2.08,23
2013-12-04,良,62,3,30,54,56,61,1.45,34
2013-12-05,优,42,1,17,36,46,35,0.72,28
2013-12-06,良,55,5,50,88,91,69,1.77,16
2013-12-07,轻度污染,125,31,127,218,146,88,4.15,9
2013-12-08,轻度污染,121,21,57,94,57,44,1.11,22
2013-12-09,良,81,20,57,74,39,29,0.89,28
2013-12-10,轻度污染,108,55,82,111,76,53,1.84,14
2013-12-11,良,68,16,25,37,53,32,0.82,27
2013-12-12,优,47,5,23,50,48,26,0.94,28
2013-12-13,优,41,5,15,37,53,29,0.62,32
2013-12-14,良,60,7,41,82,97,49,1.84,22
2013-12-15,良,53,12,32,56,88,44,1.17,27
2013-12-16,良,90,43,85,157,150,73,3.46,12
2013-12-17,良,100,66,60,100,68,40,1.09,29
