日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,55,65,27,58,21,26,1.02,42
2015-01-02,良,65,143,45,74,24,48,1.81,42
2015-01-03,良,73,73,52,81,32,41,1.85,48
2015-01-04,轻度污染,102,101,76,109,24,58,2.50,49
2015-01-05,轻度污染,126,167,95,133,20,62,3.04,48
2015-01-06,轻度污染,118,299,88,106,16,21,2.53,54
2015-01-07,良,55,66,38,59,12,21,1.46,55
2015-01-08,良,73,117,52,82,16,40,1.89,47
2015-01-09,轻度污染,104,185,77,117,22,68,3.23,46
2015-01-10,良,100,149,74,113,19,65,3.00,45
2015-01-11,良,98,162,73,101,20,52,2.50,54
2015-01-12,轻度污染,102,217,75,98,29,30,2.85,50
2015-01-13,优,50,80,34,45,13,27,1.51,43
2015-01-14,优,40,44,28,35,11,28,1.72,55
2015-01-15,良,55,49,38,50,11,18,1.45,64
2015-01-16,良,83,127,60,81,14,31,1.97,58
2015-01-17,轻度污染,149,297,113,148,25,19,2.86,64
2015-01-18,轻度污染,122,235,92,130,25,38,2.98,62
2015-01-19,轻度污染,106,235,79,119,15,49,2.97,50
2015-01-20,良,71,83,50,85,15,58,1.88,60
2015-01-21,良,92,150,68,97,18,46,2.22,76
2015-01-22,良,95,162,70,105,18,35,2.72,68
2015-01-23,良,81,67,59,87,17,64,2.36,56
2015-01-24,良,93,110,68,101,13,61,2.79,57
2015-01-25,中度污染,160,233,120,147,12,42,3.86,57
2015-01-26,中度污染,183,257,138,163,15,50,5.11,51
2015-01-27,良,82,183,59,75,12,29,2.52,62
2015-01-28,优,36,61,23,29,13,22,1.03,68
2015-01-29,优,32,25,16,22,8,14,0.88,60
2015-01-30,良,60,135,40,50,10,13,1.26,77
2015-01-31,良,87,246,64,79,17,22,2.10,70
2015-02-01,良,58,100,39,51,15,49,1.67,80
2015-02-02,良,64,72,45,65,16,30,1.86,66
2015-02-03,良,82,130,60,82,14,16,2.06,50
2015-02-04,轻度污染,105,193,78,102,15,12,2.10,55
2015-02-05,良,86,198,61,104,13,19,1.83,47
2015-02-06,良,57,38,34,63,14,35,1.68,33
2015-02-07,良,74,100,53,90,14,47,2.13,43
2015-02-08,良,73,163,49,89,14,15,1.80,43
2015-02-09,优,41,10,25,40,22,19,1.09,39
2015-02-10,良,52,37,33,54,19,25,1.43,35
2015-02-11,良,77,95,56,78,16,17,1.94,54
2015-02-12,轻度污染,105,184,78,114,14,29,2.46,47
2015-02-13,轻度污染,106,211,79,114,13,26,2.73,45
2015-02-14,轻度污染,132,225,100,139,22,28,3.19,39
2015-02-15,良,56,45,39,51,9,13,1.60,44
2015-02-16,轻度污染,127,240,94,125,10,22,3.37,48
2015-02-17,轻度污染,150,298,113,163,18,17,3.56,50
2015-02-18,轻度污染,108,252,80,121,15,12,2.39,56
2015-02-19,良,76,101,55,74,17,12,1.21,61
2015-02-20,优,42,57,27,39,8,11,1.29,52
2015-02-21,优,33,16,19,30,9,10,1.37,54
2015-02-22,良,65,131,45,61,9,10,2.00,53
2015-02-23,良,83,206,60,75,11,11,3.13,49
2015-02-24,良,70,170,50,70,11,17,2.72,44
2015-02-25,优,33,29,21,31,9,15,1.84,48
2015-02-26,良,63,189,45,63,12,17,2.42,55
2015-02-27,优,48,162,28,41,9,10,0.97,65
2015-02-28,优,28,43,11,21,9,8,0.79,53
2015-03-01,优,46,92,31,42,10,19,1.28,56
2015-03-02,优,47,52,32,44,10,19,1.58,51
2015-03-03,良,57,103,31,69,9,9,1.31,54
2015-03-04,良,57,173,33,62,17,15,1.39,52
2015-03-05,优,49,125,29,50,13,13,1.33,56
2015-03-06,良,60,135,41,57,11,15,1.72,48
2015-03-07,良,67,149,46,66,11,17,1.71,57
2015-03-08,良,60,128,42,59,13,22,1.69,52
2015-03-09,良,76,218,50,71,11,31,1.54,93
2015-03-10,良,69,212,46,71,19,47,0.97,55
2015-03-11,良,58,117,38,64,16,26,1.43,54
2015-03-12,良,80,193,58,87,12,13,1.80,61
2015-03-13,良,71,158,51,76,11,18,1.75,53
2015-03-14,轻度污染,119,252,89,114,23,29,3.27,57
2015-03-15,轻度污染,120,252,89,115,10,14,2.83,51
2015-03-16,良,88,181,64,84,11,16,2.25,50
2015-03-17,良,72,163,51,77,10,28,3.22,42
2015-03-18,优,25,7,15,23,10,15,1.31,29
2015-03-19,优,38,33,23,36,10,9,1.76,38
2015-03-20,良,76,180,55,72,10,9,1.94,46
2015-03-21,良,79,189,57,78,10,25,1.98,51
2015-03-22,良,78,150,54,90,15,31,1.86,48
2015-03-23,良,82,255,56,102,17,14,1.58,55
2015-03-24,良,62,165,36,71,17,16,1.18,53
2015-03-25,良,54,103,28,57,17,16,1.19,53
2015-03-26,良,60,143,35,68,19,17,1.25,53
2015-03-27,良,81,206,59,85,11,13,1.63,45
2015-03-28,良,75,148,54,77,10,28,1.60,43
2015-03-29,良,82,163,60,78,11,34,2.02,36
2015-03-30,良,51,60,35,45,7,14,1.72,32
2015-03-31,良,54,97,37,49,7,15,1.55,41
2015-04-01,良,62,176,44,64,8,18,1.83,36
2015-04-02,优,48,91,33,46,6,9,0.97,33
2015-04-03,良,62,155,44,55,16,15,2.22,34
2015-04-04,良,61,143,43,51,8,15,3.39,31
2015-04-05,优,41,52,28,34,11,6,1.32,23
2015-04-06,良,51,154,35,42,12,5,1.61,20
2015-04-07,优,45,140,31,38,14,9,0.61,28
2015-04-08,优,42,75,28,33,13,10,0.86,48
2015-04-09,良,65,192,46,70,22,20,1.57,43
