日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,59,77,30,63,13,24,1.16,40
2015-01-02,轻度污染,103,418,76,116,38,40,2.22,28
2015-01-03,轻度污染,117,188,88,128,47,50,2.31,25
2015-01-04,轻度污染,133,163,100,147,31,52,2.37,33
2015-01-05,中度污染,184,265,142,208,49,50,2.64,28
2015-01-06,良,59,120,27,63,11,25,1.11,52
2015-01-07,良,93,251,68,107,41,34,1.89,32
2015-01-08,轻度污染,106,217,79,111,67,40,2.19,22
2015-01-09,轻度污染,126,219,95,127,48,58,2.57,19
2015-01-10,轻度污染,124,208,93,123,39,50,2.45,27
2015-01-11,良,77,107,56,69,26,32,1.22,41
2015-01-12,轻度污染,115,250,85,121,69,50,1.66,27
2015-01-13,中度污染,164,310,124,169,100,69,2.56,20
2015-01-14,中度污染,185,315,142,198,118,79,3.23,18
2015-01-15,中度污染,199,304,153,209,76,70,3.50,21
2015-01-16,中度污染,171,288,133,174,50,48,2.62,32
2015-01-17,良,84,138,61,85,50,44,1.93,34
2015-01-18,中度污染,154,333,117,162,97,71,2.69,17
2015-01-19,良,100,211,74,90,33,37,1.95,38
2015-01-20,轻度污染,136,298,102,139,56,65,2.69,25
2015-01-21,中度污染,157,310,119,160,28,59,2.97,28
2015-01-22,轻度污染,122,240,91,126,53,57,2.29,27
2015-01-23,轻度污染,118,168,88,121,36,48,1.64,38
2015-01-24,良,81,79,58,81,14,38,1.37,46
2015-01-25,中度污染,157,220,119,172,23,67,2.24,22
2015-01-26,轻度污染,134,188,101,147,17,46,1.69,36
2015-01-27,良,66,131,40,79,16,27,0.97,44
2015-01-28,良,88,307,64,98,28,46,1.44,29
2015-01-29,轻度污染,125,331,93,146,40,63,2.18,21
2015-01-30,良,84,234,61,86,21,37,2.11,40
2015-01-31,良,84,240,61,92,32,44,2.44,35
2015-02-01,轻度污染,104,252,78,112,23,52,2.00,27
2015-02-02,轻度污染,118,246,87,135,32,59,2.17,21
2015-02-03,轻度污染,112,199,80,139,36,58,2.61,24
2015-02-04,轻度污染,126,229,94,134,38,49,2.69,47
2015-02-05,轻度污染,148,329,112,143,57,43,2.28,45
2015-02-06,轻度污染,103,225,76,109,79,46,2.43,34
2015-02-07,良,96,176,42,120,73,22,1.47,45
2015-02-08,良,97,269,32,142,47,18,1.56,40
2015-02-09,良,72,141,50,86,23,32,1.91,35
2015-02-10,良,100,180,74,117,26,50,2.27,29
