日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,81,196,46,111,28,40,0.91,54
2015-01-02,良,87,317,61,115,33,45,1.06,55
2015-01-03,轻度污染,103,156,76,127,37,57,1.35,52
2015-01-04,轻度污染,133,164,100,146,37,45,1.49,66
2015-01-05,中度污染,197,283,154,211,40,59,2.17,46
2015-01-06,轻度污染,125,310,88,126,34,35,1.36,60
2015-01-07,良,85,216,59,106,27,41,1.04,44
2015-01-08,轻度污染,123,259,93,145,34,53,1.52,41
2015-01-09,轻度污染,119,208,89,137,38,66,1.54,39
2015-01-10,轻度污染,118,191,89,135,43,66,1.75,38
2015-01-11,轻度污染,106,183,79,107,46,56,1.45,45
2015-01-12,优,39,33,25,36,41,29,0.74,47
2015-01-13,优,36,42,25,32,33,30,0.77,44
2015-01-14,良,62,114,43,48,21,34,0.82,47
2015-01-15,良,86,138,63,79,28,43,1.05,35
2015-01-16,轻度污染,128,222,97,119,30,43,1.24,30
2015-01-17,良,91,162,67,93,34,41,1.32,33
2015-01-18,良,86,126,59,98,27,40,1.16,40
2015-01-19,良,78,107,48,104,35,46,1.09,34
2015-01-20,良,90,145,64,107,42,63,1.49,29
2015-01-21,轻度污染,134,247,101,141,39,61,1.76,31
2015-01-22,轻度污染,106,194,79,98,37,46,1.54,28
2015-01-23,轻度污染,104,126,77,95,35,47,1.55,30
2015-01-24,中度污染,167,248,125,145,41,69,2.01,30
2015-01-25,中度污染,165,237,125,130,25,47,1.85,30
2015-01-26,轻度污染,149,215,113,118,37,44,1.61,37
2015-01-27,良,80,171,57,67,27,30,1.15,44
2015-01-28,良,51,153,34,44,23,30,1.20,51
2015-01-29,良,60,167,42,48,22,32,1.33,52
2015-01-30,轻度污染,107,287,79,94,25,36,1.26,37
2015-01-31,良,74,204,53,69,24,30,1.17,34
2015-02-01,良,52,67,35,49,21,21,0.97,34
2015-02-02,良,92,178,68,83,21,25,1.16,36
2015-02-03,轻度污染,110,193,82,106,20,28,1.20,33
2015-02-04,中度污染,180,303,137,162,29,30,1.67,38
2015-02-05,良,81,178,58,84,29,29,1.22,37
2015-02-06,良,85,145,61,97,25,32,1.22,42
2015-02-07,轻度污染,106,216,78,113,31,39,1.42,37
2015-02-08,良,54,72,32,59,24,23,0.95,49
2015-02-09,良,59,88,40,61,27,25,1.10,48
2015-02-10,良,73,99,52,79,29,31,1.46,53
2015-02-11,轻度污染,104,180,77,122,35,32,1.46,52
2015-02-12,中度污染,187,323,143,191,42,46,2.08,53
2015-02-13,中度污染,189,340,143,181,35,47,2.06,55
2015-02-14,轻度污染,125,208,94,131,28,35,1.73,62
2015-02-15,良,83,134,60,67,19,31,1.45,45
2015-02-16,中度污染,165,304,125,149,23,33,2.19,47
2015-02-17,中度污染,168,321,129,179,26,34,1.95,59
2015-02-18,良,76,131,53,76,23,26,1.29,59
2015-02-19,良,60,43,42,51,25,22,1.08,62
2015-02-20,优,45,76,31,35,18,25,1.16,42
2015-02-21,良,76,211,55,60,17,25,1.33,36
2015-02-22,中度污染,166,315,125,135,24,31,1.94,34
2015-02-23,轻度污染,140,336,105,131,26,30,1.70,47
2015-02-24,良,90,248,66,82,20,28,1.46,54
2015-02-25,良,80,238,58,72,24,34,1.61,37
2015-02-26,良,82,252,60,82,23,27,1.43,56
2015-02-27,优,49,166,33,45,19,26,1.16,60
2015-02-28,优,30,57,18,23,17,25,1.02,52
2015-03-01,良,63,185,45,57,21,27,1.21,44
2015-03-02,良,77,198,56,71,23,33,1.35,43
2015-03-03,良,85,226,56,104,23,28,1.23,48
2015-03-04,良,51,124,22,55,21,26,0.97,49
2015-03-05,优,43,86,24,42,21,26,0.95,50
2015-03-06,良,55,119,38,50,19,28,0.98,48
2015-03-07,良,77,191,56,68,23,29,1.26,48
2015-03-08,良,87,236,64,76,26,31,1.32,44
2015-03-09,轻度污染,113,309,85,104,24,32,1.44,42
2015-03-10,优,46,63,26,45,23,26,0.99,55
2015-03-11,良,61,137,42,67,21,29,1.17,49
2015-03-12,良,84,204,61,96,22,25,1.27,74
2015-03-13,良,96,231,71,103,24,31,1.56,54
2015-03-14,轻度污染,108,229,80,100,23,30,1.39,59
2015-03-15,轻度污染,121,253,91,105,24,27,1.50,45
2015-03-16,轻度污染,114,257,85,99,20,27,1.61,41
2015-03-17,良,84,221,62,69,18,28,1.55,35
2015-03-18,优,35,34,21,28,15,22,1.02,55
2015-03-19,良,84,221,62,75,18,41,1.30,52
2015-03-20,良,78,189,56,69,18,44,1.38,67
2015-03-21,良,91,234,65,93,20,42,1.51,50
2015-03-22,良,96,222,67,123,26,45,1.70,59
2015-03-23,良,68,171,34,83,16,40,1.06,51
2015-03-24,优,45,48,24,45,23,42,1.09,51
2015-03-25,良,59,135,35,64,26,41,1.23,65
2015-03-26,良,57,129,39,56,21,45,1.14,60
2015-03-27,良,75,183,54,73,19,58,1.24,69
2015-03-28,良,91,203,67,89,20,59,1.56,76
2015-03-29,轻度污染,111,240,83,122,21,82,1.83,89
2015-03-30,良,94,239,69,101,24,52,1.61,69
2015-03-31,良,53,90,37,51,22,47,1.74,56
2015-04-01,良,83,275,61,76,18,34,1.36,53
2015-04-02,良,52,118,37,44,14,26,1.33,41
2015-04-03,良,78,254,56,64,14,25,1.44,44
2015-04-04,良,61,142,43,48,12,24,1.26,47
2015-04-05,良,87,251,64,73,13,35,1.31,40
2015-04-06,轻度污染,108,320,77,101,14,33,1.42,49
2015-04-07,优,45,139,26,45,14,30,0.94,42
2015-04-08,良,64,228,45,61,16,36,1.02,50
2015-04-09,良,86,296,63,84,22,38,1.17,68
2015-04-10,良,81,247,59,83,17,49,1.28,62
2015-04-11,良,81,235,59,84,22,38,1.20,78
2015-04-12,良,72,200,49,84,17,33,1.17,68
2015-04-13,良,53,61,30,56,14,28,1.03,54
2015-04-14,良,65,107,43,66,15,27,1.14,68
2015-04-15,良,69,78,41,85,16,38,1.21,66
2015-04-16,轻度污染,109,249,58,161,16,33,1.10,57
2015-04-17,轻度污染,108,242,59,165,22,35,1.26,75
2015-04-18,轻度污染,112,299,82,153,28,49,1.50,66
2015-04-19,优,50,92,35,44,11,32,1.14,52
2015-04-20,良,65,213,45,66,18,33,1.10,69
2015-04-21,良,87,291,62,109,17,49,1.25,68
2015-04-22,良,83,265,57,109,19,57,1.10,85
2015-04-23,良,83,224,51,111,23,63,1.07,84
2015-04-24,良,89,246,61,112,26,65,1.13,93
2015-04-25,轻度污染,135,323,100,151,23,58,1.26,89
2015-04-26,轻度污染,112,307,75,118,23,49,1.08,104
2015-04-27,良,72,128,45,90,20,41,0.97,96
2015-04-28,良,90,263,66,103,17,49,1.02,70
2015-04-29,良,60,98,41,60,13,31,0.71,70
2015-04-30,良,64,84,39,74,17,26,0.76,66
2015-05-01,轻度污染,105,311,77,118,24,25,1.03,113
2015-05-02,良,74,282,53,74,15,21,0.95,66
2015-05-03,良,89,285,66,99,17,29,1.05,61
2015-05-04,良,91,296,59,115,20,33,1.00,57
2015-05-05,良,77,194,50,100,22,26,0.95,81
2015-05-06,良,86,219,62,109,18,27,1.03,82
2015-05-07,轻度污染,111,308,83,122,16,23,1.10,83
2015-05-08,轻度污染,144,359,108,158,20,25,1.29,71
2015-05-09,良,68,235,47,75,16,19,0.75,68
2015-05-10,良,84,283,61,94,21,21,0.90,94
2015-05-11,良,71,312,50,85,18,19,0.88,64
2015-05-12,良,76,279,42,100,21,20,0.72,68
2015-05-13,良,80,230,53,108,17,20,0.89,77
2015-05-14,良,80,222,58,97,20,19,0.96,63
2015-05-15,良,74,249,51,88,18,16,0.93,57
2015-05-16,良,76,219,54,88,22,20,0.88,73
2015-05-17,良,86,234,63,100,25,22,1.06,82
2015-05-18,轻度污染,108,317,81,110,20,24,1.17,49
2015-05-19,良,100,276,74,120,18,26,1.20,58
2015-05-20,良,74,228,48,91,16,19,0.88,76
2015-05-21,良,62,177,38,65,17,25,0.78,76
2015-05-22,良,92,294,68,98,22,35,0.92,61
2015-05-23,良,100,286,73,94,20,31,0.64,66
2015-05-24,轻度污染,103,273,76,108,26,30,0.64,84
2015-05-25,轻度污染,101,247,74,104,24,24,0.60,93
2015-05-26,轻度污染,106,265,79,106,31,36,0.73,65
2015-05-27,轻度污染,106,263,79,96,28,23,0.77,50
2015-05-28,良,83,251,60,88,26,20,0.56,34
2015-05-29,良,75,273,54,63,28,24,0.62,31
2015-05-30,轻度污染,114,338,85,116,33,23,0.87,58
2015-05-31,良,87,255,62,97,38,21,0.63,66
2015-06-01,良,89,236,64,102,33,26,0.73,76
