日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,148,136,92,140,42,47,2.18,44
2014-01-01,轻度污染,136,110,111,155,50,33,2.62,47
2014-01-02,重度污染,203,171,195,258,78,51,2.43,32
2014-01-03,严重污染,266,178,216,286,69,49,2.21,33
2014-01-04,重度污染,206,172,158,221,77,46,2.86,39
2014-01-05,重度污染,204,144,155,212,64,45,1.61,53
2014-01-06,重度污染,232,153,181,237,62,41,1.36,29
2014-01-07,重度污染,249,165,200,251,21,31,2.02,24
2014-01-08,中度污染,176,174,133,168,46,24,1.69,29
2014-01-09,中度污染,182,180,138,171,60,29,1.51,29
2014-01-10,重度污染,205,167,160,203,40,29,1.87,24
2014-01-11,轻度污染,127,109,96,121,24,21,1.52,27
2014-01-12,轻度污染,129,122,98,128,38,24,2.16,26
2014-01-13,中度污染,183,173,140,194,62,38,2.80,23
2014-01-14,重度污染,209,159,162,206,51,24,2.10,36
2014-01-15,严重污染,282,159,231,300,62,24,2.15,34
2014-01-16,严重污染,287,165,237,303,49,29,2.23,27
2014-01-17,严重污染,281,167,231,296,61,34,2.05,30
2014-01-18,严重污染,281,164,230,302,66,43,2.42,33
2014-01-19,严重污染,267,153,216,283,56,37,2.81,45
2014-01-20,重度污染,218,176,175,240,58,33,1.79,52
2014-01-21,中度污染,171,185,129,193,34,34,1.45,36
2014-01-22,中度污染,164,175,124,180,35,32,1.25,44
2014-01-24,中度污染,180,138,136,190,53,51,2.22,49
2014-01-25,重度污染,247,181,196,255,64,41,2.07,51
2014-01-26,严重污染,285,183,234,300,70,42,2.08,30
2014-01-27,严重污染,306,181,256,324,53,39,2.65,41
2014-01-28,严重污染,361,188,311,394,43,36,2.66,49
2014-01-29,重度污染,233,168,184,245,25,20,2.13,49
2014-01-30,轻度污染,147,84,112,143,26,12,2.21,48
2014-01-31,严重污染,252,124,214,293,59,17,2.37,37
2014-02-01,中度污染,186,140,144,179,20,12,2.28,42
2014-02-02,严重污染,259,163,209,267,22,19,2.92,44
2014-02-03,重度污染,229,185,180,239,15,15,2.57,32
2014-02-04,良,95,157,69,88,9,10,1.62,25
2014-02-05,优,50,95,34,45,3,7,1.23,29
2014-02-06,良,60,122,42,57,8,12,1.54,22
2014-02-07,良,56,97,40,43,23,11,2.21,34
2014-02-08,良,79,113,57,70,12,9,3.10,39
2014-02-09,轻度污染,131,187,100,120,38,10,1.95,57
2014-02-10,轻度污染,110,173,83,100,35,11,1.27,57
2014-02-11,轻度污染,117,149,88,111,36,13,1.47,44
2014-02-12,轻度污染,108,117,81,104,37,13,1.23,55
2014-02-13,轻度污染,142,148,108,133,34,13,1.41,62
2014-02-14,中度污染,159,142,120,146,26,18,1.76,40
2014-02-15,轻度污染,143,113,109,142,25,23,1.96,27
2014-02-16,轻度污染,120,127,90,119,19,16,2.07,24
2014-02-17,中度污染,162,165,123,158,31,22,2.27,22
2014-02-18,良,68,96,49,62,22,20,2.04,25
2014-02-19,良,74,69,54,72,49,28,2.08,32
2014-02-20,良,93,87,69,87,50,33,2.01,27
2014-02-21,轻度污染,116,72,88,128,45,49,1.71,24
2014-02-22,轻度污染,149,107,114,157,56,39,1.68,19
2014-02-23,中度污染,195,140,148,201,56,44,2.15,13
2014-02-24,轻度污染,128,72,97,135,27,29,1.64,13
2014-02-25,轻度污染,113,86,85,118,22,23,1.19,22
2014-02-26,中度污染,155,133,117,168,38,25,1.36,22
2014-02-27,良,97,110,72,103,15,20,1.28,21
2014-02-28,优,48,39,32,47,6,16,1.20,15
2014-03-01,良,73,112,53,73,22,25,1.09,17
2014-03-02,轻度污染,102,117,77,104,28,18,1.04,22
2014-03-03,轻度污染,110,126,83,117,32,23,1.11,17
