日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,190,83,151,180,50,80,1.77,62
2013-10-29,严重污染,299,105,250,278,66,95,2.41,55
2013-10-30,严重污染,329,113,284,126,27,49,2.03,28
2013-10-31,重度污染,221,110,175,157,21,41,1.62,26
2013-11-01,轻度污染,108,63,81,84,16,31,1.32,9
2013-11-02,优,28,1,19,23,13,27,1.17,9
2013-11-03,良,66,19,47,59,18,32,1.14,25
2013-11-04,良,83,50,61,75,26,38,1.26,40
2013-11-05,中度污染,156,105,119,141,39,47,1.44,52
2013-11-06,重度污染,202,105,133,161,39,60,1.54,44
2013-11-07,中度污染,176,100,137,177,38,82,1.37,36
2013-11-08,中度污染,166,96,113,155,40,67,1.61,54
2013-11-09,中度污染,195,101,206,231,41,60,1.74,51
2013-11-10,重度污染,213,111,90,67,23,34,1.36,23
2013-11-11,良,59,53,21,17,14,31,1.22,17
2013-11-12,优,25,6,14,12,11,26,0.94,31
2013-11-13,优,34,18,41,49,19,31,1.04,17
2013-11-14,良,71,41,51,60,21,35,1.10,32
2013-11-15,良,81,32,75,110,27,63,1.79,16
2013-11-16,轻度污染,121,50,100,154,42,72,2.00,17
2013-11-17,轻度污染,133,94,93,144,29,68,1.68,24
2013-11-18,轻度污染,117,98,85,134,37,66,1.29,21
2013-11-19,轻度污染,109,73,95,163,46,77,1.53,20
2013-11-20,轻度污染,127,65,95,165,50,75,1.50,27
2013-11-21,轻度污染,133,58,96,144,41,72,1.45,28
2013-11-22,重度污染,208,83,268,131,35,65,1.82,21
2013-11-23,严重污染,369,108,327,145,37,67,2.11,20
2013-11-24,重度污染,246,98,57,20,20,40,1.12,25
2013-11-25,良,52,7,41,73,33,55,1.29,25
2013-11-26,良,69,35,54,106,31,65,1.14,23
2013-11-27,良,87,59,64,107,38,58,0.98,17
2013-11-28,良,71,65,41,73,30,50,0.76,28
2013-11-29,良,58,31,47,80,31,60,1.11,24
2013-11-30,良,79,46,75,114,52,75,1.43,17
2013-12-01,轻度污染,137,85,117,149,48,79,1.59,31
2013-12-02,轻度污染,149,67,107,144,62,83,1.79,29
2013-12-03,轻度污染,134,45,118,130,68,75,1.55,40
2013-12-04,中度污染,192,68,136,147,55,77,1.43,41
2013-12-05,中度污染,164,58,140,165,50,75,1.52,32
2013-12-06,重度污染,217,88,169,187,71,69,1.77,32
2013-12-07,重度污染,228,75,202,212,84,101,2.44,27
2013-12-08,严重污染,260,73,180,202,57,81,1.89,30
2013-12-09,重度污染,214,70,97,106,40,43,1.11,46
2013-12-10,良,90,34,83,108,48,59,1.34,27
2013-12-11,轻度污染,126,76,97,115,56,57,1.33,25
2013-12-12,轻度污染,128,71,107,142,70,73,1.68,9
2013-12-13,中度污染,162,83,126,158,62,76,1.82,19
2013-12-14,重度污染,209,103,207,226,68,78,1.92,15
2013-12-15,严重污染,266,101,198,68,43,66,1.82,14
2013-12-16,中度污染,193,91,108,29,26,47,1.32,33
2013-12-17,良,92,61,27,0,13,33,1.07,24
2013-12-18,优,41,26,58,0,24,39,1.01,35
2013-12-19,轻度污染,149,86,149,106,38,61,1.61,38
2013-12-20,重度污染,218,89,178,189,51,72,1.88,31
2013-12-21,重度污染,248,97,212,186,48,61,1.87,38
2013-12-22,重度污染,246,99,167,162,47,73,1.72,30
2013-12-23,中度污染,180,65,127,143,61,84,1.63,18
2013-12-24,中度污染,188,57,150,163,58,80,1.66,19
2013-12-25,中度污染,200,55,146,164,58,86,1.70,28
2013-12-26,中度污染,191,55,139,151,53,74,1.48,29
2013-12-27,中度污染,158,90,87,114,36,55,1.21,29
2013-12-28,良,84,29,60,80,41,68,1.03,26
2013-12-29,良,97,48,79,99,41,77,1.17,26
2013-12-30,轻度污染,123,67,108,134,47,93,1.80,19
2013-12-31,中度污染,166,159,137,168,54,104,2.40,17
2014-01-01,中度污染,187,171,146,173,71,108,2.30,23
2014-01-02,中度污染,199,169,147,177,71,112,2.08,25
2014-01-03,严重污染,257,170,209,186,70,82,1.73,20
2014-01-04,中度污染,153,128,116,146,56,81,1.40,32
2014-01-05,中度污染,159,104,120,142,50,87,1.64,30
2014-01-06,中度污染,173,100,132,137,48,82,1.48,28
2014-01-07,重度污染,236,161,187,38,25,63,1.92,6
2014-01-08,中度污染,177,175,134,0,30,44,1.38,30
2014-01-09,中度污染,190,182,143,67,39,62,1.72,24
2014-01-10,中度污染,179,154,137,42,32,67,1.86,10
2014-01-11,良,70,30,50,31,19,42,1.13,25
2014-01-12,轻度污染,132,125,100,48,40,45,1.22,36
2014-01-13,重度污染,205,182,161,108,51,75,1.79,18
2014-01-14,重度污染,206,158,159,191,43,79,2.07,21
