日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,170,77,129,218,25,56,1.64,10
2013-10-29,良,75,36,48,82,13,33,0.77,21
2013-10-30,良,71,30,36,90,25,40,1.01,12
2013-10-31,良,88,56,56,123,29,47,1.08,11
2013-11-01,轻度污染,104,61,71,147,37,53,1.52,17
2013-11-02,轻度污染,148,82,112,203,43,62,1.97,19
2013-11-03,良,78,33,51,90,18,32,0.93,26
2013-11-04,良,63,18,33,76,34,40,0.92,13
2013-11-05,良,96,53,58,133,30,48,1.18,4
2013-11-06,轻度污染,121,58,65,135,21,33,1.14,26
2013-11-07,良,61,5,23,52,25,30,0.25,27
2013-11-08,良,72,24,56,138,48,51,1.24,9
2013-11-09,轻度污染,114,62,73,153,36,45,1.38,20
2013-11-10,良,61,35,12,41,11,12,0.32,54
2013-11-11,良,52,27,26,70,26,31,0.76,23
2013-11-12,良,65,48,34,82,34,38,0.97,15
2013-11-13,良,74,54,41,149,44,50,1.69,5
2013-11-14,轻度污染,110,65,14,154,27,42,1.58,20
2013-11-15,良,83,34,49,156,48,48,1.48,9
2013-11-16,轻度污染,109,38,39,106,26,28,0.86,30
2013-11-17,优,50,5,17,43,17,18,0.46,30
2013-11-18,优,34,6,17,28,13,9,0.33,47
2013-11-19,优,33,3,21,46,21,19,0.49,31
2013-11-20,良,58,16,32,74,32,32,0.78,15
2013-11-21,良,70,20,45,101,37,45,1.09,10
2013-11-22,良,80,21,52,125,54,48,1.59,7
2013-11-23,良,94,27,69,156,53,52,1.74,7
2013-11-24,轻度污染,102,38,54,161,38,41,1.22,8
2013-11-25,良,82,54,19,47,15,16,0.41,29
2013-11-26,良,54,11,30,65,20,24,0.63,24
2013-11-27,优,43,6,12,40,5,4,0.20,43
2013-11-28,优,36,5,11,30,13,10,0.30,36
2013-11-29,优,47,5,29,75,50,40,1.05,18
2013-11-30,良,72,37,48,102,38,41,1.14,13
2013-12-01,良,75,31,44,98,48,43,1.11,14
2013-12-02,良,82,24,64,138,71,50,1.86,7
2013-12-03,轻度污染,102,29,73,156,64,52,1.77,7
2013-12-04,良,97,22,60,146,67,52,1.89,5
2013-12-05,良,96,33,50,124,50,41,1.36,10
2013-12-06,良,79,23,41,134,56,46,1.59,8
2013-12-07,轻度污染,102,23,61,177,66,55,2.08,5
2013-12-08,轻度污染,130,27,81,194,58,49,2.14,6
2013-12-09,良,76,15,17,35,17,16,0.40,33
2013-12-10,良,51,4,27,66,29,23,0.57,27
2013-12-11,良,51,4,24,43,25,21,0.58,31
2013-12-12,良,51,7,22,47,20,17,0.48,34
2013-12-13,优,39,3,29,39,22,21,0.50,37
2013-12-14,优,43,3,35,66,49,26,0.66,26
2013-12-15,良,66,20,43,88,42,38,0.98,18
2013-12-16,良,78,36,56,128,64,49,1.67,7
2013-12-17,良,91,58,51,101,41,32,1.09,28
2013-12-18,良,55,39,24,44,19,15,0.52,44
2013-12-19,优,46,20,26,49,30,27,0.59,41
2013-12-20,良,52,11,29,52,31,33,0.68,38
2013-12-21,良,56,10,46,80,40,45,0.92,25
2013-12-22,良,81,11,68,141,76,57,1.92,10
2013-12-23,良,99,19,68,142,73,57,1.78,11
2013-12-24,良,97,19,87,167,86,64,2.56,7
2013-12-25,轻度污染,150,37,109,199,66,60,2.52,21
2013-12-26,良,85,17,12,33,16,13,0.37,62
2013-12-27,优,43,5,25,46,33,30,0.69,38
2013-12-28,优,50,5,30,52,36,35,0.85,36
2013-12-29,良,63,13,49,106,70,53,1.50,16
2013-12-30,良,83,18,51,112,61,51,1.53,20
2013-12-31,良,81,15,40,104,46,36,1.08,32
2014-01-01,良,68,9,37,86,51,41,1.22,27
2014-01-02,良,94,37,72,143,85,59,2.16,11
2014-01-03,良,86,40,59,116,53,45,1.57,23
2014-01-04,良,92,48,62,123,67,51,1.60,9
2014-01-05,轻度污染,116,45,84,149,47,54,1.84,12
2014-01-06,轻度污染,114,48,85,145,60,55,1.84,10
2014-01-07,轻度污染,122,97,88,144,42,46,1.71,22
2014-01-08,优,47,23,26,48,27,26,0.65,41
2014-01-09,良,63,48,40,74,46,40,1.09,24
2014-01-10,良,82,47,52,110,73,51,1.73,13
2014-01-11,良,95,65,64,132,82,54,2.02,14
2014-01-12,优,48,14,24,48,28,28,0.73,50
2014-01-13,良,80,64,55,98,59,52,1.42,13
2014-01-14,良,75,48,50,92,53,50,1.36,16
2014-01-15,良,84,41,56,108,73,56,1.68,14
2014-01-16,轻度污染,123,70,90,172,95,68,2.03,13
2014-01-17,良,85,28,56,107,51,48,1.25,21
2014-01-18,良,58,5,28,68,48,46,1.03,28
2014-01-19,轻度污染,105,31,50,158,71,52,1.60,28
2014-01-20,良,51,9,17,55,12,11,0.35,64
2014-01-21,优,44,9,25,45,32,31,0.74,40
2014-01-22,良,82,42,47,112,75,57,1.68,14
2014-01-24,中度污染,180,139,134,240,102,71,2.75,12
2014-01-25,良,59,21,32,67,32,35,0.86,42
2014-01-26,良,75,75,48,93,69,50,1.32,19
2014-01-27,轻度污染,112,116,79,142,60,46,1.54,29
2014-01-28,良,61,46,34,71,48,36,0.92,38
2014-01-29,轻度污染,125,127,93,165,70,54,1.93,19
2014-01-30,良,89,39,61,96,40,32,1.14,42
2014-01-31,重度污染,202,87,162,237,97,39,1.37,30
2014-02-01,中度污染,180,136,136,216,96,52,1.93,12
2014-02-02,轻度污染,114,76,67,135,32,24,1.00,53
2014-02-03,优,44,20,16,40,12,7,0.27,79
2014-02-04,优,49,60,26,48,34,18,0.52,58
2014-02-05,良,80,155,55,89,67,39,1.33,28
2014-02-06,轻度污染,111,164,83,134,69,44,1.66,31
2014-02-07,轻度污染,127,165,96,152,70,44,1.83,26
2014-02-08,良,71,98,49,72,38,20,0.80,52
2014-02-09,优,39,50,20,28,22,16,0.42,63
2014-02-10,优,48,73,27,48,33,29,0.86,41
2014-02-11,良,77,86,54,91,56,50,1.59,22
2014-02-12,良,79,67,51,91,43,44,1.24,25
2014-02-13,轻度污染,128,134,94,148,70,55,1.75,25
2014-02-14,严重污染,257,178,202,285,85,70,2.59,25
2014-02-15,严重污染,298,180,247,346,92,73,3.01,23
2014-02-16,中度污染,199,160,159,238,45,59,2.25,28
2014-02-17,良,66,77,41,78,38,42,0.93,37
2014-02-18,良,91,144,63,121,63,52,1.42,24
2014-02-19,轻度污染,104,122,75,119,39,51,1.39,27
2014-02-20,良,84,73,58,112,60,49,1.25,22
2014-02-21,严重污染,253,178,203,303,76,71,2.58,40
2014-02-22,重度污染,245,172,195,288,58,66,2.34,17
2014-02-23,严重污染,252,176,201,259,74,59,2.14,19
2014-02-24,严重污染,306,177,255,348,85,73,3.22,16
2014-02-25,严重污染,319,179,268,368,71,75,3.39,16
2014-02-26,严重污染,308,183,261,360,54,69,3.05,24
2014-02-27,优,39,8,17,31,13,16,0.38,63
2014-02-28,良,68,106,42,80,56,45,1.10,21
2014-03-01,良,68,98,41,87,47,38,0.87,42
2014-03-02,良,75,69,43,98,61,42,1.09,35
2014-03-03,轻度污染,110,128,77,138,74,51,1.36,22
2014-03-04,良,94,136,64,106,34,30,0.85,48
2014-03-05,优,43,15,20,42,31,23,0.56,52
2014-03-06,优,44,18,24,42,33,26,0.52,51
2014-03-07,良,59,73,33,70,54,34,0.78,37
2014-03-08,良,74,99,42,99,68,33,0.91,55
2014-03-09,良,63,57,35,70,46,36,0.80,40
2014-03-10,轻度污染,112,115,82,149,72,49,1.39,44
2014-03-11,轻度污染,143,149,105,180,77,50,1.61,42
2014-03-12,优,41,8,19,33,22,19,0.41,63
2014-03-13,良,55,25,30,58,49,34,0.73,40
2014-03-14,良,59,9,28,69,42,31,0.67,47
2014-03-15,良,89,58,51,125,67,50,1.08,36
2014-03-16,轻度污染,101,85,58,150,68,44,1.06,56
2014-03-17,中度污染,176,148,75,251,54,37,0.94,60
2014-03-18,良,95,58,41,138,39,32,0.68,74
2014-03-19,轻度污染,108,121,71,151,43,39,0.88,52
2014-03-20,优,46,12,18,44,30,18,0.45,71
2014-03-21,良,61,38,26,74,51,37,0.75,43
2014-03-22,良,70,49,30,88,44,37,0.76,52
2014-03-23,良,90,88,56,125,64,46,1.04,68
2014-03-25,轻度污染,145,138,106,205,69,63,1.32,88
2014-03-26,重度污染,202,162,155,272,75,66,1.64,92
2014-03-27,中度污染,176,148,127,249,60,54,1.41,59
2014-03-28,轻度污染,135,159,92,172,45,41,1.16,52
2014-03-29,良,54,32,27,57,29,30,0.47,51
2014-03-30,良,62,36,23,74,33,41,0.60,42
2014-03-31,良,79,77,37,106,46,42,0.89,67
2014-04-01,良,91,106,56,122,38,38,1.09,78
2014-04-02,良,82,89,43,109,32,33,0.65,74
2014-04-03,良,55,34,14,60,19,18,0.29,72
2014-04-04,良,65,31,15,78,24,29,0.39,58
2014-04-05,优,47,7,13,45,20,18,0.29,71
2014-04-06,良,62,49,18,73,35,38,0.51,51
2014-04-07,良,87,103,28,119,40,39,0.65,72
2014-04-08,轻度污染,116,111,63,177,58,48,1.04,105
2014-04-09,中度污染,190,182,72,290,42,37,0.81,92
2014-04-10,中度污染,153,167,29,233,25,34,0.41,59
2014-04-11,良,86,100,25,120,27,34,0.74,66
2014-04-12,良,89,122,40,127,36,54,1.03,64
2014-04-13,轻度污染,114,147,64,175,44,61,1.38,97
2014-04-14,中度污染,171,175,126,242,66,54,1.65,157
2014-04-15,良,89,101,47,112,20,31,0.63,74
2014-04-16,良,94,148,43,136,38,52,0.79,61
2014-04-17,良,80,87,42,103,34,48,0.92,79
2014-04-18,良,91,126,61,107,31,27,0.68,91
2014-04-19,良,61,91,29,67,25,30,0.69,77
2014-04-20,良,68,87,39,81,22,42,0.77,42
2014-04-21,良,62,76,24,67,16,37,0.46,57
