日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,118,308,71,185,47,41,4.46,42
2015-01-02,轻度污染,115,480,81,174,89,51,5.79,35
2015-01-03,轻度污染,120,190,87,175,60,48,6.75,27
2015-01-04,轻度污染,120,137,86,172,57,50,5.25,69
2015-01-05,良,84,90,59,105,43,36,5.78,42
2015-01-06,中度污染,162,375,122,184,31,31,9.15,20
2015-01-07,轻度污染,110,295,76,114,16,31,8.83,8
2015-01-08,轻度污染,105,214,78,129,37,29,5.80,34
2015-01-09,轻度污染,119,207,85,163,46,34,4.21,41
2015-01-10,轻度污染,103,156,76,110,34,32,2.91,36
2015-01-11,良,82,122,60,91,28,30,3.01,23
2015-01-12,良,76,159,55,72,18,28,2.80,26
2015-01-13,良,55,97,37,52,11,23,1.57,21
2015-01-14,良,80,158,58,83,17,27,1.43,26
2015-01-15,良,74,114,51,90,26,33,1.57,25
2015-01-16,良,97,164,72,122,32,32,1.93,36
2015-01-17,中度污染,164,319,124,201,35,56,2.15,29
2015-01-18,轻度污染,141,303,106,180,38,49,2.35,49
2015-01-19,轻度污染,127,282,95,177,29,54,3.49,43
2015-01-20,轻度污染,126,279,94,171,34,45,2.49,24
2015-01-21,轻度污染,118,213,88,147,38,42,2.52,44
2015-01-22,轻度污染,121,237,90,170,41,48,2.85,35
2015-01-23,良,95,96,66,135,34,46,2.38,62
2015-01-24,良,75,60,44,97,20,40,2.26,71
2015-01-25,轻度污染,119,160,86,142,26,41,2.38,39
2015-01-26,中度污染,194,276,146,244,19,45,3.26,12
2015-01-27,轻度污染,125,303,92,156,17,38,3.44,13
2015-01-28,优,38,71,19,31,15,27,3.28,6
2015-01-29,优,28,19,15,22,9,24,2.13,9
2015-01-30,优,47,80,31,46,12,24,1.34,13
2015-01-31,良,52,81,35,45,12,27,1.18,13
2015-02-01,良,56,91,37,60,12,29,1.13,12
2015-02-02,良,83,140,48,112,12,28,1.24,11
2015-02-03,良,53,42,29,57,10,31,1.38,9
2015-02-04,轻度污染,109,199,81,119,18,44,1.77,22
2015-02-05,轻度污染,147,327,111,168,28,48,2.13,28
2015-02-06,轻度污染,117,268,87,153,24,47,1.70,44
2015-02-07,轻度污染,133,277,101,164,33,64,1.60,33
2015-02-08,轻度污染,142,334,107,160,34,57,1.76,56
2015-02-09,轻度污染,131,320,99,157,27,52,2.00,46
2015-02-10,中度污染,163,328,123,191,34,60,2.03,36
2015-02-11,中度污染,167,296,126,185,28,46,1.91,53
2015-02-12,轻度污染,126,227,94,147,19,37,1.15,48
2015-02-13,良,90,168,66,109,19,38,1.05,53
2015-02-14,轻度污染,103,152,77,105,13,35,1.15,64
2015-02-15,良,52,35,35,48,9,22,1.24,57
2015-02-16,良,85,131,62,89,12,21,1.67,41
2015-02-17,轻度污染,115,244,86,119,11,24,1.75,36
2015-02-18,轻度污染,115,271,87,100,10,22,1.64,27
2015-02-19,轻度污染,123,221,91,120,27,8,1.33,39
2015-02-20,优,43,68,24,39,3,2,1.09,68
2015-02-21,优,31,12,20,26,3,9,1.31,24
2015-02-22,良,62,121,44,60,7,14,1.44,30
2015-02-23,良,73,174,53,66,7,15,1.48,32
2015-02-24,良,57,112,37,57,15,20,1.91,18
2015-02-25,良,59,157,40,65,7,17,1.92,16
2015-02-26,优,48,105,31,45,10,17,1.74,16
2015-02-27,优,43,121,27,40,5,15,1.72,10
2015-02-28,优,18,6,9,15,3,15,1.29,23
2015-03-01,良,66,201,47,60,7,16,0.89,31
2015-03-02,良,70,159,50,68,13,25,1.13,21
2015-03-03,优,43,44,29,37,6,20,1.24,32
2015-03-04,良,69,257,47,76,9,20,1.34,26
2015-03-05,优,34,41,22,29,7,16,1.30,28
2015-03-06,优,36,49,24,29,8,21,1.19,23
2015-03-07,良,55,101,38,51,22,22,1.27,16
2015-03-08,良,51,94,33,49,14,21,1.54,10
2015-03-09,优,46,68,31,42,9,24,1.75,14
2015-03-10,良,73,235,53,70,10,27,1.37,22
2015-03-11,优,32,24,20,27,10,23,1.03,21
