日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,100,50,11,141,68,17,0.48,27
2014-01-01,良,84,27,25,78,71,23,0.77,21
2014-01-02,良,78,22,71,145,124,33,1.07,12
2014-01-03,良,64,17,35,78,108,28,0.91,14
2014-01-04,轻度污染,119,85,88,170,188,37,1.34,4
2014-01-05,轻度污染,108,38,78,139,127,30,0.96,8
2014-01-06,中度污染,173,101,133,230,136,36,1.15,7
2014-01-07,良,90,57,60,106,80,29,0.56,11
2014-01-08,良,53,39,25,57,62,21,0.44,20
2014-01-09,良,78,108,48,97,79,24,0.58,18
2014-01-10,良,94,72,64,120,109,28,0.66,15
2014-01-11,轻度污染,108,84,75,135,106,30,0.68,14
2014-01-12,良,75,54,41,89,127,29,0.62,16
2014-01-13,轻度污染,135,147,100,175,153,36,0.93,6
2014-01-14,轻度污染,116,92,83,146,151,33,0.88,11
2014-01-15,轻度污染,144,97,109,187,151,34,0.86,28
2014-01-16,良,95,34,66,120,88,28,0.54,14
2014-01-17,中度污染,153,79,116,188,140,36,0.84,12
2014-01-18,良,73,8,47,92,134,30,0.68,16
2014-01-19,中度污染,160,90,77,261,98,27,0.72,16
2014-01-20,良,72,32,12,93,26,11,0.28,26
2014-01-21,良,64,26,41,78,78,22,0.68,20
2014-01-22,轻度污染,133,147,99,189,149,44,1.05,11
2014-01-24,中度污染,186,145,131,248,142,40,0.87,10
2014-01-25,良,60,23,32,76,69,21,0.57,17
2014-01-26,轻度污染,101,114,69,137,101,25,0.86,18
2014-01-27,轻度污染,110,112,62,155,62,23,0.73,22
2014-01-28,良,70,62,39,89,85,21,0.68,23
2014-01-29,轻度污染,114,116,54,178,58,22,0.56,28
2014-01-30,良,60,13,23,74,67,14,0.39,26
2014-01-31,严重污染,302,157,273,481,205,33,1.19,13
2014-02-01,轻度污染,140,105,105,207,117,27,0.97,17
2014-02-02,轻度污染,106,69,39,147,28,10,0.46,31
2014-02-03,优,49,29,10,55,28,7,0.23,31
2014-02-04,良,73,134,41,76,75,17,0.50,23
2014-02-05,轻度污染,107,176,77,129,133,29,0.74,11
2014-02-06,良,61,123,33,70,108,24,0.41,16
2014-02-07,良,81,136,55,107,88,27,0.65,11
2014-02-08,优,48,51,21,49,28,12,0.32,25
2014-02-09,优,41,55,21,43,52,16,0.37,27
2014-02-10,良,88,152,60,95,104,29,0.94,33
