日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,189,176,153,194,18,40,1.73,25
2014-01-01,中度污染,200,176,169,228,15,45,1.82,15
2014-01-02,重度污染,236,184,192,257,34,69,2.05,22
2014-01-03,重度污染,227,158,182,246,41,77,2.79,28
2014-01-04,中度污染,164,140,124,175,35,72,3.04,46
2014-01-05,中度污染,200,140,153,200,31,59,2.94,47
2014-01-06,轻度污染,135,68,101,125,22,54,2.57,25
2014-01-07,良,98,74,73,95,22,74,1.98,29
2014-01-08,良,78,98,54,85,26,67,1.33,52
2014-01-09,轻度污染,117,150,87,124,27,74,1.32,41
2014-01-10,轻度污染,103,85,77,92,14,28,0.98,37
2014-01-11,轻度污染,106,82,80,104,17,42,1.21,27
2014-01-12,良,100,93,67,113,15,47,1.10,37
2014-01-13,轻度污染,117,125,88,132,26,72,1.23,25
2014-01-14,中度污染,165,134,124,167,22,110,1.47,29
2014-01-15,重度污染,232,139,181,237,43,100,1.91,11
2014-01-16,严重污染,260,159,210,287,43,112,2.19,28
2014-01-17,重度污染,247,153,196,249,23,109,2.22,19
2014-01-18,中度污染,171,93,130,168,12,44,1.81,14
2014-01-19,轻度污染,137,72,96,137,26,53,1.35,44
2014-01-20,良,89,54,63,110,46,79,1.48,38
2014-01-21,轻度污染,132,162,100,137,30,61,1.51,63
2014-01-22,中度污染,176,176,133,181,36,68,1.79,66
2014-01-24,重度污染,223,159,174,219,37,77,1.85,56
2014-01-25,重度污染,204,159,159,200,26,63,1.77,62
2014-01-26,重度污染,220,170,173,216,31,56,1.71,56
2014-01-27,严重污染,277,174,227,265,37,39,1.84,46
2014-01-28,严重污染,328,185,281,330,29,59,2.41,28
2014-01-29,严重污染,259,172,209,241,13,32,1.88,41
2014-01-30,重度污染,231,137,181,217,11,23,1.67,60
2014-01-31,重度污染,202,86,154,202,9,19,1.70,53
2014-02-01,中度污染,199,143,155,187,16,25,1.97,46
2014-02-02,中度污染,190,110,143,168,15,24,1.86,55
2014-02-03,中度污染,177,175,133,155,12,32,1.86,51
2014-02-04,中度污染,191,184,145,167,11,25,1.84,44
2014-02-05,良,64,127,42,58,8,15,1.79,46
2014-02-06,优,32,41,19,28,6,14,1.46,35
2014-02-07,良,56,98,39,50,17,23,1.48,27
2014-02-08,良,80,116,57,80,10,22,1.47,28
2014-02-09,良,66,115,46,69,15,15,1.24,59
2014-02-10,良,96,157,71,77,19,17,1.54,65
