日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,234,94,184,255,90,81,1.75,74
2013-10-29,轻度污染,119,58,87,127,23,36,1.06,61
2013-10-30,良,69,28,42,82,41,55,0.80,42
2013-10-31,良,86,54,61,111,58,72,0.94,34
2013-11-01,轻度污染,141,80,100,149,81,82,1.10,21
2013-11-02,重度污染,229,100,177,219,201,84,1.53,24
2013-11-03,轻度污染,147,89,102,166,147,78,1.41,32
2013-11-04,良,84,53,56,116,65,88,1.26,31
2013-11-05,轻度污染,136,95,97,198,122,87,1.62,33
2013-11-06,中度污染,177,95,125,219,143,84,1.50,44
2013-11-07,轻度污染,101,56,29,95,58,54,0.37,32
2013-11-08,良,92,43,56,136,107,63,1.13,27
2013-11-09,良,94,48,64,116,62,46,0.96,30
2013-11-10,良,65,45,16,57,27,34,0.55,45
2013-11-11,良,69,71,41,100,49,57,0.89,28
2013-11-12,良,81,72,63,116,64,60,1.08,24
2013-11-13,轻度污染,129,90,126,206,143,94,1.71,25
2013-11-14,中度污染,190,98,122,231,137,88,1.59,23
2013-11-15,中度污染,164,89,134,315,189,91,2.19,22
2013-11-16,中度污染,187,92,93,285,112,63,1.40,29
2013-11-17,良,98,57,17,58,50,38,0.59,29
2013-11-18,良,59,23,16,59,39,35,0.55,34
2013-11-19,良,60,20,28,63,50,54,0.78,21
2013-11-20,良,71,23,80,138,114,81,1.41,18
2013-11-21,轻度污染,137,62,102,151,80,79,1.37,21
2013-11-22,中度污染,173,77,232,367,358,145,2.62,17
2013-11-23,严重污染,356,104,263,416,187,121,2.58,18
2013-11-24,严重污染,254,99,133,189,57,66,1.60,18
2013-11-25,良,98,72,45,96,46,55,1.11,22
2013-11-26,良,91,69,69,146,122,74,1.72,21
2013-11-27,良,76,40,12,79,32,20,0.60,51
2013-11-28,良,62,44,36,78,54,43,0.95,28
2013-11-29,良,84,80,83,143,168,69,1.65,17
2013-11-30,轻度污染,133,102,102,173,158,64,1.85,17
2013-12-01,良,97,46,80,129,128,61,1.42,20
2013-12-02,中度污染,167,73,155,239,216,74,2.46,13
2013-12-03,严重污染,274,92,295,415,189,115,3.94,10
2013-12-04,严重污染,342,103,212,304,229,99,2.57,17
2013-12-05,重度污染,209,72,107,215,110,60,1.32,18
2013-12-06,良,92,31,95,160,124,80,0.98,17
2013-12-07,中度污染,200,64,223,333,232,115,0.86,12
2013-12-08,严重污染,332,92,267,364,117,82,0.56,6
2013-12-09,重度污染,234,82,57,126,57,40,0.81,30
2013-12-10,良,92,36,82,167,128,65,1.21,39
2013-12-11,良,92,37,31,90,86,44,0.66,27
2013-12-12,良,98,46,66,160,110,56,1.15,29
2013-12-13,良,79,28,53,104,111,64,0.85,23
2013-12-14,轻度污染,127,52,115,197,156,80,1.68,15
2013-12-15,轻度污染,145,67,75,143,96,71,1.70,16
2013-12-16,轻度污染,103,56,100,156,98,60,1.14,14
2013-12-17,轻度污染,139,79,78,116,91,47,0.98,25
2013-12-18,良,69,57,38,56,61,31,0.95,39
2013-12-19,良,90,45,77,117,82,53,1.49,26
2013-12-20,良,96,39,69,115,96,67,1.47,24
2013-12-21,良,95,36,83,125,112,92,1.84,14
2013-12-22,轻度污染,144,68,134,188,151,116,1.69,19
2013-12-23,重度污染,248,92,256,344,295,119,2.41,6
2013-12-24,严重污染,281,84,174,183,49,47,1.57,21
