日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,重度污染,210,355,164,254,26,50,1.21,12
2015-01-06,轻度污染,113,289,84,103,23,33,1.30,6
2015-01-07,良,93,250,68,90,15,28,0.67,23
2015-01-08,轻度污染,117,242,88,118,20,36,0.87,5
2015-01-09,轻度污染,147,255,112,144,21,36,0.86,7
2015-01-10,轻度污染,133,228,100,143,16,34,0.73,9
2015-01-11,轻度污染,148,262,112,157,29,43,1.16,20
2015-01-12,中度污染,186,337,142,200,43,42,1.35,12
2015-01-13,轻度污染,144,291,109,151,31,42,0.84,24
2015-01-14,轻度污染,135,265,101,158,52,41,0.45,20
2015-01-15,中度污染,184,294,139,215,88,60,1.16,9
2015-01-16,重度污染,214,328,163,229,62,51,1.30,6
2015-01-17,中度污染,177,336,134,184,41,41,1.15,11
2015-01-18,中度污染,175,349,132,199,45,41,0.99,29
2015-01-19,中度污染,165,344,125,197,38,49,0.95,8
2015-01-20,中度污染,194,349,149,214,49,49,1.18,30
2015-01-21,轻度污染,127,233,95,152,42,42,1.05,32
2015-01-22,轻度污染,142,285,106,150,47,49,1.54,22
2015-01-23,中度污染,187,325,142,197,48,53,1.63,8
2015-01-24,重度污染,237,333,186,225,32,49,1.91,3
2015-01-25,重度污染,232,324,181,204,36,40,2.24,3
2015-01-26,重度污染,216,291,167,190,26,38,2.41,3
2015-01-27,良,83,189,60,63,8,23,1.41,45
2015-01-28,优,36,60,25,28,3,21,1.43,33
2015-01-29,优,42,67,29,34,4,18,1.09,31
2015-01-30,良,79,223,57,68,14,24,1.19,17
2015-01-31,轻度污染,112,310,84,97,27,18,1.11,75
2015-02-01,轻度污染,104,253,78,92,17,24,1.03,40
2015-02-02,良,85,148,62,80,15,25,1.14,26
2015-02-03,轻度污染,126,228,95,121,30,33,1.62,5
2015-02-04,轻度污染,111,202,83,101,14,24,1.29,37
2015-02-05,轻度污染,111,262,83,100,23,23,1.39,33
2015-02-06,轻度污染,130,300,98,117,22,23,1.31,46
2015-02-07,轻度污染,137,287,104,127,16,31,1.47,29
2015-02-08,轻度污染,141,330,107,128,18,30,1.37,21
2015-02-09,中度污染,160,345,121,151,18,31,1.36,21
2015-02-10,轻度污染,145,304,110,140,24,40,1.33,24
2015-02-11,中度污染,159,288,120,148,13,34,1.49,34
2015-02-12,轻度污染,124,220,93,126,12,32,1.30,35
2015-02-13,轻度污染,121,242,90,127,17,38,1.41,34
2015-02-14,中度污染,199,320,151,203,32,48,2.10,5
2015-02-15,中度污染,163,285,123,149,6,28,1.70,21
2015-02-16,轻度污染,110,201,83,104,2,19,1.33,30
2015-02-17,良,97,197,72,94,1,14,1.20,30
2015-02-18,中度污染,153,333,116,137,3,21,1.53,9
2015-02-19,轻度污染,147,256,112,131,4,12,1.29,55
2015-02-20,良,73,228,53,62,1,10,1.32,28
2015-02-21,优,50,116,35,41,2,11,1.26,19
2015-02-22,良,58,112,40,49,1,10,0.96,40
2015-02-23,良,53,97,37,47,1,12,0.92,37
2015-02-24,良,65,148,46,57,4,16,1.10,14
2015-02-25,良,64,183,45,56,2,17,1.20,9
2015-02-26,良,67,202,46,74,2,17,0.95,19
2015-02-27,优,42,117,29,34,2,11,0.94,42
2015-02-28,优,32,71,19,19,1,12,1.10,45
2015-03-01,良,55,136,38,46,9,19,1.07,16
2015-03-02,良,64,127,45,60,9,22,1.07,13
2015-03-03,良,73,175,49,79,19,17,0.95,36
2015-03-04,轻度污染,133,348,59,215,4,12,0.80,70
2015-03-05,良,71,241,49,71,2,13,0.85,61
2015-03-06,良,91,254,67,75,3,17,0.85,30
2015-03-07,良,83,213,61,78,9,23,1.03,26
2015-03-08,良,99,273,74,92,18,26,1.17,31
2015-03-09,轻度污染,114,311,85,121,25,34,1.30,24
2015-03-10,中度污染,167,352,126,161,13,27,1.22,43
2015-03-11,中度污染,168,357,127,156,10,25,1.20,41
2015-03-12,轻度污染,123,305,93,114,7,28,1.18,58
2015-03-13,轻度污染,106,263,79,107,15,28,1.19,41
2015-03-14,轻度污染,125,268,94,119,27,27,1.21,55
2015-03-15,轻度污染,111,225,83,99,13,24,1.22,25
2015-03-16,轻度污染,101,222,75,97,11,26,1.34,13
2015-03-17,良,94,252,69,87,8,32,1.54,2
2015-03-18,良,52,105,37,45,7,23,1.45,11
2015-03-19,优,43,43,28,39,8,22,1.35,11
2015-03-20,优,43,42,29,40,11,20,1.13,30
2015-03-21,优,48,32,31,44,7,20,1.00,42
2015-03-22,良,67,107,47,73,15,24,1.18,12
2015-03-23,良,66,154,42,73,7,19,0.79,67
2015-03-24,良,71,210,47,91,12,17,0.79,78
2015-03-25,良,71,199,49,82,10,19,0.85,61
2015-03-26,良,89,267,66,98,21,21,1.03,66
2015-03-27,良,83,214,61,79,8,15,0.99,68
2015-03-28,良,79,168,57,68,5,15,0.96,46
2015-03-29,良,61,75,43,54,5,18,1.07,32
2015-03-30,良,52,64,35,50,13,13,0.92,29
2015-03-31,良,72,179,52,77,27,26,1.18,18
2015-04-01,轻度污染,108,324,81,117,39,27,1.27,8
2015-04-02,良,61,188,40,66,9,14,0.72,54
2015-04-03,良,61,153,40,69,22,21,0.98,13
2015-04-04,良,58,128,36,62,13,16,1.00,22
2015-04-05,优,36,21,22,33,1,9,1.12,46
2015-04-06,优,39,67,23,29,3,8,0.93,64
2015-04-07,优,44,134,28,30,1,9,0.77,80
2015-04-08,优,50,128,34,43,6,11,0.89,54
