日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,77,175,43,102,27,43,0.98,31
2015-01-02,良,85,300,60,109,50,54,1.34,20
2015-01-03,轻度污染,112,177,84,137,70,69,1.91,22
2015-01-04,轻度污染,147,194,112,169,115,65,2.23,56
2015-01-05,中度污染,163,233,119,206,70,71,2.20,26
2015-01-06,重度污染,236,405,187,237,31,53,2.68,20
2015-01-07,中度污染,152,345,115,167,29,58,2.75,18
2015-01-08,中度污染,179,329,135,203,49,67,3.12,24
2015-01-09,重度污染,211,322,162,246,58,84,3.24,27
2015-01-10,重度污染,213,320,164,240,45,74,2.72,33
2015-01-11,中度污染,195,324,148,222,51,84,2.64,31
2015-01-12,重度污染,204,349,155,221,53,90,2.50,14
2015-01-13,轻度污染,124,259,93,144,30,51,1.86,21
2015-01-14,轻度污染,112,225,84,129,17,48,1.92,23
2015-01-15,轻度污染,122,222,89,150,45,50,1.96,21
2015-01-16,轻度污染,141,245,107,154,40,54,2.39,33
2015-01-17,轻度污染,145,287,109,159,50,47,2.05,54
2015-01-18,轻度污染,148,317,112,177,38,58,2.59,42
2015-01-19,中度污染,164,343,124,194,40,58,3.01,43
2015-01-20,轻度污染,120,265,90,142,54,63,2.96,39
2015-01-21,轻度污染,134,246,94,181,41,56,2.75,30
2015-01-22,轻度污染,130,255,98,154,74,50,2.29,46
2015-01-23,轻度污染,111,144,83,128,85,62,2.22,33
2015-01-24,轻度污染,122,174,81,163,52,56,1.97,47
2015-01-25,严重污染,254,347,206,263,19,59,2.70,13
2015-01-26,严重污染,279,345,228,292,23,51,3.09,9
2015-01-27,轻度污染,134,313,101,154,14,28,2.30,28
2015-01-28,优,39,82,25,37,5,22,1.24,24
2015-01-29,良,68,213,48,63,11,27,1.48,22
2015-01-30,良,85,237,62,84,11,26,1.40,28
2015-01-31,轻度污染,107,302,80,107,16,26,1.36,45
2015-02-01,轻度污染,125,298,94,123,13,35,1.69,24
2015-02-02,轻度污染,115,238,86,113,20,41,1.81,14
2015-02-03,轻度污染,130,240,99,126,28,31,2.09,31
2015-02-04,重度污染,205,336,158,206,40,50,2.18,49
2015-02-05,重度污染,234,362,175,257,49,53,1.84,49
2015-02-06,轻度污染,126,289,94,143,49,61,1.21,46
2015-02-07,中度污染,163,334,123,178,52,77,1.77,25
2015-02-08,中度污染,168,349,126,182,38,43,1.31,42
2015-02-09,良,66,111,41,76,39,43,1.05,43
2015-02-10,良,90,152,66,104,55,53,1.44,41
2015-02-11,轻度污染,147,277,112,170,35,51,1.72,53
2015-02-12,中度污染,185,320,140,201,46,57,1.66,55
2015-02-13,中度污染,168,302,127,191,49,52,1.62,68
2015-02-14,中度污染,169,282,126,216,53,50,1.80,58
2015-02-15,轻度污染,123,239,92,135,23,42,1.76,30
2015-02-16,中度污染,164,302,123,193,17,38,1.94,48
2015-02-17,重度污染,204,356,158,229,53,40,1.96,70
2015-02-18,中度污染,177,359,133,193,38,30,1.69,71
2015-02-19,中度污染,154,269,117,172,47,27,1.37,61
2015-02-20,良,65,193,45,64,13,17,1.26,32
2015-02-21,良,74,205,53,67,7,18,1.37,37
2015-02-22,轻度污染,125,246,93,127,7,22,1.49,31
2015-02-23,良,98,267,73,104,9,19,1.40,46
2015-02-24,轻度污染,106,286,79,121,9,21,1.68,31
2015-02-25,良,79,231,57,84,7,24,1.70,25
2015-02-26,良,61,183,42,63,10,21,1.35,29
2015-02-27,优,46,153,30,48,12,17,1.05,43
2015-02-28,优,29,53,16,27,2,15,0.73,47
2015-03-01,良,75,241,54,75,21,33,1.35,41
2015-03-02,良,93,261,69,95,28,35,1.36,45
2015-03-03,轻度污染,112,304,65,144,14,27,1.17,48
2015-03-04,良,74,280,49,89,48,28,0.96,62
2015-03-05,良,62,197,40,68,11,19,0.75,52
2015-03-06,轻度污染,113,303,85,114,15,31,1.04,31
2015-03-07,良,99,270,73,109,29,37,1.15,39
2015-03-08,良,75,199,52,84,20,35,1.26,33
2015-03-09,轻度污染,119,321,90,123,21,36,1.40,49
2015-03-10,轻度污染,150,345,113,151,20,34,1.11,51
2015-03-11,良,80,230,56,94,47,51,1.20,37
2015-03-12,良,100,248,74,112,33,36,1.07,75
2015-03-13,轻度污染,101,248,74,121,41,42,1.31,44
2015-03-14,轻度污染,106,219,76,139,36,46,1.10,21
2015-03-15,轻度污染,138,291,104,141,18,40,1.47,12
2015-03-16,轻度污染,109,240,81,122,27,38,1.58,20
2015-03-17,良,87,232,48,119,33,23,1.67,20
2015-03-18,优,31,19,17,29,10,21,1.46,18
2015-03-19,优,48,61,32,48,8,24,1.17,17
2015-03-20,良,56,97,39,54,4,24,1.13,33
2015-03-21,轻度污染,105,268,78,106,17,36,1.37,45
2015-03-22,轻度污染,102,244,72,114,29,41,1.30,45
2015-03-23,良,82,256,58,107,18,32,0.94,70
2015-03-24,良,78,240,50,103,38,34,0.93,60
2015-03-25,良,72,209,46,92,41,45,1.20,53
2015-03-26,良,70,191,49,85,38,44,1.18,40
2015-03-27,良,81,204,59,83,10,31,1.30,42
2015-03-28,良,84,185,61,91,15,47,1.47,34
2015-03-29,轻度污染,112,241,84,133,15,42,1.71,36
2015-03-30,良,65,127,45,75,11,24,1.54,39
2015-03-31,良,82,217,60,92,17,21,2.03,47
2015-04-01,良,84,281,59,101,72,26,1.76,67
2015-04-02,优,50,107,30,50,10,21,1.46,30
2015-04-03,良,62,157,42,71,17,29,1.40,33
2015-04-04,良,54,102,37,52,7,21,1.64,25
2015-04-05,优,47,86,31,44,2,17,1.41,49
2015-04-06,良,59,205,40,53,3,15,1.46,66
2015-04-07,良,70,281,46,71,3,13,1.71,53
2015-04-08,优,48,118,29,47,20,19,1.15,59
