日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,97,260,71,116,23,24,1.52,82
2015-01-02,轻度污染,108,444,80,120,17,24,1.60,83
2015-01-03,良,97,145,70,112,21,29,1.61,65
2015-01-04,轻度污染,105,109,78,111,7,34,1.69,25
2015-01-05,优,47,23,32,42,9,20,1.47,33
2015-01-06,优,42,48,27,38,7,21,1.51,19
2015-01-07,良,67,123,48,70,10,11,1.74,42
2015-01-08,良,65,88,46,65,13,12,1.77,54
2015-01-09,良,90,134,67,93,17,15,1.51,50
2015-01-10,良,54,37,37,48,6,12,1.23,41
2015-01-11,优,27,6,16,16,4,9,1.17,43
2015-01-12,优,21,1,11,17,4,8,1.10,37
2015-01-13,优,49,77,32,49,7,11,1.16,54
2015-01-14,良,67,132,47,68,10,15,1.35,63
2015-01-15,良,86,137,62,89,13,22,1.49,65
2015-01-16,良,85,140,62,88,9,20,1.52,61
2015-01-17,轻度污染,112,219,83,120,13,19,1.60,63
2015-01-18,轻度污染,114,216,85,115,8,16,1.66,64
2015-01-19,轻度污染,128,286,96,124,10,16,1.62,69
2015-01-20,轻度污染,124,271,92,134,9,25,1.71,53
2015-01-21,轻度污染,150,289,113,154,13,20,1.60,71
2015-01-22,中度污染,151,302,113,165,17,23,1.91,59
2015-01-23,轻度污染,116,164,87,120,8,23,1.56,52
2015-01-24,良,57,24,32,63,5,15,1.20,56
2015-01-25,良,75,71,50,81,7,20,1.45,36
2015-01-26,良,73,69,51,77,8,17,1.29,28
2015-01-27,良,60,109,41,58,4,17,1.25,25
2015-01-28,良,58,199,39,55,5,14,1.26,46
2015-01-29,良,54,135,33,58,5,12,0.98,41
2015-01-30,优,40,43,23,38,3,10,1.07,12
2015-01-31,优,49,60,32,48,2,9,0.79,16
2015-02-01,优,45,38,30,38,2,10,0.80,15
2015-02-02,良,66,83,47,59,3,16,0.99,17
2015-02-03,良,99,166,73,84,5,18,1.35,17
2015-02-04,优,37,18,20,37,4,9,1.22,22
2015-02-05,良,85,196,62,76,11,9,1.19,44
2015-02-06,轻度污染,122,281,91,118,23,13,1.35,66
2015-02-07,轻度污染,143,298,108,91,10,18,1.50,42
2015-02-08,轻度污染,117,306,87,125,17,16,1.38,69
2015-02-09,轻度污染,116,304,87,137,15,23,1.27,62
2015-02-10,轻度污染,124,248,93,138,10,23,1.01,61
2015-02-11,轻度污染,145,270,108,124,9,15,1.12,42
2015-02-12,轻度污染,104,180,78,98,8,16,1.01,55
2015-02-13,轻度污染,147,276,111,117,5,26,1.27,34
