日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,53,58,32,54,40,43,0.62,53
2015-01-02,良,62,124,44,63,42,44,0.72,57
2015-01-03,良,77,85,54,78,42,48,1.01,53
2015-01-04,轻度污染,104,106,77,106,42,50,1.05,75
2015-01-05,轻度污染,147,207,111,133,49,50,1.53,40
2015-01-06,轻度污染,110,285,80,101,59,50,1.46,46
2015-01-07,良,87,224,64,88,36,38,1.14,53
2015-01-08,轻度污染,117,243,87,112,40,43,1.56,57
2015-01-09,良,95,148,70,92,44,38,1.37,58
2015-01-10,轻度污染,120,196,89,114,41,44,1.93,55
2015-01-11,良,99,164,74,90,37,35,0.96,71
2015-01-12,良,54,89,37,47,24,23,0.46,56
2015-01-13,优,40,51,27,35,23,26,0.28,40
2015-01-14,良,51,78,35,45,20,28,0.40,43
2015-01-15,良,98,169,72,90,21,29,0.57,51
2015-01-16,重度污染,241,344,190,231,43,34,1.15,51
2015-01-17,轻度污染,146,292,110,148,46,39,1.04,59
2015-01-18,轻度污染,136,283,96,150,32,28,0.75,65
2015-01-19,轻度污染,128,285,96,142,34,34,1.01,63
2015-01-20,轻度污染,126,278,94,147,37,39,0.96,55
2015-01-21,中度污染,169,335,127,177,50,37,1.37,49
2015-01-22,轻度污染,125,248,94,128,39,36,0.84,52
2015-01-23,中度污染,170,291,129,159,34,40,1.06,48
2015-01-24,重度污染,206,301,158,195,40,49,1.46,37
2015-01-25,中度污染,193,278,148,162,43,43,1.87,46
2015-01-26,轻度污染,147,211,111,145,36,35,1.43,56
2015-01-27,良,69,140,45,66,32,28,0.63,55
2015-01-28,优,35,56,16,25,47,27,0.37,67
2015-01-29,优,44,80,30,39,30,26,0.52,53
2015-01-30,良,81,224,58,83,59,44,1.11,57
2015-01-31,良,51,79,32,50,62,31,0.70,49
2015-02-01,优,47,50,25,40,72,32,0.55,40
2015-02-02,优,50,35,33,50,23,34,0.61,53
2015-02-03,良,67,79,48,70,29,25,0.71,59
2015-02-04,轻度污染,117,218,87,125,59,39,1.61,54
