日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,65,106,44,74,43,23,1.44,67
2015-01-02,良,56,86,38,60,65,38,1.44,45
2015-01-03,良,88,117,64,100,106,63,2.05,45
2015-01-04,良,92,75,67,104,93,62,2.03,71
2015-01-05,良,100,124,74,114,129,73,2.70,30
2015-01-06,良,91,249,67,90,75,40,2.18,30
2015-01-07,良,53,57,37,40,41,25,2.00,33
2015-01-08,良,64,83,45,53,52,23,1.96,58
2015-01-09,良,71,84,51,67,64,31,1.61,58
2015-01-10,良,77,88,56,68,50,29,1.64,59
2015-01-11,良,76,106,55,67,47,28,1.69,45
2015-01-12,良,78,162,57,64,36,21,1.65,48
2015-01-13,优,29,24,19,21,21,17,1.25,43
2015-01-14,优,44,64,30,35,27,20,1.46,42
2015-01-15,良,51,40,35,46,44,24,1.50,40
2015-01-16,良,63,67,44,68,42,29,1.65,38
2015-01-17,良,76,108,55,68,51,31,1.50,60
2015-01-18,良,87,129,64,81,65,26,1.38,81
2015-01-19,良,92,175,68,92,67,37,1.50,69
2015-01-20,轻度污染,108,222,81,113,87,54,1.80,48
2015-01-21,良,77,107,56,74,59,27,1.71,72
2015-01-22,良,77,90,56,84,69,42,1.79,55
2015-01-23,良,89,85,65,106,71,58,1.97,49
2015-01-24,良,91,105,67,104,70,61,2.25,31
2015-01-25,良,94,116,69,105,74,53,2.18,34
2015-01-26,良,79,85,57,69,36,25,1.83,35
2015-01-27,良,100,253,74,86,32,36,2.52,18
2015-01-28,优,27,16,18,21,23,33,2.29,8
2015-01-29,优,22,11,15,19,19,27,1.43,12
2015-01-30,优,25,3,17,20,19,21,1.32,20
2015-01-31,优,47,51,33,37,23,26,1.31,20
2015-02-01,良,63,115,45,49,25,28,1.55,23
2015-02-02,良,84,147,62,73,33,31,1.69,23
2015-02-03,良,51,34,36,40,23,25,1.73,26
2015-02-04,优,42,32,29,32,21,25,1.63,26
2015-02-05,良,82,181,60,70,39,22,1.73,65
2015-02-06,良,93,193,68,85,50,30,1.54,87
2015-02-07,良,95,162,70,100,66,53,1.72,41
2015-02-08,良,82,217,60,76,56,26,1.60,90
2015-02-09,良,92,221,68,88,45,24,1.56,85
2015-02-10,良,80,121,58,75,46,31,1.51,78
2015-02-11,良,88,128,65,87,40,42,1.52,60
2015-02-12,良,99,174,74,103,39,51,1.78,59
2015-02-13,良,97,192,71,102,36,54,1.67,52
2015-02-14,良,86,103,63,90,43,60,1.87,23
2015-02-15,良,71,89,51,59,21,30,1.63,44
2015-02-16,良,59,44,41,50,20,22,1.61,36
2015-02-17,良,64,86,45,56,17,18,1.60,44
2015-02-18,良,98,230,73,85,25,13,1.75,51
2015-02-19,轻度污染,101,171,75,86,24,15,1.77,43
2015-02-20,良,65,194,46,58,11,10,1.35,69
2015-02-21,优,34,19,22,27,10,10,1.39,51
2015-02-22,优,34,17,23,27,11,14,1.89,30
2015-02-23,优,38,47,26,30,13,10,1.77,44
2015-02-24,优,38,44,26,31,12,16,1.97,35
2015-02-25,优,45,92,31,39,16,19,1.99,30
2015-02-26,优,29,23,20,22,14,12,1.97,31
2015-02-27,优,32,47,22,28,14,16,1.78,26
2015-02-28,优,19,7,12,14,9,12,1.58,29
2015-03-01,优,21,8,13,15,10,11,1.55,37
2015-03-02,优,36,16,25,30,26,22,1.55,29
2015-03-03,优,34,15,23,29,20,20,1.54,29
2015-03-04,优,37,39,26,30,16,17,1.53,39
2015-03-05,优,31,34,21,22,14,17,1.37,32
2015-03-06,优,21,13,14,17,19,18,1.03,25
2015-03-07,优,43,46,30,41,31,20,1.21,26
2015-03-08,优,45,64,29,45,38,19,1.25,28
2015-03-09,优,40,30,27,38,25,11,1.17,44
2015-03-10,良,58,148,41,54,28,17,1.18,47
2015-03-11,优,28,14,19,23,21,16,1.21,36
2015-03-12,优,42,47,29,40,31,20,1.21,52
2015-03-13,优,50,75,32,52,52,27,1.41,39
2015-03-14,良,56,56,38,61,48,30,1.83,29
2015-03-15,良,69,97,49,75,60,35,1.96,19
2015-03-16,优,40,19,26,39,26,22,1.63,29
2015-03-17,优,44,32,28,43,25,20,1.44,41
2015-03-18,优,47,78,29,46,19,14,1.43,51
2015-03-19,良,62,124,43,66,38,26,1.99,51
2015-03-20,良,58,112,40,59,24,11,1.74,49
2015-03-21,优,39,12,25,37,17,10,1.85,44
2015-03-22,优,46,18,32,43,20,8,1.83,56
2015-03-23,优,41,21,28,38,20,13,1.85,51
2015-03-24,优,40,27,27,39,20,8,1.51,63
2015-03-25,良,56,114,35,61,35,17,1.48,60
2015-03-26,优,49,73,30,50,37,25,1.50,36
2015-03-27,优,39,25,26,38,27,15,1.53,39
2015-03-28,良,69,119,48,82,41,35,1.94,44
2015-03-29,良,84,167,61,99,42,29,2.10,52
2015-03-30,良,66,129,44,73,29,24,1.84,60
2015-03-31,良,61,129,39,69,35,21,1.84,41
2015-04-01,优,47,69,27,46,19,12,1.49,58
2015-04-02,优,47,85,28,46,15,12,1.51,54
2015-04-03,优,48,84,29,48,14,11,1.45,60
2015-04-04,优,50,76,32,53,20,17,1.62,54
2015-04-05,良,60,152,41,64,21,17,1.72,66
2015-04-06,良,56,183,39,58,23,13,2.34,55
2015-04-07,优,29,19,19,27,19,14,1.91,45
2015-04-08,优,36,44,25,33,20,13,1.66,42
2015-04-09,优,25,4,17,22,19,13,1.53,38
2015-04-10,优,43,59,29,38,29,13,1.38,48
2015-04-11,良,58,108,40,56,47,17,1.46,42
2015-04-12,良,72,205,51,81,60,24,1.67,62
2015-04-13,良,63,168,36,73,44,29,1.20,66
