日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,86,217,63,108,44,52,2.25,10
2015-01-02,良,87,319,57,121,53,62,2.43,13
2015-01-03,轻度污染,106,165,77,131,68,54,2.47,14
2015-01-04,轻度污染,133,162,100,140,47,49,1.52,25
2015-01-05,良,64,51,12,74,28,15,0.66,81
2015-01-06,优,37,25,7,19,23,21,0.39,64
2015-01-07,优,37,19,15,37,22,35,0.78,30
2015-01-08,优,48,23,20,50,18,30,0.96,45
2015-01-09,良,60,51,29,67,26,35,0.74,27
2015-01-10,良,69,70,48,74,25,34,0.58,28
2015-01-11,良,67,93,47,73,27,32,0.79,38
2015-01-12,良,70,141,49,80,29,35,1.08,26
2015-01-13,良,93,195,68,111,41,41,1.23,15
2015-01-14,良,95,184,69,108,47,37,1.01,29
2015-01-15,良,61,78,36,69,43,32,0.87,39
2015-01-16,良,64,73,31,76,45,38,1.03,32
2015-01-17,良,63,61,37,73,49,34,1.07,26
2015-01-18,良,56,43,22,63,54,30,1.17,47
2015-01-19,良,70,84,35,87,56,38,1.41,29
2015-01-20,良,67,66,38,81,40,30,1.50,36
2015-01-21,良,62,59,21,72,45,35,1.64,36
2015-01-22,良,78,91,50,103,53,43,1.85,39
2015-01-23,良,95,95,68,133,63,56,2.33,14
2015-01-24,良,77,66,48,98,50,45,2.24,34
2015-01-25,良,68,49,45,81,47,40,2.42,29
2015-01-26,良,87,101,63,107,57,40,2.16,39
2015-01-27,良,59,108,38,58,37,20,1.13,67
2015-01-28,优,29,24,8,19,31,17,1.41,54
2015-01-29,良,52,122,12,53,30,12,1.05,72
2015-01-30,优,42,55,17,41,26,20,0.87,58
2015-01-31,优,33,11,16,28,24,27,0.72,44
2015-02-01,良,58,99,40,55,26,33,1.08,25
2015-02-02,良,77,121,56,78,31,33,1.41,21
2015-02-03,优,45,25,26,44,19,29,1.46,43
2015-02-04,良,58,87,36,64,29,31,1.62,60
2015-02-05,良,53,65,34,52,16,26,1.49,71
2015-02-06,良,64,66,43,71,21,31,1.49,47
2015-02-07,良,60,58,25,66,17,22,1.59,61
2015-02-08,良,62,109,23,73,17,24,1.67,54
2015-02-09,良,75,150,54,75,19,35,1.79,25
2015-02-10,良,72,91,51,73,27,33,1.86,37
2015-02-11,良,67,68,45,77,25,23,1.32,55
2015-02-12,良,98,173,73,110,37,30,1.05,63
2015-02-13,良,96,191,71,110,33,32,1.34,48
2015-02-14,良,95,126,70,104,24,25,1.06,49
2015-02-15,良,82,132,32,106,11,16,0.73,65
2015-02-16,良,67,65,18,82,13,15,0.58,72
2015-02-17,良,60,74,32,68,19,13,0.62,64
2015-02-18,良,66,92,45,75,18,16,0.74,42
2015-02-19,良,75,97,52,71,16,9,0.79,75
2015-02-20,优,42,58,19,34,9,6,0.92,78
2015-02-21,优,50,113,27,50,10,9,0.98,68
2015-02-22,优,38,32,15,33,9,9,0.95,62
2015-02-23,优,30,19,9,18,8,9,0.98,57
2015-02-24,优,23,3,9,21,9,11,0.97,29
2015-02-25,优,38,51,9,36,8,11,0.96,58
2015-02-26,优,47,99,12,50,19,18,0.91,24
2015-02-27,优,30,31,10,24,8,11,0.66,53
2015-02-28,优,46,162,8,33,7,6,0.51,81
2015-03-01,优,36,53,8,31,9,9,0.54,65
2015-03-02,良,51,68,22,53,19,14,0.91,48
2015-03-03,轻度污染,134,332,47,215,13,13,0.76,67
2015-03-04,优,50,119,15,54,15,16,0.53,52
2015-03-05,优,32,36,7,20,13,13,0.77,66
2015-03-06,优,44,78,14,44,14,21,0.81,55
2015-03-07,良,64,133,27,76,22,30,0.86,28
2015-03-08,良,52,105,16,49,17,25,0.83,73
2015-03-09,良,53,105,20,58,25,36,1.22,62
2015-03-10,良,70,214,46,76,17,33,0.85,55
2015-03-11,良,65,153,41,63,19,23,0.88,71
2015-03-12,良,66,129,43,78,31,35,0.78,75
2015-03-13,良,71,159,43,90,35,52,1.05,31
2015-03-14,良,68,108,37,79,28,42,0.91,58
2015-03-15,良,62,65,42,67,21,42,0.81,38
2015-03-16,良,66,109,40,78,41,38,0.99,24
2015-03-17,优,49,47,19,45,26,27,0.87,82
2015-03-18,良,51,103,12,30,17,20,0.81,97
2015-03-19,优,48,62,8,19,8,18,0.79,96
2015-03-20,良,57,107,8,26,11,21,0.78,101
2015-03-21,良,53,50,14,45,21,25,1.02,84
2015-03-22,良,54,43,18,54,19,34,0.88,59
2015-03-23,优,40,15,6,21,8,20,0.74,76
2015-03-24,优,30,8,10,28,8,37,0.55,36
2015-03-25,优,47,60,24,51,22,38,0.60,33
2015-03-26,优,47,59,18,44,14,26,0.63,71
2015-03-27,优,39,26,13,38,11,33,0.76,59
2015-03-28,良,54,58,19,50,21,33,0.74,65
2015-03-29,优,49,31,13,33,17,24,0.59,90
