日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,85,215,56,88,87,47,1.87,22
2015-01-02,良,84,288,60,100,119,74,2.29,15
2015-01-03,轻度污染,112,176,84,123,115,96,1.69,14
2015-01-04,重度污染,231,299,181,221,135,143,3.18,20
2015-01-05,严重污染,351,351,308,261,204,201,3.99,14
2015-01-06,良,64,147,42,56,14,22,0.86,27
2015-01-07,良,70,137,38,87,74,83,1.51,15
2015-01-08,良,100,203,71,137,133,140,2.13,11
2015-01-09,轻度污染,131,229,97,167,134,114,2.67,23
2015-01-10,轻度污染,136,235,102,143,110,80,2.26,17
2015-01-11,良,93,146,66,115,105,60,2.35,22
2015-01-12,良,88,189,64,93,101,47,2.28,21
2015-01-13,良,77,166,55,84,35,38,1.21,17
2015-01-14,轻度污染,129,255,92,158,47,87,1.07,9
2015-01-15,严重污染,291,352,241,330,105,136,2.02,11
2015-01-16,重度污染,250,349,207,288,53,103,1.82,20
2015-01-17,轻度污染,112,217,77,157,42,72,1.16,23
2015-01-18,良,81,110,38,110,60,47,0.95,40
2015-01-19,良,89,159,38,126,67,56,1.26,25
2015-01-20,中度污染,181,338,120,251,140,95,3.50,22
2015-01-21,中度污染,151,290,113,172,96,56,2.83,31
2015-01-22,良,81,105,53,106,45,31,1.11,23
2015-01-23,轻度污染,116,163,87,137,111,64,1.64,16
2015-01-24,严重污染,252,346,204,156,164,108,2.98,16
2015-01-25,中度污染,181,256,142,65,29,83,1.55,7
2015-01-26,重度污染,207,286,161,202,33,84,2.17,15
2015-01-27,轻度污染,114,287,84,92,36,57,1.80,17
2015-01-28,良,51,154,33,50,38,48,1.15,25
2015-01-29,轻度污染,113,318,84,139,63,68,1.70,12
2015-01-30,轻度污染,127,323,96,150,79,68,2.54,21
2015-01-31,良,82,233,59,95,43,57,1.64,25
2015-02-01,良,68,136,44,74,57,60,1.43,26
2015-02-02,良,88,165,62,117,51,57,1.66,22
2015-02-03,轻度污染,124,224,92,167,67,77,2.55,18
2015-02-04,轻度污染,111,203,78,142,68,74,2.50,30
2015-02-05,良,76,162,47,99,61,63,1.81,32
2015-02-06,轻度污染,103,224,71,151,109,87,2.18,20
2015-02-07,良,83,124,50,111,55,53,1.87,32
2015-02-08,良,62,108,28,71,39,42,1.38,32
2015-02-09,良,81,176,46,109,62,58,1.60,33
2015-02-10,良,89,150,57,122,83,82,2.23,38
2015-02-11,良,82,110,46,112,74,63,2.35,49
2015-02-12,轻度污染,104,181,75,149,63,60,2.83,41
