日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,204,88,157,200,37,44,1.35,42
2013-10-29,重度污染,232,97,184,247,38,55,1.58,46
2013-10-30,轻度污染,145,88,111,88,16,27,0.87,46
2013-10-31,轻度污染,140,84,107,55,15,35,1.08,25
2013-11-01,轻度污染,129,76,98,81,17,36,0.82,19
2013-11-02,良,98,47,73,49,10,34,0.94,20
2013-11-03,中度污染,165,100,125,107,21,36,1.23,34
2013-11-04,轻度污染,150,106,113,85,24,39,0.95,34
2013-11-05,轻度污染,108,70,81,119,25,49,1.10,30
2013-11-06,中度污染,173,93,128,153,16,45,1.35,36
2013-11-07,中度污染,178,103,135,172,22,43,0.95,33
2013-11-08,重度污染,219,113,199,252,28,52,1.78,28
2013-11-09,严重污染,257,114,210,212,20,43,1.62,28
2013-11-10,中度污染,187,108,70,36,15,23,0.79,33
2013-11-11,良,95,102,81,51,24,27,0.86,31
2013-11-12,良,92,85,65,85,23,35,0.85,26
2013-11-13,良,94,68,75,98,25,36,0.97,27
2013-11-14,轻度污染,127,76,113,159,24,38,1.07,29
2013-11-15,轻度污染,144,73,108,260,27,42,0.91,32
2013-11-16,轻度污染,141,63,89,200,20,36,0.80,34
2013-11-17,轻度污染,131,91,91,184,22,36,0.78,28
2013-11-18,轻度污染,111,91,95,149,30,44,1.09,31
2013-11-19,中度污染,153,105,134,181,40,53,1.29,26
2013-11-20,中度污染,186,102,142,192,31,57,1.39,29
2013-11-21,中度污染,197,91,177,251,49,70,1.92,25
2013-11-22,严重污染,259,95,225,264,35,53,1.93,26
2013-11-23,严重污染,252,89,194,187,31,45,1.70,22
2013-11-24,重度污染,212,89,96,47,16,24,1.05,33
2013-11-25,良,93,64,71,200,20,24,0.77,37
2013-11-26,轻度污染,144,104,98,238,22,38,1.32,26
2013-11-27,轻度污染,110,86,65,96,28,28,0.74,32
2013-11-28,良,74,73,49,82,27,28,0.67,34
2013-11-29,良,65,44,50,89,25,33,0.74,37
2013-11-30,良,88,58,84,124,31,39,0.94,34
2013-12-01,轻度污染,127,81,114,153,53,43,1.46,30
2013-12-02,中度污染,178,77,155,194,38,46,1.47,32
2013-12-03,重度污染,208,73,174,208,34,43,1.55,33
2013-12-04,严重污染,309,97,353,378,46,61,3.07,34
2013-12-05,严重污染,415,112,362,340,44,48,2.66,36
2013-12-06,严重污染,355,108,354,359,47,61,2.99,27
2013-12-07,严重污染,387,107,327,309,35,60,3.30,37
2013-12-08,严重污染,343,98,212,171,28,47,2.53,32
2013-12-09,严重污染,284,99,191,125,30,34,1.99,23
2013-12-10,中度污染,180,103,112,129,31,46,1.50,21
2013-12-11,轻度污染,147,93,107,148,38,44,1.43,21
2013-12-12,中度污染,151,101,132,183,48,49,1.71,25
2013-12-13,重度污染,212,104,191,245,43,70,2.26,23
