日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,237,95,184,314,58,62,1.52,67
2013-10-29,重度污染,239,99,195,297,53,67,2.04,29
2013-10-30,轻度污染,122,80,86,159,67,63,1.11,28
2013-10-31,轻度污染,132,74,97,191,148,82,1.20,16
2013-11-01,重度污染,231,103,180,280,86,85,1.90,9
2013-11-02,重度污染,240,104,189,246,50,54,1.98,16
2013-11-03,轻度污染,132,74,95,161,30,56,1.24,32
2013-11-04,轻度污染,137,101,97,185,58,62,1.07,34
2013-11-05,轻度污染,115,77,81,164,49,53,0.91,56
2013-11-06,中度污染,182,98,103,225,43,54,1.36,39
2013-11-07,良,99,53,42,121,43,47,0.21,30
2013-11-08,轻度污染,112,66,108,210,55,66,1.17,35
2013-11-09,中度污染,175,92,171,255,46,91,1.97,3
2013-11-10,中度污染,157,97,40,123,30,41,0.69,32
2013-11-11,良,91,99,52,151,41,58,1.01,35
2013-11-12,轻度污染,112,98,96,218,95,90,1.67,13
2013-11-13,中度污染,151,94,111,222,129,79,1.05,24
2013-11-14,中度污染,152,85,96,261,60,71,1.39,22
2013-11-15,中度污染,155,82,84,277,67,68,1.28,22
2013-11-16,中度污染,171,85,66,261,44,49,0.68,31
2013-11-17,轻度污染,107,64,50,113,37,47,0.67,24
2013-11-18,良,86,54,56,132,50,52,0.85,26
2013-11-19,良,87,47,54,120,61,53,0.88,22
2013-11-20,轻度污染,101,40,86,194,89,74,1.30,15
2013-11-21,中度污染,157,75,146,288,155,97,2.10,18
2013-11-22,重度污染,236,92,225,389,148,102,2.38,11
2013-11-23,严重污染,315,100,294,462,79,96,2.46,9
2013-11-24,严重污染,433,112,260,422,79,82,2.69,7
2013-11-25,轻度污染,148,109,40,117,29,38,0.81,35
2013-11-26,良,84,61,52,150,56,50,1.49,23
2013-11-27,良,93,67,22,114,15,20,0.99,48
2013-11-28,良,79,82,42,113,38,37,1.16,31
2013-11-29,轻度污染,104,101,73,172,96,59,1.84,19
