日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,101,269,62,151,37,40,0.69,45
2015-01-02,良,96,369,68,131,50,51,0.78,32
2015-01-03,中度污染,174,302,133,225,92,79,1.66,12
2015-01-04,轻度污染,136,170,102,188,52,38,1.28,66
2015-01-05,中度污染,167,237,126,190,53,44,1.75,21
2015-01-06,中度污染,157,371,119,142,39,21,1.32,30
2015-01-07,轻度污染,110,296,83,110,23,24,1.34,30
2015-01-08,轻度污染,148,297,112,154,56,39,1.53,33
2015-01-09,中度污染,182,295,137,184,54,45,1.51,30
2015-01-10,良,94,132,68,95,22,34,0.98,36
2015-01-11,良,88,137,63,85,29,40,0.97,18
2015-01-12,轻度污染,108,233,80,101,24,37,1.04,22
2015-01-13,轻度污染,133,276,100,126,23,32,0.96,22
2015-01-14,轻度污染,127,252,95,131,26,34,1.06,36
2015-01-15,轻度污染,111,203,83,118,38,44,1.10,39
2015-01-16,中度污染,173,292,131,170,47,48,1.25,35
2015-01-17,重度污染,204,354,156,211,48,55,1.33,38
2015-01-18,轻度污染,139,294,105,154,40,49,1.07,60
2015-01-19,轻度污染,149,324,112,176,47,61,1.38,51
2015-01-20,中度污染,162,324,122,183,50,70,1.65,14
2015-01-21,中度污染,172,339,130,186,57,55,1.61,36
2015-01-22,轻度污染,135,272,102,172,64,60,1.25,54
2015-01-23,轻度污染,146,235,110,183,52,73,1.54,42
2015-01-24,轻度污染,106,144,77,140,37,66,1.14,43
2015-01-25,中度污染,199,287,154,175,31,45,1.45,13
2015-01-26,严重污染,279,344,228,291,27,42,2.03,6
2015-01-27,轻度污染,117,292,90,122,23,35,1.90,17
2015-01-28,优,21,3,10,20,11,28,1.16,12
2015-01-29,优,27,16,18,23,16,24,0.91,15
2015-01-30,良,97,263,72,76,15,26,0.82,21
2015-01-31,良,73,198,53,64,14,30,0.96,20
2015-02-01,轻度污染,107,260,80,92,17,28,1.10,24
2015-02-02,良,97,195,71,86,28,37,1.32,7
2015-02-03,良,55,45,38,49,22,33,1.38,6
2015-02-04,中度污染,183,309,139,174,43,46,1.57,37
2015-02-05,重度污染,216,357,166,225,53,66,1.88,31
2015-02-06,中度污染,181,355,138,199,47,61,1.86,50
2015-02-07,中度污染,181,351,136,201,53,71,1.76,30
2015-02-08,中度污染,171,351,129,188,48,57,1.56,61
2015-02-09,轻度污染,141,333,106,166,45,50,1.39,69
2015-02-10,中度污染,190,346,145,222,56,70,1.77,24
2015-02-11,中度污染,197,347,151,217,43,55,1.70,49
2015-02-12,中度污染,180,313,138,212,36,60,1.91,54
2015-02-13,轻度污染,141,271,105,164,26,58,1.63,53
