日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,78,181,23,103,27,53,1.00,24
2015-01-02,良,84,289,31,116,29,55,1.03,24
2015-01-03,良,88,116,34,125,29,57,1.35,21
2015-01-04,良,96,87,47,141,33,53,1.41,54
2015-01-05,中度污染,173,244,120,214,32,67,1.92,14
2015-01-06,轻度污染,135,332,101,118,36,57,1.56,14
2015-01-07,良,90,240,66,97,31,50,0.89,15
2015-01-08,轻度污染,144,290,109,142,33,55,1.53,27
2015-01-09,重度污染,208,318,160,180,35,70,1.86,18
2015-01-10,重度污染,213,319,172,190,52,69,1.95,33
2015-01-11,中度污染,196,326,151,104,34,56,1.71,35
2015-01-12,良,62,114,44,52,18,41,1.07,30
2015-01-13,良,51,83,35,44,16,31,0.75,39
2015-01-14,轻度污染,102,197,75,90,18,46,0.93,13
2015-01-15,轻度污染,108,198,80,81,20,34,0.79,42
2015-01-16,中度污染,158,275,119,134,24,40,1.16,45
2015-01-17,良,100,187,74,101,27,53,1.13,34
2015-01-18,轻度污染,103,178,67,105,25,43,0.91,47
2015-01-19,良,85,141,50,113,24,47,0.89,39
2015-01-20,轻度污染,108,224,78,132,30,51,0.97,37
2015-01-21,中度污染,163,325,124,157,29,47,1.45,21
2015-01-22,轻度污染,133,267,100,126,21,46,1.26,24
2015-01-23,轻度污染,145,234,109,142,24,51,1.40,32
2015-01-24,重度污染,235,331,184,196,23,56,1.87,18
2015-01-25,重度污染,225,317,174,136,18,46,1.56,15
2015-01-26,重度污染,218,292,167,197,27,44,1.42,19
2015-01-27,良,84,192,54,92,22,38,1.06,31
2015-01-28,良,64,224,42,67,18,33,0.87,33
2015-01-29,良,84,256,62,76,16,39,0.99,23
2015-01-30,中度污染,157,343,119,145,27,45,1.18,28
2015-01-31,良,72,192,49,84,26,44,1.07,31
2015-02-01,良,72,161,51,76,16,39,1.12,32
2015-02-02,良,100,203,74,112,19,43,1.23,31
2015-02-03,中度污染,172,289,130,170,22,48,1.45,37
2015-02-04,重度污染,202,334,161,204,35,47,1.70,39
2015-02-05,良,84,192,57,107,24,49,1.29,35
2015-02-06,轻度污染,115,259,85,158,27,55,1.47,36
2015-02-07,中度污染,155,321,116,176,28,53,1.30,28
2015-02-08,良,68,143,33,83,24,37,0.41,42
2015-02-09,良,85,193,55,117,27,48,0.46,41
2015-02-10,轻度污染,105,204,78,117,24,44,0.63,51
2015-02-11,轻度污染,139,263,103,144,31,38,0.98,56
2015-02-12,重度污染,231,356,182,231,47,54,2.03,46
2015-02-13,中度污染,176,315,133,183,29,52,1.54,61
2015-02-14,轻度污染,146,253,110,179,33,49,1.40,70
2015-02-15,重度污染,209,331,162,191,19,52,2.55,8
2015-02-16,重度污染,228,357,178,223,18,42,2.35,31
2015-02-17,轻度污染,131,272,95,169,26,38,1.43,59
2015-02-18,良,70,106,44,86,25,28,0.82,68
2015-02-19,良,70,79,50,69,26,26,0.52,70
2015-02-20,优,47,92,33,36,11,25,0.55,37
2015-02-21,轻度污染,103,273,76,86,19,29,1.11,33
2015-02-22,轻度污染,130,259,82,143,18,31,1.10,42
2015-02-23,良,81,197,45,110,31,37,1.22,45
2015-02-24,轻度污染,102,277,76,111,26,33,1.40,45
2015-02-25,良,94,266,69,114,23,32,1.32,46
2015-02-26,良,88,267,61,100,27,33,1.22,62
2015-02-27,良,55,204,34,60,22,26,0.95,61
2015-02-28,优,38,115,19,36,13,26,0.78,54
2015-03-01,良,85,269,62,86,19,37,1.31,46
2015-03-02,良,72,172,50,82,20,33,1.14,57
2015-03-03,良,90,243,47,122,24,35,1.17,49
2015-03-04,良,54,152,17,59,19,31,0.85,53
2015-03-05,良,65,207,34,76,18,29,1.08,57
2015-03-06,良,75,199,53,89,19,36,1.20,51
2015-03-07,良,77,190,55,81,18,34,1.21,51
2015-03-08,良,91,248,67,99,20,40,1.53,44
