日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,107,278,63,162,38,19,0.62,63
2015-01-02,良,79,251,47,105,68,23,0.56,49
2015-01-03,轻度污染,136,231,102,191,108,47,1.04,28
2015-01-04,严重污染,314,350,213,423,234,97,2.41,33
2015-01-05,中度污染,170,240,129,186,71,35,1.09,25
2015-01-06,轻度污染,122,304,92,127,32,18,0.80,46
2015-01-07,轻度污染,101,276,75,110,47,23,0.86,40
2015-01-08,轻度污染,121,256,91,138,63,28,0.90,43
2015-01-09,轻度污染,120,210,90,131,47,30,0.91,35
2015-01-10,良,96,142,71,113,50,27,0.76,32
2015-01-11,中度污染,158,279,119,195,79,38,1.13,20
2015-01-12,轻度污染,126,269,95,142,79,27,0.84,47
2015-01-13,中度污染,169,319,128,174,57,28,0.93,64
2015-01-14,轻度污染,148,280,112,148,52,31,0.94,47
2015-01-15,中度污染,153,265,116,187,64,36,1.10,48
2015-01-16,轻度污染,144,255,109,168,56,24,1.02,62
2015-01-17,中度污染,162,316,122,206,65,33,1.12,55
2015-01-18,轻度污染,141,302,106,158,50,28,1.09,71
2015-01-19,中度污染,188,357,142,221,80,45,1.52,41
2015-01-20,重度污染,201,353,153,228,92,41,1.33,27
2015-01-21,中度污染,165,331,125,202,52,35,1.05,26
2015-01-22,中度污染,156,307,117,209,70,32,0.71,50
2015-01-23,轻度污染,140,218,104,211,100,39,0.70,47
2015-01-24,中度污染,177,265,133,235,94,41,1.05,42
2015-01-25,轻度污染,150,209,112,158,35,22,1.07,30
2015-01-26,中度污染,163,227,123,189,39,21,1.16,41
2015-01-27,轻度污染,124,301,92,131,24,22,1.29,38
2015-01-28,优,36,59,21,34,11,20,0.74,18
2015-01-29,优,36,42,22,34,12,13,0.52,25
2015-01-30,良,73,194,51,76,43,11,0.82,40
2015-01-31,良,77,217,55,76,18,12,1.15,40
2015-02-01,良,77,175,56,84,17,11,1.18,41
2015-02-02,良,62,66,42,64,18,13,1.40,30
2015-02-03,良,80,114,58,82,20,14,1.53,31
2015-02-04,轻度污染,131,240,99,143,44,21,1.52,36
2015-02-05,轻度污染,128,302,96,149,62,23,1.16,60
