日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,43,31,17,43,26,31,0.75,34
2015-01-02,良,53,71,29,57,26,32,0.98,36
2015-01-03,良,55,26,31,58,28,34,1.21,36
2015-01-04,良,78,51,46,103,34,22,1.01,49
2015-01-05,良,99,123,70,117,35,29,1.36,30
2015-01-06,良,86,235,56,93,32,20,1.12,31
2015-01-07,良,62,98,37,71,27,20,0.90,30
2015-01-08,良,69,103,47,81,29,24,1.10,38
2015-01-09,良,96,153,70,121,31,27,1.16,48
2015-01-10,轻度污染,103,159,75,132,27,29,1.43,44
2015-01-11,良,93,148,66,125,24,25,1.08,53
2015-01-12,良,66,130,34,78,21,16,0.72,46
2015-01-13,良,52,85,25,54,22,18,0.57,34
2015-01-14,良,63,117,43,63,22,22,0.62,26
2015-01-15,良,91,152,67,102,26,24,0.88,29
2015-01-16,轻度污染,128,223,96,136,29,23,1.07,38
2015-01-17,轻度污染,117,225,88,117,33,24,1.14,43
2015-01-18,良,79,101,51,97,26,21,0.78,48
2015-01-19,良,90,160,59,121,27,31,0.79,45
2015-01-20,良,86,128,58,113,31,33,1.05,35
2015-01-21,轻度污染,119,218,87,152,30,29,1.27,40
2015-01-22,良,98,170,70,118,33,27,1.09,35
2015-01-23,轻度污染,106,133,79,117,29,26,1.19,32
2015-01-24,轻度污染,141,210,106,176,40,37,1.57,28
2015-01-25,中度污染,169,241,128,147,29,28,1.53,25
2015-01-26,轻度污染,138,193,105,126,35,20,1.16,38
2015-01-27,良,86,203,52,102,23,19,0.82,37
2015-01-28,良,53,168,30,54,24,24,0.55,36
2015-01-29,良,61,177,36,66,22,40,0.56,40
2015-01-30,轻度污染,123,318,92,114,37,44,0.87,43
2015-01-31,良,82,232,56,89,32,24,0.87,38
2015-02-01,良,57,98,36,61,25,20,0.59,39
2015-02-02,良,84,146,59,95,36,24,0.78,40
2015-02-03,轻度污染,107,188,80,118,46,20,0.82,46
2015-02-04,中度污染,175,296,133,179,49,24,1.29,57
2015-02-05,良,74,158,50,86,35,25,0.80,47
2015-02-06,良,66,70,46,71,21,26,0.63,47
2015-02-07,轻度污染,101,193,74,115,45,35,0.82,39
2015-02-08,良,73,165,34,92,22,23,0.50,43
2015-02-09,良,62,95,33,73,21,25,0.54,42
2015-02-10,良,69,81,47,81,22,28,0.73,41
2015-02-11,良,92,144,64,114,27,21,0.80,53
2015-02-12,轻度污染,138,245,104,160,40,25,1.21,43
2015-02-13,重度污染,202,348,155,241,33,28,1.54,50
2015-02-14,轻度污染,129,217,97,156,26,28,1.23,58
2015-02-15,良,79,120,53,85,23,46,0.85,54
2015-02-16,轻度污染,141,265,106,152,24,46,1.45,60
2015-02-17,中度污染,176,329,133,211,25,39,1.43,71
2015-02-18,良,84,168,59,98,29,27,0.71,72
2015-02-19,良,67,73,43,75,23,22,0.46,74
2015-02-20,良,60,169,36,66,25,25,0.58,48
2015-02-21,良,71,189,40,88,22,21,0.72,71
2015-02-22,轻度污染,127,254,94,143,30,34,1.28,58
