日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,72,156,37,93,24,37,0.82,37
2015-01-02,良,78,249,55,96,24,39,0.93,30
2015-01-03,轻度污染,105,161,78,135,61,59,1.37,24
2015-01-04,轻度污染,121,138,91,147,53,44,1.45,86
2015-01-05,轻度污染,142,200,102,154,50,43,1.66,51
2015-01-06,重度污染,215,399,168,214,31,46,2.67,21
2015-01-07,轻度污染,112,297,77,137,26,50,2.39,25
2015-01-08,轻度污染,149,298,112,163,33,56,2.33,30
2015-01-09,中度污染,188,301,142,215,37,74,2.77,29
2015-01-10,重度污染,208,314,159,212,38,74,2.74,35
2015-01-11,中度污染,181,313,137,183,31,63,2.19,47
2015-01-12,中度污染,184,336,140,187,39,61,1.99,31
2015-01-13,轻度污染,118,249,88,118,25,46,1.38,23
2015-01-14,良,100,193,74,97,10,41,1.23,30
2015-01-15,轻度污染,114,206,86,114,13,43,1.31,25
2015-01-16,轻度污染,124,217,93,131,21,36,1.25,43
2015-01-17,轻度污染,150,298,113,151,37,40,1.38,66
2015-01-18,轻度污染,144,311,109,155,35,45,1.56,55
2015-01-19,中度污染,170,348,128,178,29,48,1.70,46
2015-01-20,轻度污染,126,280,94,136,52,61,1.66,47
2015-01-21,轻度污染,136,257,99,174,30,48,1.64,35
2015-01-22,轻度污染,118,230,89,133,35,37,1.53,58
2015-01-23,良,98,103,73,106,32,44,1.38,47
2015-01-24,轻度污染,110,151,82,123,31,43,1.49,60
2015-01-25,重度污染,245,335,192,261,21,49,2.90,19
2015-01-26,严重污染,257,328,206,270,19,42,3.31,12
2015-01-27,轻度污染,130,308,98,128,12,23,2.25,32
2015-01-28,优,39,83,27,31,4,19,1.03,28
2015-01-29,良,62,181,45,51,5,20,1.25,31
2015-01-30,良,82,228,60,70,20,19,1.29,39
2015-01-31,轻度污染,109,305,81,93,12,21,1.58,55
2015-02-01,轻度污染,121,287,91,109,12,33,1.92,34
2015-02-02,轻度污染,109,227,81,97,10,34,1.86,25
2015-02-03,轻度污染,121,218,90,107,4,23,1.82,45
2015-02-04,中度污染,190,322,146,169,30,38,2.40,65
2015-02-05,重度污染,216,356,169,204,42,45,2.59,61
2015-02-06,轻度污染,115,258,86,119,42,56,2.04,47
2015-02-07,轻度污染,148,308,112,150,32,60,2.41,40
2015-02-08,中度污染,168,350,127,168,40,41,2.26,47
2015-02-09,良,61,91,41,64,23,34,1.57,54
2015-02-10,良,80,120,58,83,34,40,1.78,56
2015-02-11,中度污染,151,280,114,152,22,40,2.39,60
2015-02-12,中度污染,182,315,138,185,20,45,2.73,61
2015-02-13,中度污染,181,328,139,174,19,35,2.42,84
2015-02-14,中度污染,158,269,119,162,16,33,2.38,80
2015-02-15,轻度污染,104,192,77,106,8,31,2.41,45
2015-02-16,中度污染,151,280,111,171,11,28,2.93,61
2015-02-17,中度污染,191,349,146,224,16,30,2.88,78
2015-02-18,中度污染,158,342,120,182,14,18,2.48,89
2015-02-19,中度污染,162,282,126,182,37,18,2.07,78
2015-02-20,良,57,159,40,51,2,9,1.96,44
2015-02-21,良,66,178,48,50,5,15,2.05,49
2015-02-22,轻度污染,115,231,86,108,3,17,2.45,41
2015-02-23,良,93,254,69,86,4,13,2.15,64
2015-02-24,轻度污染,105,283,78,98,8,20,2.57,41
2015-02-25,良,75,223,54,65,1,17,2.56,35
2015-02-26,良,64,192,44,55,4,20,2.21,34
2015-02-27,优,49,167,31,39,2,12,2.02,57
2015-02-28,优,30,55,15,20,9,11,1.65,60
2015-03-01,良,69,214,49,60,11,25,2.11,59
2015-03-02,良,88,246,64,81,18,28,2.34,59
2015-03-03,轻度污染,111,303,63,143,8,23,2.00,59
2015-03-04,良,77,291,47,102,10,20,1.90,71
2015-03-05,良,70,237,40,76,8,16,1.95,64
2015-03-06,轻度污染,116,309,87,109,17,27,2.32,38
2015-03-07,良,99,269,74,103,20,32,2.42,48
2015-03-08,良,69,171,49,67,12,28,2.45,42
2015-03-09,轻度污染,113,308,84,114,16,32,2.55,52
