日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,54,61,33,54,7,24,0.14,30
2015-01-02,优,48,47,31,45,5,26,0.22,30
2015-01-03,良,54,21,37,47,6,27,0.28,30
2015-01-04,良,79,53,57,74,5,29,0.51,37
2015-01-05,轻度污染,103,134,77,91,4,29,0.54,25
2015-01-06,轻度污染,133,331,96,161,6,26,0.89,25
2015-01-07,良,55,64,35,54,5,21,0.56,27
2015-01-08,良,62,75,44,57,8,23,0.59,29
2015-01-09,良,76,94,55,70,6,25,0.53,28
2015-01-10,良,84,105,61,73,6,28,0.39,27
2015-01-11,良,81,118,59,67,5,27,0.38,28
2015-01-12,轻度污染,109,236,81,92,8,20,0.44,34
2015-01-13,优,47,72,30,45,5,13,0.11,30
2015-01-14,优,24,7,14,22,4,15,0.15,30
2015-01-15,优,44,28,30,34,5,15,0.24,28
2015-01-16,良,58,51,40,58,5,17,0.21,28
2015-01-17,轻度污染,113,220,84,124,6,18,0.35,33
2015-01-18,轻度污染,137,285,103,62,7,15,0.36,38
2015-01-19,良,88,152,63,79,5,18,0.25,30
2015-01-20,良,66,60,46,61,6,16,0.25,30
2015-01-21,良,61,57,43,47,5,17,0.25,29
2015-04-10,良,71,211,51,60,5,15,0.20,37
2015-04-11,良,75,198,54,63,6,15,0.20,40
2015-04-12,良,74,219,53,66,6,15,0.19,43
2015-04-13,良,54,77,32,55,5,14,0.08,41
2015-04-14,优,49,18,29,48,5,13,0.07,42
2015-04-15,良,59,34,39,58,4,15,0.14,33
2015-04-16,良,61,39,41,63,5,15,0.13,36
2015-04-17,良,77,102,56,83,6,15,0.19,37
2015-04-18,良,77,166,55,72,6,13,0.20,32
2015-04-19,良,51,98,33,49,4,11,0.16,26
2015-04-20,优,32,14,13,30,4,12,0.15,28
2015-04-21,良,53,110,34,51,5,14,0.13,26
2015-04-22,良,51,58,33,48,4,14,0.12,26
2015-04-23,良,56,64,37,56,5,15,0.16,29
2015-04-24,良,66,126,47,60,5,14,0.18,26
2015-04-25,良,64,78,44,64,5,10,0.18,26
2015-04-26,良,52,32,33,49,7,8,0.11,42
2015-04-27,良,55,48,38,54,6,7,0.13,64
