日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,75,164,35,98,27,35,1.08,30
2015-01-02,良,87,315,59,121,65,61,1.65,16
2015-01-03,轻度污染,104,160,77,140,67,70,1.87,22
2015-01-04,轻度污染,144,186,109,181,86,72,2.18,50
2015-01-05,中度污染,194,281,121,251,55,72,2.20,21
2015-01-06,重度污染,206,396,162,216,16,48,2.28,12
2015-01-07,中度污染,162,350,123,184,35,53,2.53,14
2015-01-08,中度污染,180,331,136,205,45,66,2.89,16
2015-01-09,重度污染,221,330,171,261,75,86,3.45,13
2015-01-10,重度污染,228,334,177,257,66,85,2.84,21
2015-01-11,重度污染,205,334,159,233,53,80,2.94,23
2015-01-12,中度污染,193,341,146,226,38,77,2.59,16
2015-01-13,轻度污染,107,228,78,135,24,47,1.67,18
2015-01-14,轻度污染,133,262,101,156,20,58,1.89,15
2015-01-15,轻度污染,108,197,79,133,30,64,1.41,18
2015-01-16,轻度污染,142,249,107,156,32,69,1.67,25
2015-01-17,轻度污染,144,286,108,169,38,64,1.35,42
2015-01-18,中度污染,155,334,117,188,48,78,1.72,34
2015-01-19,中度污染,163,341,123,204,54,86,2.00,32
2015-01-20,轻度污染,108,225,80,146,51,76,1.48,37
2015-01-21,轻度污染,143,276,101,207,57,60,2.04,28
2015-01-22,轻度污染,113,210,84,140,36,46,1.45,43
2015-01-23,良,98,102,71,128,52,60,1.50,38
2015-01-24,轻度污染,127,182,81,174,54,61,1.51,44
2015-01-25,重度污染,245,334,195,289,29,66,2.74,5
2015-01-26,严重污染,275,342,224,300,27,54,3.24,2
2015-01-27,轻度污染,140,320,107,148,9,36,2.18,14
2015-01-28,优,43,106,26,42,10,25,1.03,18
2015-01-29,良,64,194,45,62,8,27,1.30,14
2015-01-30,轻度污染,104,272,77,101,17,32,1.46,16
2015-01-31,良,93,265,69,96,16,29,1.12,32
2015-02-01,轻度污染,102,240,76,105,17,37,1.45,17
2015-02-02,轻度污染,108,222,81,108,16,41,1.45,11
2015-02-03,轻度污染,133,247,100,129,24,38,1.67,19
2015-02-04,中度污染,194,327,149,196,45,48,2.01,41
2015-02-05,重度污染,222,359,174,234,63,45,2.12,49
2015-02-06,轻度污染,105,229,78,120,61,56,1.38,42
2015-02-07,中度污染,158,325,120,184,60,89,2.45,16
2015-02-08,中度污染,157,345,116,173,39,44,1.64,36
2015-02-09,良,62,94,35,72,26,34,1.09,47
2015-02-10,良,85,134,61,101,43,50,1.50,40
2015-02-11,轻度污染,147,275,111,176,60,56,2.42,42
2015-02-12,中度污染,173,304,131,204,54,72,2.51,35
2015-02-13,中度污染,152,282,115,189,48,66,2.24,49
2015-02-14,中度污染,154,262,115,197,33,45,1.68,65
2015-02-15,轻度污染,127,248,96,160,21,45,1.97,23
2015-02-16,中度污染,162,296,122,175,33,44,2.61,36
2015-02-17,中度污染,188,345,142,214,36,46,2.30,68
2015-02-18,中度污染,159,345,121,178,26,34,1.77,77
2015-02-19,轻度污染,119,211,89,141,23,24,1.33,70
2015-02-20,良,71,222,50,75,15,23,1.58,28
2015-02-21,良,73,199,52,71,10,24,1.68,31
2015-02-22,轻度污染,127,255,95,131,23,35,2.24,23
2015-02-23,轻度污染,104,281,77,110,15,27,1.82,39
2015-02-24,轻度污染,105,282,78,116,15,31,2.10,25
2015-02-25,良,73,215,49,86,12,33,2.12,17
2015-02-26,良,58,177,39,64,10,30,1.77,21
2015-02-27,优,50,176,33,52,10,27,1.55,32
2015-02-28,优,31,68,16,30,4,18,1.15,39
2015-03-01,良,72,227,50,76,21,30,1.66,40
2015-03-02,良,85,230,62,94,29,45,1.88,33
2015-03-03,轻度污染,120,317,68,166,17,26,1.53,43
2015-03-04,良,79,296,50,103,18,28,1.33,50
2015-03-05,良,64,206,41,72,8,23,1.41,40
2015-03-06,轻度污染,114,304,86,121,16,34,1.84,20
2015-03-07,良,96,261,71,108,20,29,1.89,36
2015-03-08,良,74,190,51,81,23,32,1.99,29
2015-03-09,轻度污染,122,326,91,137,30,39,2.59,30
2015-03-10,轻度污染,108,315,80,116,14,31,1.28,51
2015-03-11,良,76,210,53,90,32,46,1.36,39
2015-03-12,轻度污染,108,278,80,128,40,45,1.41,68
2015-03-13,轻度污染,101,247,75,125,42,64,1.72,37
2015-03-14,良,94,188,69,113,20,41,1.22,39
2015-03-15,轻度污染,137,288,103,130,26,44,1.71,17
2015-03-16,良,99,214,73,102,21,44,1.68,21
2015-03-17,良,77,192,53,95,19,37,1.68,20
2015-03-18,优,42,60,27,41,9,32,1.74,10
2015-03-19,良,61,116,43,62,17,35,1.61,11
2015-03-20,良,66,147,47,64,7,33,1.54,20
2015-03-21,良,93,243,69,94,33,36,1.59,46
2015-03-22,良,88,201,61,98,19,44,1.64,54
2015-03-23,良,91,297,65,123,22,43,1.34,71
2015-03-24,良,85,264,60,115,22,48,1.25,47
2015-03-25,良,65,169,40,78,17,34,1.08,73
2015-03-26,良,67,179,41,82,12,38,1.22,54
2015-03-27,良,94,256,69,101,25,39,1.58,37
2015-03-28,良,90,201,66,100,26,44,1.80,39
2015-03-29,良,99,208,73,118,21,45,2.01,40
2015-03-30,良,75,178,52,88,11,32,1.58,36
2015-03-31,良,81,215,59,96,26,33,1.63,44
2015-04-01,良,82,269,59,91,22,31,1.31,56
2015-04-02,良,57,158,39,59,20,34,1.84,20
2015-04-03,良,64,168,44,65,14,38,1.61,41
2015-04-04,良,68,188,48,64,9,41,1.90,15
2015-04-05,良,54,125,38,49,7,32,1.64,29
2015-04-06,良,54,170,37,49,3,26,1.18,51
2015-04-07,良,58,230,39,56,6,20,0.81,50
2015-04-08,良,52,144,32,51,13,27,0.79,51
2015-04-09,良,69,216,49,75,25,47,1.08,39
2015-04-10,良,92,285,68,99,34,46,1.64,45
2015-04-11,轻度污染,115,319,85,120,27,59,1.65,69
2015-04-12,良,95,330,60,112,40,35,1.22,71
2015-04-13,良,67,199,30,83,13,25,0.86,72
2015-04-14,良,79,201,55,98,51,37,1.38,76
2015-04-15,良,98,237,72,126,46,78,1.91,27
2015-04-16,轻度污染,112,259,84,132,30,44,1.66,60
2015-04-17,轻度污染,104,228,78,131,23,32,1.49,83
2015-04-18,轻度污染,109,282,81,122,21,43,1.69,64
2015-04-19,良,67,210,48,62,3,23,1.53,42
2015-04-20,优,46,70,31,39,5,23,1.22,43
2015-04-21,良,85,287,62,92,30,38,1.77,39
2015-04-22,良,92,300,68,103,33,45,1.70,54
2015-04-23,轻度污染,110,323,83,130,36,63,1.69,45
2015-04-24,轻度污染,131,345,99,158,41,62,1.77,37
2015-04-25,轻度污染,125,313,94,146,31,43,1.52,64
2015-04-26,良,91,227,64,101,39,51,1.38,77
2015-04-27,良,95,269,70,113,34,37,1.44,73
2015-04-28,轻度污染,102,299,73,131,42,39,1.72,50
2015-04-29,轻度污染,111,307,82,138,14,30,1.52,82
2015-04-30,良,80,176,58,88,17,23,1.38,114
2015-05-01,良,91,271,67,109,19,29,1.60,84
2015-05-02,良,64,210,42,67,9,23,1.62,37
2015-05-03,良,81,260,59,79,14,27,1.88,62
2015-05-04,良,92,299,68,92,16,37,1.59,71
