日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,58,69,31,65,40,29,0.51,52
2015-01-02,良,65,141,41,78,66,41,0.64,46
2015-01-03,良,82,93,58,111,69,62,0.88,41
2015-01-04,良,80,57,56,107,46,37,0.58,92
2015-01-05,良,67,59,43,82,46,41,0.70,56
2015-01-06,良,97,260,71,109,41,38,1.15,36
2015-01-07,良,62,99,44,65,33,29,0.93,36
2015-01-08,良,80,139,58,94,62,39,1.18,41
2015-01-09,良,86,120,63,101,79,50,1.16,47
2015-01-10,良,96,140,71,112,53,50,1.33,43
2015-01-11,轻度污染,110,191,82,125,67,59,1.31,25
2015-01-12,良,99,211,74,105,38,39,1.08,37
2015-01-13,优,40,52,27,37,15,24,0.76,43
2015-01-14,良,55,84,37,53,29,35,0.87,35
2015-01-15,良,65,91,46,71,33,37,0.83,37
2015-01-16,良,66,81,47,73,40,48,0.94,30
2015-01-17,良,88,153,64,101,49,38,0.82,66
2015-01-18,轻度污染,106,188,79,126,71,59,0.98,46
2015-01-19,良,100,210,74,124,65,50,1.08,50
2015-01-20,良,91,155,67,106,81,50,0.91,40
2015-01-21,良,94,154,69,104,103,46,1.10,34
2015-01-22,良,77,89,55,86,60,32,0.96,52
2015-01-23,良,86,78,63,98,75,54,1.13,28
2015-01-24,良,78,67,55,89,43,37,0.69,38
2015-01-25,良,68,48,48,73,36,41,0.79,29
2015-01-26,轻度污染,120,170,90,132,39,44,1.35,15
2015-01-27,良,93,232,69,98,30,50,1.57,8
2015-01-28,优,28,17,19,25,17,31,0.93,5
2015-01-29,优,22,10,15,20,17,27,0.57,8
2015-01-30,优,33,22,23,31,18,25,0.70,8
2015-01-31,良,69,179,49,68,26,31,0.77,10
2015-02-01,良,89,212,66,88,37,36,0.92,11
2015-02-02,良,86,154,63,90,24,32,0.90,8
2015-02-03,优,42,21,29,38,14,33,0.95,7
2015-02-04,良,68,114,48,69,20,29,0.90,12
2015-02-05,良,81,179,59,83,30,26,0.91,36
2015-02-06,良,85,144,62,90,40,41,0.78,44
2015-02-07,良,75,102,54,81,27,46,0.66,30
2015-02-08,良,92,252,68,93,36,37,0.91,49
2015-02-09,良,70,135,49,76,29,29,0.62,46
2015-02-10,良,63,64,43,68,30,39,0.61,45
2015-02-11,良,84,116,61,94,18,44,0.89,38
2015-02-12,良,91,156,67,101,17,44,0.96,38
2015-02-13,良,78,117,57,90,15,42,0.82,38
2015-02-14,良,71,66,51,84,14,32,0.78,35
2015-02-15,良,54,43,37,53,5,15,0.76,54
2015-02-16,良,65,60,46,66,9,19,0.87,39
2015-02-17,良,99,202,73,110,17,21,1.22,54
2015-02-18,轻度污染,107,247,80,113,13,17,1.17,29
2015-02-19,中度污染,157,274,119,172,39,14,1.13,27
2015-02-20,良,69,216,48,69,3,6,0.75,39
2015-02-21,优,33,18,22,30,7,9,1.22,20
2015-02-22,优,38,31,26,34,2,8,0.87,25
2015-02-23,良,56,109,39,52,2,8,0.96,40
2015-02-24,良,54,102,37,51,5,12,0.98,25
2015-02-25,优,42,81,29,40,3,11,1.07,18
2015-02-26,优,25,9,17,23,6,14,0.74,18
2015-02-27,优,25,22,17,23,3,12,0.54,17
2015-02-28,优,17,3,11,13,2,12,0.45,27
2015-03-01,优,22,9,15,20,2,11,0.46,27
2015-03-02,优,37,17,25,35,7,16,0.48,20
2015-03-03,优,36,22,24,32,3,17,0.70,24
2015-03-04,良,56,168,38,58,6,21,0.71,26
2015-03-05,优,35,46,24,31,2,15,0.64,25
2015-03-06,优,28,31,19,25,3,22,0.57,17
2015-03-07,优,38,33,26,34,9,16,0.58,19
2015-03-08,优,48,76,32,46,8,17,0.69,12
2015-03-09,优,43,52,29,43,11,19,0.80,30
2015-03-10,良,67,200,47,67,14,25,0.65,25
2015-03-11,良,57,116,39,57,17,28,0.69,22
2015-03-12,优,50,81,32,52,20,23,0.67,45
2015-03-13,优,34,12,21,33,12,24,0.73,27
2015-03-14,优,38,8,26,34,6,26,0.93,16
2015-03-15,优,29,1,20,25,4,30,1.07,10
2015-03-16,优,42,23,29,37,16,42,1.40,11
2015-03-17,优,50,53,34,48,30,20,0.93,28
2015-03-18,优,34,31,22,33,10,9,0.79,48
2015-03-19,优,31,11,20,29,18,22,1.20,23
2015-03-20,优,42,34,28,41,29,23,1.18,25
2015-03-21,优,36,5,24,34,24,22,1.39,18
2015-03-22,优,44,12,30,42,28,21,1.13,34
2015-03-23,优,41,23,28,38,15,19,1.05,42
2015-03-24,良,53,108,34,54,24,15,0.76,60
2015-03-25,良,53,92,33,55,40,25,0.76,55
2015-03-26,优,38,22,25,37,22,17,0.67,42
2015-03-27,优,37,16,25,35,14,17,0.84,42
2015-03-28,优,46,31,31,45,27,25,0.96,39
2015-03-29,良,53,48,35,53,36,22,1.02,41
2015-03-30,良,58,90,41,59,20,17,0.99,35
2015-03-31,优,39,26,25,36,25,8,0.83,54
2015-04-01,优,32,12,20,29,17,6,0.75,56
2015-04-02,优,35,24,21,34,8,4,0.74,61
