日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,139,56,102,133,41,50,1.33,85
2013-10-29,轻度污染,133,62,100,143,54,52,1.50,80
2013-10-30,轻度污染,117,75,88,131,41,43,1.20,70
2013-10-31,轻度污染,105,64,77,125,50,47,1.27,95
2013-11-01,轻度污染,117,69,83,125,30,41,1.22,97
2013-11-02,轻度污染,116,65,88,123,40,37,1.18,74
2013-11-03,轻度污染,108,57,80,113,22,23,1.14,80
2013-11-04,良,96,63,72,91,17,25,1.10,49
2013-11-05,轻度污染,106,68,79,95,18,31,1.27,20
2013-11-06,轻度污染,108,48,87,125,39,39,1.69,39
2013-11-07,轻度污染,129,74,96,136,45,37,1.09,45
2013-11-08,轻度污染,110,63,78,108,41,42,1.33,57
2013-11-09,轻度污染,121,67,97,91,52,60,1.65,66
2013-11-10,良,84,64,32,61,37,35,0.86,11
2013-11-11,良,51,23,29,42,26,27,0.73,30
2013-11-12,优,39,19,19,31,26,26,0.88,24
2013-11-13,优,32,14,21,29,26,28,1.19,6
2013-11-14,优,44,20,33,46,26,32,1.17,10
2013-11-15,良,51,15,42,61,24,41,1.19,37
2013-11-16,良,70,22,56,81,37,45,1.12,41
2013-11-17,良,76,32,53,98,30,50,1.05,36
2013-11-18,良,83,52,67,127,38,56,1.15,58
2013-11-19,良,100,67,83,156,45,73,1.25,32
2013-11-20,轻度污染,142,74,119,204,54,80,1.68,49
2013-11-21,中度污染,161,77,125,198,53,101,1.90,48
2013-11-22,轻度污染,150,68,100,146,45,81,1.51,71
2013-11-23,良,86,24,46,75,30,52,1.05,48
2013-11-24,良,74,20,53,83,28,50,1.17,42
2013-11-25,良,59,13,27,63,22,42,1.01,58
2013-11-26,良,70,36,55,102,38,73,1.11,48
2013-11-27,良,90,64,63,103,32,73,1.36,22
2013-11-28,良,61,41,30,55,16,37,0.78,52
2013-11-29,良,56,26,33,62,20,53,0.81,45
2013-11-30,良,67,28,60,97,38,86,1.31,29
2013-12-01,良,87,40,59,97,42,77,1.32,39
2013-12-02,良,82,25,72,118,42,101,1.78,41
2013-12-03,轻度污染,120,37,101,162,49,112,2.18,50
2013-12-04,轻度污染,137,45,105,169,58,105,1.98,46
2013-12-05,轻度污染,107,39,79,123,50,100,1.50,35
