日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,84,20,22,111,55,30,0.84,37
2014-01-01,良,80,17,30,97,66,40,1.05,27
2014-01-02,良,86,31,74,155,101,57,2.34,13
2014-01-03,良,80,30,46,110,94,43,1.14,27
2014-01-04,轻度污染,120,89,88,180,109,63,2.29,15
2014-01-05,轻度污染,129,63,95,180,122,64,2.51,18
2014-01-06,重度污染,203,135,154,254,117,81,2.91,9
2014-01-07,重度污染,250,166,199,305,157,94,4.08,7
2014-01-08,轻度污染,132,160,99,172,128,78,3.64,10
2014-01-09,良,83,120,55,112,89,49,2.20,14
2014-01-10,中度污染,196,164,156,249,147,75,3.24,9
2014-01-11,严重污染,257,163,208,317,184,92,4.05,11
2014-01-12,良,85,72,58,113,102,49,2.16,26
2014-01-13,良,97,90,72,134,105,60,2.47,17
2014-01-14,中度污染,191,149,146,230,113,62,2.58,10
2014-01-15,重度污染,217,132,168,260,100,69,3.54,10
2014-01-16,重度污染,218,137,169,274,118,88,3.84,14
2014-01-17,重度污染,201,129,155,245,147,91,4.83,13
2014-01-18,中度污染,191,110,147,259,160,81,4.63,16
2014-01-19,轻度污染,118,50,70,158,88,40,2.42,39
2014-01-20,良,52,10,12,56,51,14,1.55,59
2014-01-21,良,65,28,35,79,98,44,2.51,26
2014-01-22,良,94,76,70,127,151,55,3.33,22
2014-01-24,严重污染,270,175,220,324,223,108,6.64,13
2014-01-25,中度污染,152,120,118,157,158,64,4.86,27
2014-01-26,良,78,83,56,96,113,50,3.06,23
2014-01-27,轻度污染,123,128,92,143,146,59,3.49,22
2014-01-28,轻度污染,118,118,88,141,131,54,3.70,31
2014-01-29,轻度污染,143,144,107,158,147,50,3.76,38
2014-01-30,重度污染,228,133,183,263,188,67,4.65,36
2014-01-31,严重污染,321,163,270,364,108,65,4.77,8
2014-02-01,严重污染,276,172,226,330,115,63,5.59,8
2014-02-02,严重污染,266,166,215,326,156,64,5.42,14
2014-02-03,轻度污染,117,151,80,131,76,27,3.30,35
2014-02-04,良,59,102,33,64,66,18,2.26,38
2014-02-05,良,62,120,44,55,53,17,2.23,35
2014-02-06,轻度污染,101,155,75,92,114,33,3.22,18
2014-02-07,轻度污染,130,167,99,116,145,31,3.20,34
2014-02-08,中度污染,173,181,130,160,120,31,3.32,45
2014-02-09,良,86,158,63,78,91,28,2.78,35
2014-02-10,良,58,108,40,59,104,34,2.65,28
2014-02-11,轻度污染,110,137,80,118,149,50,2.99,22
2014-02-12,轻度污染,149,151,113,157,116,53,2.50,33
2014-02-13,中度污染,196,175,148,197,223,74,2.93,21
2014-02-14,中度污染,173,148,133,171,188,57,2.38,42
2014-02-15,重度污染,209,151,161,218,163,61,2.52,28
2014-02-16,中度污染,174,150,132,169,85,54,2.10,30
2014-02-17,中度污染,178,171,137,166,89,44,1.90,40
2014-02-18,良,90,142,67,90,81,39,1.39,36
2014-02-19,轻度污染,119,144,89,122,117,44,1.91,37
2014-02-20,中度污染,159,144,120,173,184,62,1.93,14
2014-02-21,轻度污染,109,63,82,128,75,51,1.05,56
2014-02-22,轻度污染,143,103,108,158,80,50,1.48,38
2014-02-23,重度污染,248,172,199,272,119,81,2.04,29
2014-02-24,严重污染,253,169,203,273,102,87,2.20,26
2014-02-25,重度污染,210,151,164,233,69,60,2.05,48
2014-02-26,中度污染,154,132,116,162,79,52,1.12,32
2014-02-27,良,100,111,72,128,69,51,1.28,27
2014-02-28,良,82,134,58,94,70,63,1.08,18
2014-03-01,中度污染,195,188,150,211,84,74,1.76,14
2014-03-02,重度污染,228,183,178,262,95,84,2.37,16
2014-03-03,中度污染,169,170,129,195,61,65,1.49,32
2014-03-04,中度污染,177,182,135,207,75,69,1.90,33
2014-03-05,良,92,137,68,118,62,58,1.35,25
2014-03-06,轻度污染,108,160,81,122,54,54,1.37,27
2014-03-07,轻度污染,123,162,93,147,63,55,1.48,28
2014-03-08,轻度污染,119,145,89,127,85,41,1.37,50
2014-03-09,轻度污染,102,118,76,118,102,47,1.46,52
2014-03-10,轻度污染,104,106,78,136,96,50,1.34,58
2014-03-11,良,98,82,72,132,102,64,1.47,45
2014-03-12,中度污染,151,173,95,198,62,52,1.80,21
2014-03-13,良,89,129,61,91,60,30,1.54,35
2014-03-14,良,69,24,36,87,108,37,1.20,45
2014-03-15,良,87,46,49,122,97,50,1.24,45
2014-03-16,中度污染,156,175,87,233,127,60,1.59,51
2014-03-17,重度污染,242,174,142,376,143,71,1.96,60
2014-03-18,严重污染,311,181,107,428,69,56,1.48,40
2014-03-19,轻度污染,128,147,84,205,74,53,1.35,26
2014-03-20,良,84,113,53,117,66,45,1.21,37
2014-03-21,良,96,163,64,140,90,50,1.46,46
2014-03-22,良,81,88,56,106,70,43,1.28,67
2014-03-23,良,81,62,55,107,66,45,1.35,54
2014-03-25,中度污染,166,150,125,223,122,74,2.43,38
2014-03-26,重度污染,208,167,159,248,137,69,2.48,56
2014-03-27,轻度污染,118,103,87,138,58,42,1.50,67
2014-03-28,良,81,93,44,110,49,34,1.42,66
2014-03-29,轻度污染,131,136,98,188,74,44,2.16,69
2014-03-30,轻度污染,113,129,81,157,68,55,1.77,45
2014-03-31,良,68,56,44,83,53,29,1.32,78
2014-04-01,良,89,104,63,111,58,32,1.74,86
2014-04-02,轻度污染,113,158,80,165,95,59,1.85,66
2014-04-03,轻度污染,110,162,82,140,50,43,2.01,47
2014-04-04,轻度污染,123,170,91,136,55,37,2.02,59
2014-04-05,良,91,117,35,129,42,24,1.15,74
2014-04-06,良,84,105,45,118,55,43,1.39,60
2014-04-07,良,97,130,66,138,84,44,1.71,64
2014-04-08,轻度污染,133,135,100,196,88,57,2.22,80
2014-04-09,轻度污染,122,121,90,176,82,48,2.01,111
2014-04-10,轻度污染,114,130,75,169,56,49,1.73,66
2014-04-11,良,88,109,58,103,37,52,1.79,18
2014-04-12,轻度污染,122,153,92,116,22,51,2.18,25
2014-04-13,中度污染,162,163,123,162,27,40,2.08,48
2014-04-14,良,74,58,51,76,18,33,0.85,90
2014-04-15,良,78,77,57,74,14,38,1.10,72
2014-04-16,轻度污染,110,164,83,105,24,33,1.60,61
2014-04-17,轻度污染,130,158,98,134,25,37,1.65,63
2014-04-18,轻度污染,135,164,102,154,30,49,1.69,37
2014-04-19,良,75,147,55,75,27,34,1.52,42
2014-04-20,良,69,90,48,84,43,29,1.56,51
2014-04-21,良,94,135,69,129,44,40,1.53,32
2014-04-22,良,64,62,41,72,34,21,1.27,72
2014-04-23,良,99,123,72,136,33,38,1.29,56
2014-04-24,轻度污染,108,154,80,137,25,26,1.03,83
2014-04-25,良,75,99,51,96,45,40,1.22,56
2014-04-26,良,74,125,38,97,44,29,1.14,45
2014-04-27,良,87,138,43,122,54,32,1.33,66
2014-04-28,良,79,124,38,101,52,41,1.34,74
2014-04-29,良,82,79,46,113,64,39,1.49,85
2014-04-30,轻度污染,119,160,81,180,65,44,1.69,104
2014-05-01,中度污染,152,169,78,220,35,35,1.15,99
2014-05-02,良,75,73,27,98,23,17,0.60,82
2014-05-03,良,81,104,36,110,52,34,0.94,63
2014-05-04,良,84,152,30,117,41,25,0.71,68
2014-05-05,良,82,146,35,112,47,29,1.01,86
2014-05-06,轻度污染,116,177,43,174,63,31,1.21,99
2014-05-07,轻度污染,112,171,48,162,67,39,1.12,107
2014-05-08,轻度污染,110,141,61,139,50,36,1.15,150
2014-05-09,良,98,137,72,131,31,37,1.13,47
2014-05-10,良,77,157,50,93,28,39,1.07,22
2014-05-11,良,68,154,38,75,23,21,0.95,32
2014-05-12,良,72,91,35,92,49,32,0.87,36
2014-05-13,良,81,85,49,110,55,42,1.16,26
2014-05-14,良,81,100,47,109,42,33,1.21,31
2014-05-15,良,68,70,34,85,56,30,0.97,51
2014-05-16,良,83,73,50,115,75,42,1.14,66
2014-05-17,轻度污染,112,148,70,164,66,45,1.35,79
2014-05-18,良,96,126,52,120,48,38,0.99,111
2014-05-19,良,98,119,61,142,58,33,0.94,80
2014-05-20,轻度污染,101,108,56,148,62,32,0.90,93
2014-05-21,轻度污染,120,129,61,167,67,35,0.98,104
2014-05-22,轻度污染,130,146,96,161,46,32,1.25,109
2014-05-23,良,87,120,55,96,43,28,0.93,94
2014-05-24,良,99,160,74,87,12,31,1.13,66
2014-05-25,轻度污染,133,151,85,185,28,20,0.83,70
2014-05-26,轻度污染,106,109,66,160,52,26,0.93,76
2014-05-27,良,98,78,61,144,55,35,0.93,82
2014-05-28,轻度污染,129,145,61,136,72,47,1.28,122
2014-05-29,轻度污染,116,104,64,129,64,47,1.07,132
2014-05-30,轻度污染,118,107,87,167,77,61,1.36,87
2014-05-31,轻度污染,148,149,112,185,53,62,1.50,70
2014-06-01,轻度污染,134,183,95,124,32,30,1.09,107
