日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,191,84,147,252,59,70,1.86,95
2013-10-29,严重污染,274,102,226,339,101,79,2.53,38
2013-10-30,轻度污染,122,81,92,173,86,68,1.77,38
2013-10-31,中度污染,198,104,152,274,69,93,2.56,16
2013-11-01,中度污染,178,95,135,196,74,79,2.36,17
2013-11-02,重度污染,209,96,162,238,121,74,2.37,16
2013-11-03,轻度污染,134,77,100,174,58,47,1.57,32
2013-11-04,良,93,59,63,133,53,55,1.73,34
2013-11-05,轻度污染,105,67,77,146,65,50,1.16,57
2013-11-06,轻度污染,148,77,123,202,65,50,1.25,64
2013-11-07,轻度污染,122,72,53,139,63,60,0.84,35
2013-11-08,轻度污染,107,60,84,185,65,79,1.51,37
2013-11-09,中度污染,164,88,154,248,62,73,2.31,22
2013-11-10,中度污染,178,106,82,135,46,48,1.41,34
2013-11-11,良,78,89,58,123,70,60,1.40,26
2013-11-12,良,95,87,71,146,73,70,1.63,28
2013-11-13,轻度污染,118,85,108,187,105,77,1.63,26
2013-11-14,中度污染,164,88,129,221,101,71,1.62,33
2013-11-15,轻度污染,146,76,95,221,93,56,1.16,43
2013-11-16,中度污染,151,70,86,239,83,51,1.08,41
2013-11-17,良,98,56,43,91,80,50,1.04,31
2013-11-18,良,77,40,51,103,66,55,1.20,27
2013-11-19,良,82,41,71,142,114,65,1.72,25
2013-11-20,中度污染,151,83,159,297,200,101,2.66,20
2013-11-21,严重污染,253,108,237,407,202,127,4.12,17
2013-11-22,严重污染,287,103,203,335,111,105,3.04,27
2013-11-23,重度污染,201,73,118,190,65,56,1.39,42
2013-11-24,轻度污染,139,62,101,137,37,45,1.29,24
2013-11-25,轻度污染,102,82,45,83,42,32,1.00,33
2013-11-26,良,63,20,55,109,93,44,1.12,25
2013-11-27,良,76,39,21,71,33,26,0.63,41
2013-11-28,良,64,51,39,83,70,41,0.94,25
2013-11-29,良,73,57,52,110,100,46,1.09,29
2013-11-30,良,95,64,112,195,101,66,1.56,28
2013-12-01,中度污染,174,101,100,167,78,60,1.43,30
2013-12-02,轻度污染,143,63,134,219,103,74,1.67,34
2013-12-03,重度污染,220,76,205,345,153,102,2.89,19
2013-12-04,重度污染,204,70,107,187,106,72,1.60,31
2013-12-05,中度污染,187,66,166,247,112,70,1.44,28
2013-12-06,轻度污染,135,62,96,172,93,67,1.33,23
2013-12-07,中度污染,197,63,203,309,106,85,1.87,30
2013-12-08,严重污染,328,90,286,398,72,85,2.34,11
2013-12-09,严重污染,259,91,96,160,62,44,1.05,29
2013-12-10,良,90,35,91,168,91,61,1.06,22
2013-12-11,轻度污染,104,50,46,108,80,45,0.71,28
2013-12-12,良,97,44,67,166,101,55,0.98,27
2013-12-13,轻度污染,102,47,72,182,150,82,1.21,18
2013-12-14,中度污染,185,91,201,376,213,115,2.59,15
2013-12-15,严重污染,327,108,279,500,212,132,3.43,14
2013-12-16,严重污染,393,110,275,468,203,134,3.17,14
2013-12-17,严重污染,287,105,215,372,175,105,2.31,13
2013-12-18,中度污染,178,92,67,117,79,45,0.82,25
2013-12-19,中度污染,151,88,142,226,132,75,1.33,14
2013-12-20,重度污染,205,81,149,237,114,87,1.54,18
2013-12-21,中度污染,151,63,86,165,125,81,1.47,20
2013-12-22,轻度污染,132,59,117,197,131,83,1.53,15
2013-12-23,重度污染,202,75,199,330,141,100,1.75,16
2013-12-24,严重污染,315,93,303,464,199,129,2.69,15
2013-12-25,严重污染,354,94,321,483,176,120,2.14,18
2013-12-26,严重污染,325,99,131,240,57,52,0.87,30
2013-12-27,良,97,45,70,135,107,64,1.04,19
2013-12-28,轻度污染,119,69,100,187,127,74,1.33,18
2013-12-29,轻度污染,114,63,73,153,106,60,0.87,27
2013-12-30,轻度污染,111,44,82,188,138,76,1.14,20
2013-12-31,轻度污染,135,116,75,237,130,69,1.06,23
2014-01-01,轻度污染,138,113,71,207,138,73,1.35,19
2014-01-02,轻度污染,144,95,100,241,149,83,2.10,18
2014-01-03,重度污染,212,150,158,312,173,93,2.28,14
2014-01-04,轻度污染,121,92,86,171,107,62,1.41,21
2014-01-05,重度污染,243,162,194,318,130,80,1.87,15
2014-01-06,严重污染,410,190,375,605,162,117,4.19,12
2014-01-07,严重污染,425,190,398,613,150,109,3.77,13
2014-01-08,轻度污染,125,156,93,154,120,55,1.56,19
2014-01-09,轻度污染,120,153,89,162,148,58,1.47,19
2014-01-10,中度污染,194,162,148,241,109,62,1.83,19
2014-01-11,重度污染,204,148,155,240,114,69,1.95,25
2014-01-12,重度污染,234,184,188,297,178,83,2.51,15
2014-01-13,轻度污染,135,148,102,179,125,64,1.66,17
2014-01-14,重度污染,231,170,181,294,130,73,2.07,15
2014-01-15,重度污染,247,145,196,303,117,70,1.90,32
2014-01-16,重度污染,220,140,177,286,105,65,1.64,38
2014-01-17,严重污染,344,179,281,425,128,77,3.02,10
2014-01-18,中度污染,189,109,144,227,105,75,2.01,20
2014-01-19,严重污染,256,145,202,341,142,87,2.28,25
2014-01-20,重度污染,201,161,89,273,66,52,1.25,32
2014-01-21,良,62,23,32,72,59,50,1.07,32
2014-01-22,良,100,94,59,149,70,48,0.98,52
2014-01-24,重度污染,219,156,171,305,176,106,3.43,14
2014-01-25,中度污染,152,119,109,197,124,63,2.38,26
2014-01-26,良,84,94,53,118,81,51,1.40,30
2014-01-27,轻度污染,117,122,67,166,67,44,1.17,49
2014-01-28,轻度污染,126,127,88,182,111,55,1.69,30
2014-01-29,轻度污染,126,128,86,162,61,28,1.16,76
2014-01-30,严重污染,316,181,264,391,131,59,2.55,31
2014-01-31,严重污染,489,190,444,614,167,67,4.14,10
