日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,44,32,21,44,12,25,0.71,39
2015-01-02,优,46,40,25,48,13,33,0.90,27
2015-01-03,良,66,47,42,80,27,51,1.16,23
2015-01-04,良,93,77,65,122,19,56,1.35,38
2015-01-05,良,97,120,70,120,16,48,1.15,17
2015-01-06,轻度污染,127,312,95,112,10,36,1.49,20
2015-01-07,良,58,77,41,57,9,22,0.87,31
2015-01-08,良,84,150,61,97,13,27,1.03,33
2015-01-09,良,95,147,70,115,19,37,1.05,30
2015-01-10,轻度污染,127,216,95,157,25,53,1.31,13
2015-01-11,轻度污染,138,243,104,162,16,42,1.26,21
2015-01-12,轻度污染,109,237,81,125,18,35,0.95,28
2015-01-13,良,79,168,57,72,6,16,0.81,30
2015-01-14,良,52,80,35,48,4,18,0.84,16
2015-01-15,良,55,54,37,58,5,18,0.94,17
2015-01-16,良,84,131,61,88,10,22,1.05,19
2015-01-17,轻度污染,135,268,102,147,16,26,1.12,34
2015-01-18,轻度污染,136,281,102,152,21,31,1.15,36
2015-01-19,轻度污染,129,291,98,157,16,30,1.17,31
2015-01-20,良,94,171,69,119,15,33,1.03,18
2015-01-21,轻度污染,114,202,85,129,21,27,1.26,27
2015-01-22,良,97,165,71,115,12,22,1.00,37
2015-01-23,良,96,98,69,133,16,37,1.25,17
2015-01-24,良,91,102,67,111,12,28,1.00,28
2015-01-25,良,93,114,68,102,15,32,1.14,15
2015-01-26,中度污染,199,281,150,188,12,36,2.08,4
2015-01-27,良,77,160,56,71,2,26,1.76,9
2015-01-28,优,34,47,23,29,2,14,0.81,17
2015-01-29,优,23,12,15,18,2,17,0.65,12
2015-01-30,优,35,30,24,31,3,17,0.67,14
2015-01-31,良,90,253,66,79,8,16,0.91,26
2015-02-01,良,78,178,56,64,3,15,1.06,21
2015-02-02,良,57,47,40,46,2,14,0.88,13
2015-02-03,良,56,47,40,49,2,17,0.95,10
2015-02-04,轻度污染,108,194,81,106,10,25,1.06,13
2015-02-05,轻度污染,101,238,75,111,18,24,1.38,23
2015-02-06,良,71,78,50,81,13,17,0.94,35
2015-02-07,良,99,185,74,116,14,24,0.93,32
2015-02-08,轻度污染,119,311,89,133,17,21,0.76,36
2015-02-09,良,54,61,35,58,8,14,0.45,36
2015-02-10,良,76,107,54,91,13,24,0.63,27
2015-02-11,良,99,166,73,119,18,27,0.75,31
2015-02-12,轻度污染,134,238,101,153,19,29,0.87,32
2015-02-13,轻度污染,114,225,85,132,13,25,0.81,35
2015-02-14,良,96,131,71,113,10,21,0.59,33
2015-02-15,良,76,105,55,74,7,15,0.63,32
2015-02-16,轻度污染,123,230,91,136,18,16,1.09,37
2015-02-17,轻度污染,143,288,108,152,14,14,0.98,51
2015-02-18,轻度污染,149,327,114,157,22,6,0.77,50
2015-02-19,轻度污染,139,241,105,147,26,6,0.56,57
2015-02-20,良,69,212,49,60,3,6,0.56,38
2015-02-21,优,36,27,25,29,3,12,0.65,14
2015-02-22,优,44,57,30,38,3,7,0.62,20
2015-02-23,良,67,149,48,54,3,5,0.77,40
2015-02-24,良,52,95,37,45,3,8,0.86,17
2015-02-25,优,34,33,23,30,3,7,0.76,14
2015-02-26,优,22,3,14,20,4,5,0.43,28
2015-02-27,优,19,6,11,14,3,5,0.48,38
2015-02-28,优,21,9,11,14,3,8,0.42,32
2015-03-01,优,32,42,21,30,4,6,0.40,35
2015-03-02,优,47,53,29,46,5,9,0.55,26
2015-03-03,良,51,76,30,62,6,8,0.50,35
2015-03-04,良,95,326,66,119,8,8,0.54,41
2015-03-05,优,47,114,32,34,3,7,0.43,30
2015-03-06,优,41,72,28,36,3,9,0.49,16
2015-03-07,优,50,78,35,46,4,11,0.63,19
2015-03-08,优,36,18,25,32,4,13,0.55,12
2015-03-09,良,62,153,44,60,5,10,0.53,38
2015-03-10,良,84,263,61,81,5,10,0.54,44
2015-03-11,良,67,170,47,72,7,13,0.46,35
2015-03-12,轻度污染,102,257,76,113,24,24,0.84,56
2015-03-13,良,90,219,65,102,15,25,0.73,28
2015-03-14,良,81,151,59,83,8,20,0.64,18
2015-03-15,良,67,87,48,59,8,14,0.63,19
2015-03-16,良,71,127,51,67,9,21,1.01,9
2015-03-17,良,57,95,38,60,10,16,0.91,12
2015-03-18,良,56,126,39,51,11,22,0.90,13
2015-03-19,优,32,13,21,29,6,14,0.61,19
2015-03-20,良,57,105,39,51,8,22,0.90,13
2015-03-21,良,56,66,39,50,8,20,0.87,29
2015-03-22,良,52,39,34,58,8,19,0.72,23
2015-03-23,良,85,273,61,97,12,18,0.63,53
2015-03-24,良,70,204,47,84,12,20,0.46,43
2015-03-25,良,56,119,34,61,13,14,0.40,59
2015-03-26,良,59,140,37,63,13,18,0.44,54
2015-03-27,良,66,157,47,62,13,19,0.54,49
2015-03-28,良,81,175,59,88,19,32,0.66,41
2015-03-29,良,78,146,57,84,15,27,0.61,26
2015-03-30,良,52,67,35,50,13,26,0.82,27
2015-03-31,良,62,138,42,70,17,29,0.83,29
2015-04-01,良,62,172,43,64,17,16,0.57,42
2015-04-02,良,51,116,32,54,12,9,0.61,54
2015-04-03,优,28,9,15,26,8,9,0.88,48
2015-04-04,优,42,39,27,40,9,16,0.86,38
2015-04-05,优,41,53,27,38,8,13,0.88,35
2015-04-06,优,24,5,14,21,7,11,0.96,31
2015-04-07,优,27,9,15,20,7,8,0.64,47
2015-04-08,优,31,26,21,27,7,10,0.61,41
2015-04-09,优,49,84,33,48,10,19,0.80,28
2015-04-10,良,64,162,45,63,14,19,0.79,44
2015-04-11,良,73,189,52,74,13,22,0.83,47
2015-04-12,良,89,315,63,106,18,25,0.84,67
2015-04-13,良,67,201,37,82,12,15,0.48,58
2015-04-14,良,66,118,44,75,19,25,0.62,54
2015-04-15,良,88,186,61,115,22,38,0.65,38
2015-04-16,良,93,179,68,106,24,31,0.70,46
2015-04-17,良,100,205,74,121,17,32,0.69,41
2015-04-18,良,85,197,62,103,19,23,0.62,58
2015-04-19,良,68,218,48,66,9,23,0.77,13
2015-04-20,优,37,29,24,34,8,15,0.71,33
2015-04-21,良,65,178,46,70,10,20,0.53,50
2015-04-22,良,81,254,58,94,16,32,0.58,41
2015-04-23,良,84,234,60,108,18,35,0.64,53
2015-04-24,良,100,287,75,109,14,35,0.68,35
2015-04-25,良,71,119,51,78,8,21,0.61,38
2015-04-26,良,68,86,43,84,12,24,0.65,47
2015-04-27,良,83,196,60,99,14,24,0.74,39
2015-04-28,良,90,265,66,104,13,26,0.77,34
2015-04-29,良,91,265,65,120,14,26,0.84,38
2015-04-30,良,86,201,55,117,12,27,0.76,53
2015-05-01,良,86,251,59,109,10,19,0.63,51
2015-05-02,良,60,180,41,61,6,15,0.70,38
2015-05-03,良,54,89,37,54,5,12,0.54,63
2015-05-04,良,81,258,58,85,11,15,0.68,56
2015-05-05,良,80,218,58,85,8,13,0.87,69
2015-05-06,良,73,159,52,78,13,14,0.96,54
2015-05-07,良,85,203,62,90,11,18,0.75,43
2015-05-08,良,58,129,39,59,9,19,0.68,34
2015-05-09,优,45,74,28,45,9,13,0.56,36
2015-05-10,良,64,183,45,68,16,12,0.71,44
2015-05-11,优,32,20,20,27,6,11,0.68,47
2015-05-12,良,66,211,42,80,17,19,0.62,39
2015-05-13,良,70,164,43,86,17,19,0.54,37
2015-05-14,优,50,76,34,45,6,15,0.58,35
2015-05-15,优,37,39,24,34,7,18,0.63,31
2015-05-16,优,39,51,25,36,7,14,0.64,34
2015-05-17,优,48,76,29,48,7,10,0.61,30
2015-05-18,良,54,104,36,56,7,17,0.74,18
2015-05-19,优,48,96,30,49,9,12,0.67,27
2015-05-20,良,71,211,46,82,8,11,0.72,49
2015-05-21,良,73,247,47,89,8,11,0.54,84
2015-05-22,良,73,205,44,93,11,18,0.57,56
2015-05-23,轻度污染,102,289,73,124,13,23,0.80,43
2015-05-24,轻度污染,128,330,96,141,12,17,0.78,45
2015-05-25,轻度污染,123,303,92,141,9,19,0.69,51
2015-05-26,轻度污染,103,257,76,124,7,15,0.59,48
2015-05-27,良,55,104,36,55,3,13,0.68,34
2015-05-28,良,65,175,43,74,12,18,0.86,23
2015-05-29,良,66,236,44,74,7,19,0.98,31
2015-05-30,良,53,137,33,51,6,14,1.21,26
2015-05-31,良,56,106,33,60,7,13,0.86,37
2015-06-01,良,63,145,42,73,12,16,0.81,31
2015-06-02,优,48,109,26,49,4,11,0.64,25
2015-06-03,优,38,62,19,37,2,9,0.74,32
2015-06-04,优,34,26,18,32,4,11,0.42,44
2015-06-05,良,60,172,42,66,12,15,0.65,57
2015-06-06,良,66,180,45,74,9,15,0.62,35
2015-06-07,良,56,160,33,61,10,15,0.63,28
2015-06-08,优,33,45,16,32,5,16,0.70,15
2015-06-09,优,39,66,27,37,5,15,0.82,27
2015-06-10,优,45,81,28,43,7,13,1.01,26
2015-06-11,良,58,174,38,63,8,14,0.91,33
2015-06-12,良,68,228,45,80,9,15,0.81,39
2015-06-13,优,49,124,25,49,12,13,0.62,38
2015-06-14,优,34,45,17,33,5,10,0.59,29
2015-06-15,优,38,62,22,37,7,13,0.52,24
2015-06-16,优,45,94,25,46,5,13,0.49,27
2015-06-17,良,52,153,30,55,10,16,0.46,42
2015-06-18,优,27,15,11,26,7,11,0.61,40
2015-06-19,优,40,66,20,39,11,9,0.62,48
2015-06-20,良,53,145,31,55,9,11,0.76,29
2015-06-21,良,55,137,37,52,8,9,0.64,55
2015-06-22,优,28,29,17,26,6,12,0.65,35
2015-06-23,优,35,60,18,34,6,10,0.62,23
2015-06-24,优,43,138,20,42,8,11,0.63,22
2015-06-25,优,42,152,18,41,12,12,0.59,28
2015-06-26,优,43,123,22,43,12,10,0.64,36
2015-06-27,优,49,182,24,49,10,10,0.68,43
2015-06-28,良,55,215,31,58,12,12,0.55,45
2015-06-29,良,55,226,31,58,12,10,0.69,46
2015-06-30,良,60,263,36,68,8,12,0.57,55
2015-07-01,优,35,47,20,32,4,11,0.68,32
2015-07-02,良,55,194,36,56,5,10,0.77,37
2015-07-03,良,59,212,40,64,7,9,0.76,44
2015-07-04,优,47,124,31,47,7,9,0.53,56
2015-07-05,优,27,16,16,24,4,7,0.49,48
2015-07-06,优,26,8,10,22,4,7,0.43,49
2015-07-07,优,28,9,12,25,4,6,0.49,45
2015-07-08,优,38,30,23,37,4,7,0.54,40
2015-07-09,优,33,24,15,32,6,8,0.57,29
2015-07-10,优,41,83,20,40,5,8,0.48,34
2015-07-11,优,48,130,24,49,7,9,0.38,29
2015-07-12,优,47,99,23,49,7,12,0.46,28
2015-07-13,良,75,190,47,95,14,15,0.75,43
2015-07-14,良,89,257,65,102,12,16,0.74,37
2015-07-15,良,86,289,62,93,9,14,1.33,37
2015-07-16,良,77,285,56,86,7,11,0.69,37
2015-07-17,良,54,178,32,55,8,12,0.92,39
2015-07-18,良,57,172,39,61,8,11,0.93,40
2015-07-19,优,47,94,26,49,6,11,0.82,20
2015-07-20,优,43,69,24,42,5,10,0.77,37
2015-07-21,优,33,59,17,32,12,10,0.62,30
2015-07-22,优,41,95,20,41,6,11,0.65,41
2015-07-23,优,39,112,21,38,7,9,0.62,33
2015-07-24,优,30,40,17,28,8,11,0.42,36
2015-07-25,优,31,34,18,29,7,13,0.62,25
2015-07-26,优,37,62,19,36,9,11,0.65,30
2015-07-27,优,46,104,23,47,12,11,0.62,36
2015-07-28,良,55,184,28,59,14,14,0.62,43
2015-07-29,良,59,213,31,67,15,13,0.55,49
