日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,196,179,132,218,188,75,1.68,44
2014-01-01,重度污染,212,182,180,286,124,71,1.97,38
2014-01-02,重度污染,243,187,200,335,81,84,1.92,20
2014-01-03,重度污染,204,140,158,269,84,72,1.74,40
2014-01-04,中度污染,180,153,137,261,144,70,1.65,32
2014-01-05,严重污染,260,175,199,350,159,83,2.11,39
2014-01-06,严重污染,285,178,214,367,61,65,2.01,21
2014-01-07,严重污染,333,184,259,414,47,57,2.22,19
2014-01-08,中度污染,193,182,146,217,62,36,1.85,30
2014-01-09,重度污染,208,186,159,271,121,64,2.32,21
2014-01-10,重度污染,234,175,184,305,66,64,2.38,9
2014-01-11,轻度污染,147,125,111,181,39,39,1.86,34
2014-01-12,轻度污染,143,138,108,183,66,50,2.01,22
2014-01-13,中度污染,181,172,139,259,154,71,2.36,24
2014-01-14,严重污染,394,190,295,505,172,70,2.84,34
2014-01-15,严重污染,278,155,219,369,83,62,2.35,29
2014-01-16,严重污染,287,166,221,381,89,66,2.51,30
2014-01-17,严重污染,365,182,272,467,93,87,2.83,28
2014-01-18,严重污染,301,171,231,399,149,72,2.57,34
2014-01-19,重度污染,223,128,173,313,133,72,2.50,33
2014-01-20,重度污染,216,172,153,300,80,65,2.35,40
2014-01-21,轻度污染,135,167,93,219,98,62,2.10,28
2014-01-22,轻度污染,139,156,105,208,149,56,2.13,55
2014-01-24,中度污染,158,118,120,214,93,47,2.11,77
2014-01-25,重度污染,240,176,187,333,77,54,2.31,61
2014-01-26,严重污染,276,181,210,374,83,69,2.99,38
2014-01-27,严重污染,428,190,306,530,110,69,3.50,42
2014-01-28,严重污染,390,190,290,498,49,47,3.02,36
2014-01-29,严重污染,264,175,214,338,72,35,2.70,42
2014-01-30,重度污染,215,123,168,284,33,23,2.97,24
2014-01-31,严重污染,377,176,326,549,50,38,3.20,17
2014-02-01,重度污染,245,164,194,341,24,23,2.96,37
2014-02-02,严重污染,256,162,205,345,44,37,3.42,33
2014-02-03,重度污染,226,184,172,325,35,22,3.28,43
2014-02-04,轻度污染,113,167,72,171,19,14,2.49,28
2014-02-05,良,93,169,47,136,11,11,2.05,36
2014-02-06,良,90,145,59,122,28,20,2.32,23
2014-02-07,良,81,138,59,95,46,20,2.32,37
2014-02-08,良,99,150,74,117,40,21,2.30,35
2014-02-09,轻度污染,145,189,110,171,64,19,2.09,56
2014-02-10,轻度污染,104,168,77,128,37,19,1.70,55
2014-02-11,良,98,122,73,126,62,37,1.49,47
2014-02-12,轻度污染,130,134,103,139,34,31,1.02,57
2014-02-13,中度污染,166,162,126,201,51,30,0.99,67
2014-02-14,中度污染,196,158,150,246,123,51,1.40,39
2014-02-15,中度污染,179,134,135,214,111,47,1.29,32
2014-02-16,轻度污染,150,141,114,190,48,47,1.19,20
2014-02-17,重度污染,214,181,165,252,38,36,1.65,26
2014-02-18,良,84,127,61,95,23,26,1.12,35
2014-02-19,轻度污染,111,136,83,135,93,39,1.35,39
2014-02-20,轻度污染,144,132,110,165,176,34,1.54,46
2014-02-21,轻度污染,111,67,82,160,84,54,1.58,37
2014-02-22,中度污染,164,128,124,213,59,49,1.73,26
2014-02-23,重度污染,203,150,155,270,51,51,1.84,17
2014-02-24,重度污染,236,157,185,297,32,40,1.93,15
2014-02-25,中度污染,186,136,141,229,39,31,1.74,31
2014-02-26,重度污染,212,170,161,275,58,45,1.95,44
2014-02-27,中度污染,162,177,123,221,41,45,2.20,22
2014-02-28,良,90,146,65,109,12,30,1.68,24
2014-03-01,良,100,146,75,123,31,30,1.51,40
2014-03-02,轻度污染,134,147,101,201,53,35,1.77,30
2014-03-03,中度污染,172,172,130,236,82,42,1.95,28
2014-03-04,中度污染,183,183,141,230,78,54,2.23,38
2014-03-05,中度污染,188,187,142,270,83,65,2.18,41
2014-03-06,轻度污染,138,178,104,180,35,34,1.64,42
2014-03-07,良,92,143,67,123,38,27,1.27,56
2014-03-08,轻度污染,106,134,79,145,42,45,1.31,74
2014-03-09,轻度污染,125,144,94,175,72,49,1.36,66
2014-03-10,中度污染,154,148,117,217,104,59,1.72,69
2014-03-11,轻度污染,124,123,93,169,76,42,1.50,35
2014-03-12,轻度污染,142,166,99,199,36,38,1.49,31
2014-03-13,良,100,159,73,142,38,35,0.85,51
2014-03-14,轻度污染,132,179,99,167,44,42,1.10,54
2014-03-15,良,98,90,70,131,33,32,0.96,66
2014-03-16,轻度污染,116,113,87,155,25,35,1.13,51
2014-03-17,轻度污染,106,74,79,126,26,33,1.30,59
2014-03-18,重度污染,245,161,206,147,34,40,1.50,32
2014-03-19,中度污染,162,177,103,267,28,32,1.25,63
2014-03-20,良,95,154,58,138,22,35,0.87,66
2014-03-21,良,89,143,63,124,82,52,0.97,59
2014-03-22,轻度污染,103,145,77,140,75,52,1.15,78
2014-03-23,轻度污染,120,141,91,151,61,38,1.18,75
2014-03-25,良,94,73,70,103,49,40,1.38,40
2014-03-26,轻度污染,112,99,84,147,80,51,1.65,41
2014-03-27,轻度污染,105,77,78,122,60,34,1.36,48
2014-03-28,轻度污染,102,117,76,114,24,28,1.36,33
2014-03-29,轻度污染,101,117,63,128,41,38,1.24,74
2014-03-30,轻度污染,128,155,93,196,57,48,1.46,64
2014-03-31,良,92,120,61,124,22,25,1.12,100
2014-04-01,良,83,95,57,111,52,52,1.22,71
2014-04-02,轻度污染,104,140,77,147,94,60,1.46,67
2014-04-03,轻度污染,112,163,83,156,45,40,1.21,97
2014-04-04,轻度污染,122,168,90,175,57,39,1.33,105
2014-04-05,中度污染,163,183,121,211,77,46,1.48,93
2014-04-06,良,93,132,67,133,27,31,1.23,73
2014-04-07,良,100,135,75,142,62,42,1.39,70
2014-04-08,轻度污染,138,141,103,190,76,47,1.76,45
2014-04-09,轻度污染,106,92,79,135,53,47,1.92,73
2014-04-10,轻度污染,128,146,96,153,58,39,1.72,67
2014-04-11,良,57,22,38,54,9,22,1.44,59
2014-04-12,良,81,112,59,88,12,31,1.72,61
2014-04-13,轻度污染,125,151,95,149,27,30,1.85,82
2014-04-14,良,86,88,60,109,41,34,1.39,75
2014-04-15,良,90,105,66,106,18,34,1.47,32
2014-04-16,良,64,59,45,70,8,23,1.33,50
2014-04-17,良,73,72,53,82,16,29,1.37,69
2014-04-18,良,65,69,47,71,13,28,1.40,48
2014-04-19,优,45,29,30,41,9,17,1.18,73
2014-04-20,良,62,74,44,68,18,23,1.19,78
2014-04-21,良,52,37,35,54,13,24,1.12,58
2014-04-22,良,69,75,44,77,41,31,0.91,79
2014-04-23,良,83,79,61,107,92,45,1.07,52
2014-04-24,良,90,115,66,112,29,38,1.21,25
2014-04-25,良,61,64,42,63,11,26,1.16,44
2014-04-26,优,44,37,20,45,12,18,0.75,73
2014-04-27,良,84,132,41,117,23,35,0.95,76
2014-04-28,良,98,162,51,131,36,44,1.07,96
2014-04-29,轻度污染,106,151,77,153,47,63,1.51,74
2014-04-30,良,80,54,54,105,40,28,1.09,69
2014-05-01,良,80,43,52,108,49,35,1.12,87
2014-05-02,轻度污染,120,165,55,187,19,27,0.87,63
2014-05-03,轻度污染,104,156,53,157,30,43,1.01,38
2014-05-04,良,86,158,45,121,20,36,1.08,46
2014-05-05,轻度污染,111,187,75,171,78,65,1.43,57
2014-05-06,良,94,143,66,128,46,41,1.28,86
2014-05-07,良,94,131,68,122,49,30,1.32,104
2014-05-08,轻度污染,109,134,81,141,47,31,1.43,75
2014-05-09,良,89,123,59,113,19,24,1.32,54
2014-05-10,良,51,65,28,51,11,18,1.17,51
2014-05-11,良,71,164,31,84,22,35,1.40,78
2014-05-12,轻度污染,105,175,71,139,49,58,1.70,86
2014-05-13,严重污染,311,190,252,397,72,61,2.27,65
2014-05-14,良,97,133,69,120,33,31,1.38,64
2014-05-15,良,79,100,44,102,35,43,1.39,87
2014-05-16,重度污染,234,190,185,298,65,42,1.78,79
2014-05-17,良,90,99,64,113,21,34,0.97,40
2014-05-18,轻度污染,113,156,84,146,29,36,1.13,76
2014-05-19,严重污染,317,189,262,405,39,50,2.05,67
2014-05-20,严重污染,266,189,211,352,41,46,1.80,71
2014-05-21,重度污染,212,188,162,281,46,44,1.61,51
2014-05-22,良,92,83,68,117,18,34,1.24,76
2014-05-23,重度污染,208,187,166,263,30,63,1.98,30
2014-05-24,严重污染,255,186,206,288,19,41,1.89,38
2014-05-25,中度污染,165,168,110,231,15,32,1.39,61
2014-05-26,轻度污染,125,130,69,194,27,46,1.24,42
2014-05-27,良,87,57,57,119,32,34,1.32,84
2014-05-28,轻度污染,137,159,98,177,35,56,1.83,70
2014-05-29,中度污染,175,176,127,255,24,51,1.71,53
2014-05-30,良,85,69,56,106,40,26,1.02,68
2014-05-31,轻度污染,147,148,110,202,10,32,1.30,23
2014-06-01,良,85,132,60,109,6,22,1.11,44
2014-06-02,轻度污染,103,169,74,131,10,25,1.15,90
2014-06-03,良,97,169,71,100,15,27,0.97,99
2014-06-04,良,93,145,67,113,22,23,0.99,111
