日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,重度污染,225,185,169,202,43,74,1.37,16
2014-01-01,重度污染,236,185,192,147,46,64,1.21,16
2014-01-02,重度污染,208,174,139,166,50,75,1.29,15
2014-01-03,轻度污染,117,68,78,168,61,70,1.03,19
2014-01-04,轻度污染,107,68,73,161,67,63,1.17,12
2014-01-05,轻度污染,109,39,81,151,57,62,1.15,17
2014-01-06,中度污染,170,99,130,204,75,80,1.56,12
2014-01-07,中度污染,161,128,122,128,33,57,1.63,8
2014-01-08,轻度污染,125,157,94,109,27,52,1.79,2
2014-01-09,良,76,104,54,68,30,30,0.88,16
2014-01-10,良,57,13,37,63,41,29,0.67,14
2014-01-11,优,31,1,21,27,12,19,0.56,21
2014-01-12,良,72,48,52,84,28,39,1.07,7
2014-01-13,轻度污染,122,132,92,133,36,40,1.02,10
2014-01-14,轻度污染,131,108,99,145,47,39,1.11,14
2014-01-15,良,87,45,64,98,70,40,0.86,20
2014-01-16,良,86,29,60,108,55,51,0.90,15
2014-01-17,轻度污染,125,53,91,177,71,68,1.30,20
2014-01-18,中度污染,168,90,127,197,83,48,1.24,24
2014-01-19,中度污染,184,108,140,243,81,67,1.53,21
2014-01-20,轻度污染,121,78,70,168,64,53,0.83,21
2014-01-21,良,85,80,35,119,45,38,0.47,17
2014-01-22,良,61,6,34,72,42,37,0.45,20
2014-01-24,良,63,23,38,75,35,35,0.50,32
2014-01-25,中度污染,172,132,133,187,70,58,1.31,25
2014-01-26,轻度污染,135,146,102,135,43,40,1.19,24
2014-01-27,良,76,65,52,92,39,34,0.83,23
2014-01-28,轻度污染,130,129,99,140,39,41,1.15,22
2014-01-29,中度污染,151,145,114,133,32,37,1.45,12
2014-01-30,轻度污染,134,77,103,147,45,22,1.49,21
2014-01-31,中度污染,188,73,140,204,82,21,1.20,33
2014-02-01,良,85,61,60,98,48,20,0.82,39
2014-02-02,轻度污染,118,78,89,132,31,34,1.74,18
2014-02-03,良,74,93,53,77,14,27,1.65,15
2014-02-04,优,46,50,16,46,15,13,0.59,20
2014-02-05,优,26,2,16,23,10,14,0.52,16
2014-02-06,优,10,1,6,9,6,14,0.44,10
2014-02-07,优,13,2,8,11,7,13,0.42,14
2014-02-08,优,41,34,28,35,10,10,0.48,23
2014-02-09,良,60,101,42,54,22,11,0.72,28
2014-02-10,优,40,39,27,38,16,8,0.29,27
2014-02-11,优,43,5,30,42,16,12,0.28,26
2014-02-12,良,59,23,41,54,25,20,0.49,23
2014-02-13,优,39,20,27,27,12,17,0.49,23
2014-02-14,良,60,21,42,57,20,18,0.61,22
2014-02-15,良,64,28,45,59,21,22,0.68,19
2014-02-16,良,51,25,36,39,16,24,0.59,16
2014-02-17,良,52,48,36,46,21,28,1.02,6
2014-02-18,优,14,1,8,11,9,17,0.63,12
2014-02-19,优,37,33,24,33,21,18,0.60,18
2014-02-20,优,48,27,27,49,31,23,0.70,16
2014-02-21,良,59,14,25,68,28,25,0.73,28
2014-02-22,良,76,24,49,100,51,45,1.10,19
2014-02-23,轻度污染,102,61,76,104,46,40,1.05,21
2014-02-24,良,72,35,52,52,30,36,1.05,12
2014-02-25,优,30,3,20,22,20,31,1.18,8
2014-02-26,良,53,17,31,56,21,38,1.36,9
2014-02-27,优,47,20,27,48,21,35,1.10,14
2014-02-28,优,16,1,8,12,7,29,1.23,11
2014-03-01,优,16,1,10,15,5,20,0.65,15
2014-03-02,优,46,26,30,46,16,21,0.70,23
2014-03-03,良,52,27,32,54,35,27,0.82,20
2014-03-04,良,54,33,35,62,34,33,0.88,18
2014-03-05,良,61,59,39,71,29,32,0.73,29
2014-03-06,优,37,7,23,36,20,22,0.69,26
2014-03-07,优,43,36,28,40,30,26,0.63,17
2014-03-08,良,53,44,30,60,34,31,0.65,16
2014-03-09,良,61,54,35,70,33,31,0.69,21
2014-03-10,良,65,46,35,78,40,34,0.85,22
2014-03-11,良,59,20,30,67,30,31,0.64,16
2014-03-12,优,41,9,29,43,13,32,0.88,7
2014-03-13,良,74,88,49,97,19,30,0.98,9
2014-03-14,良,66,20,31,81,35,37,0.74,22
2014-03-15,良,70,14,31,88,42,32,0.63,32
2014-03-16,良,75,18,43,98,49,32,0.78,21
2014-03-17,良,70,15,37,89,44,24,0.89,28
2014-03-18,良,75,38,41,98,31,32,0.85,21
2014-03-19,良,72,34,46,93,16,25,1.13,13
2014-03-20,良,57,31,34,66,14,15,0.79,23
2014-03-21,良,63,46,34,76,21,23,0.76,24
2014-03-22,良,72,58,39,94,30,24,0.86,29
2014-03-23,良,77,52,45,103,31,32,0.85,18
2014-03-25,优,49,6,26,53,16,17,0.81,32
2014-03-26,良,64,18,34,76,29,21,0.95,33
