日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,164,71,121,252,118,106,2.25,57
2013-10-29,中度污染,169,80,126,236,114,92,1.97,40
2013-10-30,轻度污染,113,72,83,103,56,60,1.30,36
2013-10-31,轻度污染,134,80,102,73,60,71,1.12,13
2013-11-01,中度污染,152,83,105,132,53,73,1.51,11
2013-11-02,重度污染,203,95,143,178,88,77,2.40,11
2013-11-03,轻度污染,137,80,102,126,52,50,1.32,33
2013-11-04,轻度污染,120,83,86,125,106,69,1.59,14
2013-11-05,轻度污染,125,84,94,132,117,56,1.10,44
2013-11-06,重度污染,209,106,154,178,128,70,1.51,45
2013-11-07,轻度污染,137,82,61,124,137,69,0.59,22
2013-11-08,良,89,38,73,82,66,56,0.88,19
2013-11-09,轻度污染,144,80,112,135,74,72,1.64,17
2013-11-10,良,94,69,32,60,54,43,0.63,27
2013-11-11,良,63,61,42,98,87,64,1.10,20
2013-11-12,良,95,86,76,115,122,68,1.25,9
2013-11-13,中度污染,192,101,152,183,165,88,1.73,18
2013-11-14,中度污染,181,95,126,211,143,79,1.77,17
2013-11-15,轻度污染,145,75,101,236,135,75,1.94,21
2013-11-16,中度污染,164,80,89,252,111,54,1.36,30
2013-11-17,良,97,55,40,73,84,47,0.99,20
2013-11-18,良,77,41,46,88,81,55,1.14,14
2013-11-19,良,80,39,68,128,166,92,1.52,11
2013-11-20,轻度污染,117,53,105,216,253,135,1.92,8
2013-11-21,中度污染,167,78,191,291,308,128,2.71,8
2013-11-22,严重污染,298,106,246,338,227,117,2.99,15
2013-11-23,重度污染,235,85,126,187,118,85,1.32,15
2013-11-24,轻度污染,117,47,76,57,51,49,1.03,20
2013-11-25,轻度污染,121,97,72,105,65,45,1.37,21
2013-11-26,良,87,66,91,164,206,69,2.52,9
2013-11-27,轻度污染,101,74,33,74,63,35,0.84,40
2013-11-28,良,70,64,51,106,124,55,1.51,20
2013-11-29,轻度污染,104,102,104,172,233,77,2.31,12
