日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,168,73,127,158,39,31,3.13,30
2013-10-29,轻度污染,106,52,77,106,31,27,2.03,31
2013-10-30,轻度污染,115,73,36,45,16,10,0.91,8
2013-10-31,轻度污染,101,61,0,0,0,0,0.00,0
2013-11-01,良,72,40,51,74,43,22,2.92,13
2013-11-02,良,77,26,9,10,4,3,1.59,1
2013-11-03,良,71,23,0,0,0,0,0.00,0
2013-11-05,中度污染,153,104,116,171,66,38,18.22,20
2013-11-06,轻度污染,131,65,90,132,38,34,18.61,21
2013-11-07,良,99,51,43,84,41,39,12.44,18
2013-11-08,良,87,33,20,35,11,14,0.74,2
2013-11-09,良,79,34,0,0,0,0,0.00,0
2013-11-19,轻度污染,119,85,62,26,105,64,4.62,21
2013-11-20,轻度污染,143,75,56,170,103,55,4.44,19
2013-11-21,中度污染,188,88,56,172,100,61,3.93,19
2013-11-22,中度污染,170,76,56,126,80,65,3.46,25
2013-11-23,轻度污染,135,58,51,83,34,35,3.87,17
2013-11-24,良,64,14,25,78,16,9,1.75,35
2013-11-25,轻度污染,122,99,216,63,24,8,1.97,38
2013-11-26,严重污染,390,114,341,89,44,13,2.87,26
2013-11-27,中度污染,183,113,11,24,12,4,1.57,44
2013-11-28,优,28,1,17,25,15,6,1.84,38
2013-11-29,优,47,6,53,72,57,16,3.38,23
2013-11-30,良,95,65,80,106,56,17,3.66,22
2013-12-01,良,88,41,63,81,52,18,3.38,23
2013-12-02,良,97,36,90,106,78,23,3.61,22
2013-12-03,轻度污染,136,47,103,122,70,22,3.95,20
2013-12-04,良,98,24,69,79,51,22,2.81,21
2013-12-05,良,93,28,64,78,49,19,3.20,21
2013-12-06,良,79,22,69,84,55,24,3.32,22
2013-12-07,良,97,21,81,96,61,27,3.83,20
2013-12-08,轻度污染,117,19,67,77,40,17,3.17,20
2013-12-09,优,43,2,14,22,21,8,1.86,33
2013-12-10,优,42,3,38,46,39,14,2.57,24
2013-12-11,良,92,36,129,34,39,13,2.46,31
2013-12-12,轻度污染,123,66,72,69,62,22,3.60,22
2013-12-13,重度污染,226,110,969,91,71,27,4.32,21
2013-12-14,严重污染,401,114,99,89,64,32,4.41,20
2013-12-15,轻度污染,131,63,102,93,64,32,3.99,20
2013-12-16,轻度污染,116,65,86,83,56,30,3.55,20
2013-12-17,良,98,65,67,69,45,27,2.60,18
2013-12-18,良,94,72,80,89,52,30,3.15,18
2013-12-19,轻度污染,133,73,176,96,56,29,3.73,25
2013-12-20,重度污染,204,79,116,143,66,30,5.80,35
2013-12-21,中度污染,158,68,114,147,63,29,5.59,35
2013-12-22,轻度污染,131,58,95,119,62,27,4.88,36
2013-12-23,轻度污染,135,42,111,124,67,29,5.56,36
2013-12-24,严重污染,331,97,494,188,75,29,5.61,34
2013-12-25,严重污染,365,95,201,227,65,32,8.03,32
2013-12-26,轻度污染,131,40,17,46,15,8,2.96,55
2013-12-27,良,60,17,58,84,39,15,4.23,34
2013-12-28,良,89,38,45,72,32,12,3.37,52
2013-12-29,良,65,14,69,97,51,18,4.33,36
2013-12-30,轻度污染,123,68,95,138,56,21,5.22,37
2013-12-31,轻度污染,112,64,70,109,52,17,4.87,44
2014-01-01,良,80,20,73,112,68,20,5.09,41
2014-01-02,轻度污染,121,71,101,131,63,20,6.02,33
2014-01-03,良,58,8,35,61,27,13,3.70,47
2014-01-04,轻度污染,112,73,84,116,56,23,4.84,30
2014-01-05,轻度污染,144,81,109,135,54,21,4.56,29
2014-01-06,轻度污染,125,59,94,129,63,24,4.23,27
2014-01-07,轻度污染,127,102,94,133,41,21,3.80,27
2014-01-08,优,35,4,11,30,10,7,1.83,52
2014-01-09,良,61,38,42,63,46,16,2.66,32
2014-01-10,良,83,49,60,83,49,21,2.95,31
2014-01-11,轻度污染,130,114,97,129,59,22,4.03,33
2014-01-12,优,49,16,27,48,24,11,2.12,47
2014-01-13,良,71,51,50,74,48,16,2.77,30
2014-01-14,轻度污染,113,90,85,118,91,20,3.60,31
2014-01-15,轻度污染,129,80,97,129,87,21,3.75,34
2014-01-16,中度污染,165,111,125,168,91,22,4.35,37
2014-01-17,轻度污染,114,46,79,115,71,15,3.19,37
2014-01-18,良,83,19,57,95,107,18,2.53,34
2014-01-19,轻度污染,111,41,67,123,61,12,2.45,48
2014-01-20,优,44,4,12,45,24,8,1.57,60
2014-01-21,良,83,77,60,102,109,24,3.11,35
2014-01-22,轻度污染,125,135,94,153,132,31,3.63,36
2014-01-24,重度污染,240,166,189,274,173,49,5.59,26
2014-01-25,重度污染,246,180,198,276,157,54,4.22,26
2014-01-26,轻度污染,135,145,102,147,124,36,2.31,26
2014-01-27,轻度污染,121,125,91,146,105,34,2.79,25
2014-01-28,轻度污染,122,125,91,146,83,33,2.57,27
2014-01-29,轻度污染,108,107,81,129,81,33,2.74,31
2014-01-30,轻度污染,134,76,101,146,74,36,3.25,31
2014-01-31,轻度污染,122,34,91,116,47,30,2.15,31
2014-02-01,轻度污染,113,88,84,111,50,34,3.09,37
2014-02-02,中度污染,151,100,115,148,54,37,3.85,37
2014-02-03,良,60,65,36,54,24,14,1.26,36
2014-02-04,优,30,1,14,28,27,37,1.08,28
2014-02-05,优,32,15,22,23,24,44,1.63,26
2014-02-06,良,68,130,49,61,84,51,2.35,18
2014-02-07,良,62,107,44,55,50,18,2.41,25
2014-02-08,良,66,90,47,57,42,16,2.24,32
2014-02-09,优,30,32,21,26,33,14,1.57,30
2014-02-10,良,67,126,48,61,54,21,2.39,33
2014-02-11,良,100,124,74,105,59,26,3.61,30
2014-02-12,轻度污染,114,122,86,128,78,31,3.47,19
2014-02-13,良,78,68,57,85,46,22,3.33,30
2014-02-14,良,93,63,69,108,52,23,3.94,28
2014-02-15,轻度污染,105,59,79,120,49,26,3.79,25
2014-02-16,轻度污染,110,120,83,126,38,23,4.25,22
2014-02-17,良,76,98,55,82,28,16,2.78,35
2014-02-18,良,52,61,33,55,22,14,2.70,34
2014-02-19,良,78,77,51,105,40,20,3.22,23
2014-02-20,良,83,71,59,106,38,18,2.38,20
2014-02-21,良,74,33,49,91,33,21,1.75,27
2014-02-22,良,85,40,61,106,35,21,2.12,22
2014-02-23,轻度污染,101,60,75,124,38,22,2.35,22
2014-02-24,良,93,47,69,107,20,17,1.71,26
2014-02-25,良,99,80,74,110,30,22,2.22,30
2014-02-26,轻度污染,135,117,97,164,42,27,2.98,21
2014-02-27,轻度污染,131,160,56,209,37,18,2.29,23
2014-02-28,良,84,140,62,89,20,21,2.72,17
2014-03-01,轻度污染,118,158,89,135,59,27,3.69,27
2014-03-02,轻度污染,134,148,102,154,56,28,3.76,27
2014-03-03,轻度污染,125,141,94,141,52,29,3.47,25
2014-03-04,良,84,118,58,93,52,26,3.22,29
2014-03-05,良,74,94,50,90,64,33,3.31,26
2014-03-06,良,85,131,62,103,58,31,3.36,32
2014-03-07,良,89,138,66,98,36,30,2.83,24
