日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,293,103,240,378,153,120,3.68,50
2013-10-29,重度污染,238,98,190,301,57,74,2.73,40
2013-10-30,良,98,57,53,117,39,45,1.62,36
2013-10-31,轻度污染,110,68,78,149,61,71,2.12,18
2013-11-01,良,99,57,64,117,44,53,1.83,25
2013-11-02,中度污染,171,86,120,196,32,60,2.47,19
2013-11-03,轻度污染,150,92,113,206,55,57,2.40,24
2013-11-04,轻度污染,119,79,84,173,89,74,2.42,21
2013-11-05,中度污染,160,106,120,233,106,87,2.76,25
2013-11-06,中度污染,155,84,127,221,74,73,1.98,31
2013-11-07,中度污染,162,95,86,188,70,72,1.42,19
2013-11-08,轻度污染,110,62,67,156,43,50,1.57,30
2013-11-09,轻度污染,119,65,94,196,38,57,1.83,27
2013-11-10,良,91,67,44,78,44,38,1.07,28
2013-11-11,良,71,76,51,90,74,64,1.63,21
2013-11-12,良,97,88,80,120,79,69,2.16,13
2013-11-13,中度污染,197,102,181,319,104,104,3.60,20
2013-11-14,严重污染,251,107,205,357,147,98,2.56,15
2013-11-15,严重污染,251,108,183,423,103,98,3.42,16
2013-11-16,严重污染,310,110,139,376,104,81,2.04,17
2013-11-17,轻度污染,130,89,56,122,75,59,1.48,13
2013-11-18,轻度污染,104,84,61,139,79,61,1.75,14
2013-11-19,轻度污染,109,74,73,222,134,101,3.26,12
2013-11-20,中度污染,169,93,121,212,126,81,2.57,16
2013-11-21,轻度污染,133,57,92,175,77,79,2.59,15
2013-11-22,轻度污染,129,56,127,257,67,89,3.21,17
2013-11-23,重度污染,224,82,236,372,59,96,3.81,8
2013-11-24,重度污染,221,90,92,119,47,62,2.69,15
2013-11-25,轻度污染,106,84,75,161,58,58,2.50,13
2013-11-26,轻度污染,126,97,114,300,101,86,4.12,10
2013-11-27,轻度污染,135,106,53,108,57,47,2.06,22
2013-11-28,良,81,89,50,113,71,58,2.36,14
2013-11-29,轻度污染,101,97,69,183,96,80,3.06,11
2013-11-30,中度污染,182,112,185,332,155,96,3.94,10
2013-12-01,重度污染,201,109,116,188,103,77,2.96,16
2013-12-02,重度污染,237,98,286,451,161,128,5.45,10
2013-12-03,严重污染,397,112,372,524,168,131,5.85,11
2013-12-04,严重污染,481,114,454,680,236,160,7.16,9
2013-12-05,严重污染,498,114,390,557,165,119,4.80,10
2013-12-06,重度污染,226,92,115,197,116,71,3.47,16
2013-12-07,严重污染,341,99,359,602,132,102,6.21,8
2013-12-08,严重污染,406,106,235,365,31,59,2.80,14
2013-12-09,严重污染,286,100,131,206,74,58,2.83,19
2013-12-10,轻度污染,117,63,103,205,123,71,3.11,12
2013-12-11,轻度污染,126,77,81,148,89,60,2.67,17
2013-12-12,轻度污染,138,85,110,228,118,74,2.91,13
2013-12-13,良,99,45,56,118,108,64,2.72,14
2013-12-14,重度污染,215,104,314,481,117,128,5.21,8
2013-12-15,严重污染,347,109,167,267,151,94,3.91,13
2013-12-16,中度污染,176,86,160,281,137,95,4.38,7
2013-12-17,重度污染,233,97,158,258,120,82,4.17,9
2013-12-18,轻度污染,142,83,87,128,75,56,3.04,15
